# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -5.3468 -4.8564 -3.7871 -3.3068 -2.9141 0.3000 0.6146
2.0000 -5.1120 -4.6591 -3.6958 -3.2129 -2.8283 0.3000 0.6154
3.0000 -5.0926 -4.6347 -3.6869 -3.2029 -2.8203 0.3000 0.6144
4.0000 -5.0831 -4.6137 -3.6818 -3.1951 -2.8149 0.3000 0.6121
5.0000 -5.0789 -4.5902 -3.6809 -3.1904 -2.8122 0.3000 0.6084
6.0000 -5.0769 -4.5691 -3.6809 -3.1869 -2.8112 0.3000 0.6053
7.0000 -5.0708 -4.5435 -3.6785 -3.1808 -2.8086 0.3000 0.6026
8.0000 -5.0544 -4.5066 -3.6715 -3.1693 -2.8021 0.3000 0.5999
9.0000 -5.0292 -4.4643 -3.6606 -3.1537 -2.7925 0.3000 0.5979
10.0000 -5.0247 -4.4438 -3.6588 -3.1481 -2.7903 0.3000 0.5961
11.0000 -5.0207 -4.4232 -3.6575 -3.1424 -2.7878 0.3000 0.5943
12.0000 -5.0140 -4.4022 -3.6551 -3.1357 -2.7844 0.3000 0.5927
13.0000 -5.0088 -4.3843 -3.6532 -3.1299 -2.7815 0.3000 0.5914
14.0000 -4.9988 -4.3610 -3.6497 -3.1216 -2.7768 0.3000 0.5899
15.0000 -4.9874 -4.3386 -3.6457 -3.1131 -2.7718 0.3000 0.5887
16.0000 -4.9699 -4.3085 -3.6397 -3.1012 -2.7645 0.3000 0.5872
17.0000 -4.9640 -4.2968 -3.6379 -3.0964 -2.7617 0.3000 0.5865
18.0000 -4.9545 -4.2803 -3.6352 -3.0891 -2.7573 0.3000 0.5854
19.0000 -4.9363 -4.2533 -3.6297 -3.0764 -2.7496 0.3000 0.5838
20.0000 -4.9254 -4.2378 -3.6263 -3.0687 -2.7449 0.3000 0.5828
21.0000 -4.9107 -4.2185 -3.6216 -3.0585 -2.7388 0.3000 0.5814
22.0000 -4.8930 -4.1969 -3.6161 -3.0469 -2.7319 0.3000 0.5800
23.0000 -4.8904 -4.1923 -3.6154 -3.0448 -2.7310 0.3000 0.5796
24.0000 -4.8858 -4.1835 -3.6145 -3.0410 -2.7297 0.3000 0.5790
25.0000 -4.8764 -4.1666 -3.6126 -3.0334 -2.7270 0.3000 0.5779
26.0000 -4.8736 -4.1606 -3.6126 -3.0314 -2.7267 0.3000 0.5775
27.0000 -4.8674 -4.1470 -3.6129 -3.0268 -2.7261 0.3000 0.5766
28.0000 -4.8630 -4.1347 -3.6137 -3.0230 -2.7261 0.3000 0.5758
29.0000 -4.8567 -4.1186 -3.6146 -3.0178 -2.7259 0.3000 0.5747
30.0000 -4.8558 -4.1161 -3.6147 -3.0168 -2.7258 0.3000 0.5745
31.0000 -4.8534 -4.1105 -3.6148 -3.0145 -2.7256 0.3000 0.5740
32.0000 -4.8516 -4.1055 -3.6155 -3.0126 -2.7258 0.3000 0.5736
33.0000 -4.8493 -4.0974 -3.6177 -3.0097 -2.7266 0.3000 0.5729
34.0000 -4.8471 -4.0893 -3.6201 -3.0069 -2.7276 0.3000 0.5722
35.0000 -4.8470 -4.0868 -3.6209 -3.0064 -2.7280 0.3000 0.5720
36.0000 -4.8466 -4.0818 -3.6227 -3.0052 -2.7290 0.3000 0.5716
37.0000 -4.8459 -4.0729 -3.6261 -3.0032 -2.7308 0.3000 0.5708
38.0000 -4.8458 -4.0718 -3.6264 -3.0028 -2.7310 0.3000 0.5707
39.0000 -4.8449 -4.0675 -3.6275 -3.0014 -2.7315 0.3000 0.5704
40.0000 -4.8437 -4.0619 -3.6288 -2.9994 -2.7321 0.3000 0.5699
41.0000 -4.8407 -4.0514 -3.6312 -2.9956 -2.7331 0.3000 0.5691
42.0000 -4.8389 -4.0456 -3.6326 -2.9935 -2.7336 0.3000 0.5686
43.0000 -4.8368 -4.0384 -3.6345 -2.9910 -2.7344 0.3000 0.5680
44.0000 -4.8351 -4.0328 -3.6358 -2.9889 -2.7348 0.3000 0.5676
45.0000 -4.8349 -4.0318 -3.6360 -2.9885 -2.7349 0.3000 0.5675
46.0000 -4.8347 -4.0304 -3.6368 -2.9881 -2.7352 0.3000 0.5673
47.0000 -4.8350 -4.0287 -3.6381 -2.9878 -2.7358 0.3000 0.5671
48.0000 -4.8349 -4.0272 -3.6391 -2.9876 -2.7362 0.3000 0.5669
49.0000 -4.8347 -4.0257 -3.6398 -2.9873 -2.7365 0.3000 0.5667
50.0000 -4.8338 -4.0214 -3.6418 -2.9865 -2.7372 0.3000 0.5661
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.1964
# penalization: 3.0
# initial densities: [0.3467 0.298  0.238  ... 0.     0.     0.    ]
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 0.2, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
