# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -6.7300 -6.7287 -6.4570 -6.4458 -6.2018 0.3000 1.7744
2.0000 -6.5197 -6.5168 -6.2797 -6.2553 -6.0678 0.3000 1.6842
3.0000 -6.0990 -6.0449 -5.9641 -5.8854 -5.7384 0.3000 1.5389
4.0000 -5.9897 -5.9201 -5.4862 -5.4460 -5.3107 0.3000 1.4014
5.0000 -6.0711 -5.9513 -5.1487 -4.9953 -4.8388 0.3000 1.2730
6.0000 -6.2203 -5.9740 -4.9953 -4.7171 -4.4811 0.3000 1.1497
7.0000 -6.3391 -5.9976 -4.9343 -4.5843 -4.3115 0.3000 1.0629
8.0000 -6.4180 -6.0101 -4.9032 -4.5188 -4.2300 0.3000 1.0106
9.0000 -6.4889 -6.0094 -4.8687 -4.4591 -4.1560 0.3000 0.9633
10.0000 -6.5465 -5.9895 -4.8209 -4.3914 -4.0717 0.3000 0.9186
11.0000 -6.6013 -5.9484 -4.7581 -4.3131 -3.9731 0.3000 0.8717
12.0000 -6.6394 -5.8876 -4.6861 -4.2347 -3.8750 0.3000 0.8287
13.0000 -6.6667 -5.8526 -4.6330 -4.1732 -3.7956 0.3000 0.7961
14.0000 -6.6687 -5.8131 -4.5846 -4.1176 -3.7290 0.3000 0.7713
15.0000 -6.6551 -5.7772 -4.5535 -4.0817 -3.6901 0.3000 0.7582
16.0000 -6.6292 -5.7285 -4.5157 -4.0427 -3.6483 0.3000 0.7451
17.0000 -6.5909 -5.6657 -4.4719 -3.9979 -3.6022 0.3000 0.7318
18.0000 -6.5442 -5.5944 -4.4264 -3.9503 -3.5545 0.3000 0.7194
19.0000 -6.4904 -5.5166 -4.3804 -3.9010 -3.5067 0.3000 0.7077
20.0000 -6.4327 -5.4369 -4.3363 -3.8534 -3.4622 0.3000 0.6974
21.0000 -6.3772 -5.3622 -4.2972 -3.8116 -3.4239 0.3000 0.6887
22.0000 -6.3201 -5.2904 -4.2605 -3.7734 -3.3895 0.3000 0.6808
23.0000 -6.2350 -5.1845 -4.2086 -3.7180 -3.3402 0.3000 0.6699
24.0000 -6.1752 -5.1111 -4.1743 -3.6798 -3.3072 0.3000 0.6632
25.0000 -6.1001 -5.0190 -4.1334 -3.6322 -3.2677 0.3000 0.6552
26.0000 -6.0482 -4.9565 -4.1057 -3.5990 -3.2404 0.3000 0.6496
27.0000 -6.0028 -4.9015 -4.0819 -3.5701 -3.2169 0.3000 0.6448
28.0000 -5.9565 -4.8447 -4.0583 -3.5413 -3.1940 0.3000 0.6400
29.0000 -5.9034 -4.7823 -4.0324 -3.5093 -3.1685 0.3000 0.6350
30.0000 -5.8480 -4.7169 -4.0058 -3.4760 -3.1415 0.3000 0.6299
31.0000 -5.8130 -4.6792 -3.9910 -3.4550 -3.1233 0.3000 0.6265
32.0000 -5.7916 -4.6594 -3.9834 -3.4432 -3.1129 0.3000 0.6245
33.0000 -5.7371 -4.6097 -3.9646 -3.4132 -3.0870 0.3000 0.6195
34.0000 -5.7018 -4.5760 -3.9524 -3.3931 -3.0705 0.3000 0.6161
35.0000 -5.6564 -4.5334 -3.9376 -3.3676 -3.0501 0.3000 0.6120
36.0000 -5.6269 -4.5060 -3.9283 -3.3512 -3.0372 0.3000 0.6094
37.0000 -5.5953 -4.4764 -3.9183 -3.3336 -3.0234 0.3000 0.6069
38.0000 -5.5501 -4.4349 -3.9043 -3.3082 -3.0039 0.3000 0.6034
39.0000 -5.5353 -4.4214 -3.8995 -3.2995 -2.9973 0.3000 0.6021
40.0000 -5.5183 -4.4065 -3.8943 -3.2901 -2.9903 0.3000 0.6007
41.0000 -5.4834 -4.3760 -3.8840 -3.2706 -2.9760 0.3000 0.5977
42.0000 -5.4656 -4.3609 -3.8793 -3.2614 -2.9692 0.3000 0.5963
43.0000 -5.4422 -4.3405 -3.8730 -3.2492 -2.9601 0.3000 0.5944
44.0000 -5.4220 -4.3230 -3.8677 -3.2389 -2.9523 0.3000 0.5928
45.0000 -5.3916 -4.2968 -3.8601 -3.2234 -2.9407 0.3000 0.5905
46.0000 -5.3580 -4.2684 -3.8517 -3.2067 -2.9280 0.3000 0.5880
47.0000 -5.3368 -4.2504 -3.8465 -3.1961 -2.9201 0.3000 0.5865
48.0000 -5.3258 -4.2420 -3.8440 -3.1910 -2.9163 0.3000 0.5857
49.0000 -5.3140 -4.2344 -3.8414 -3.1859 -2.9120 0.3000 0.5846
50.0000 -5.2960 -4.2227 -3.8375 -3.1781 -2.9056 0.3000 0.5831
51.0000 -5.2889 -4.2179 -3.8361 -3.1749 -2.9032 0.3000 0.5825
52.0000 -5.2775 -4.2102 -3.8339 -3.1698 -2.8993 0.3000 0.5815
53.0000 -5.2647 -4.2017 -3.8315 -3.1640 -2.8950 0.3000 0.5804
54.0000 -5.2544 -4.1946 -3.8296 -3.1594 -2.8915 0.3000 0.5796
55.0000 -5.2412 -4.1858 -3.8271 -3.1536 -2.8870 0.3000 0.5786
56.0000 -5.2243 -4.1744 -3.8237 -3.1461 -2.8813 0.3000 0.5774
57.0000 -5.2081 -4.1637 -3.8203 -3.1390 -2.8760 0.3000 0.5763
58.0000 -5.1933 -4.1540 -3.8172 -3.1325 -2.8712 0.3000 0.5753
59.0000 -5.1844 -4.1477 -3.8152 -3.1285 -2.8683 0.3000 0.5747
60.0000 -5.1758 -4.1416 -3.8134 -3.1246 -2.8656 0.3000 0.5741
61.0000 -5.1610 -4.1313 -3.8103 -3.1182 -2.8609 0.3000 0.5731
62.0000 -5.1527 -4.1255 -3.8086 -3.1146 -2.8583 0.3000 0.5726
63.0000 -5.1487 -4.1231 -3.8079 -3.1131 -2.8572 0.3000 0.5723
64.0000 -5.1418 -4.1190 -3.8066 -3.1103 -2.8554 0.3000 0.5718
65.0000 -5.1324 -4.1136 -3.8049 -3.1066 -2.8528 0.3000 0.5711
66.0000 -5.1236 -4.1086 -3.8034 -3.1032 -2.8504 0.3000 0.5705
67.0000 -5.1210 -4.1069 -3.8029 -3.1021 -2.8497 0.3000 0.5704
68.0000 -5.1115 -4.1009 -3.8012 -3.0983 -2.8469 0.3000 0.5697
