# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -19.0868 -12.6854 -10.2031 -9.0782 -7.9001 0.4800 2154.3474
2.0000 -19.4141 -9.9026 -7.9798 -7.6181 -6.2078 0.4620 2208.5518
3.0000 -19.5321 -7.7849 -7.2816 -6.3837 -6.1717 0.4458 2260.3100
4.0000 -19.9613 -8.4597 -6.5616 -5.9463 -5.5838 0.4250 2289.1271
5.0000 -20.7106 -11.5828 -8.9037 -7.0434 -6.2037 0.4027 2309.3197
6.0000 -21.3623 -13.6639 -10.9760 -8.0177 -7.0591 0.3859 2353.8091
7.0000 -21.4598 -16.4407 -12.4524 -9.3430 9.0878 0.3708 2373.4858
8.0000 -21.3138 -17.1303 -13.0537 -10.0485 -9.4635 0.3637 2367.8530
9.0000 -21.2973 -17.4612 -13.6285 -10.7333 10.1329 0.3573 2337.2966
10.0000 -21.1912 -19.0744 -14.4029 -12.4583 11.8657 0.3473 2292.2426
11.0000 -21.8887 -19.3545 16.2564 18.8138 18.9294 0.3372 2218.3823
12.0000 -21.9690 -19.6367 17.7935 20.2574 20.2624 0.3335 2177.9359
13.0000 55.5120 55.5776 62.5901 66.7630 66.8471 0.3176 2122.2557
14.0000 32.0142 32.0816 42.3498 46.2449 46.3875 0.3173 1947.2923
15.0000 30.0161 30.3901 39.9181 43.1082 43.9478 0.3167 1911.2356
16.0000 29.9491 30.3195 39.8800 43.0617 43.9186 0.3167 1910.6213
17.0000 29.8019 30.3025 40.1199 43.1458 44.0198 0.3168 1908.2374
18.0000 -89.9860 -33.8318 38.1694 106.8488 147.0370 0.3000 1275.2808
19.0000 -55.3765 -28.6798 46.0161 62.3688 96.1738 0.3000 1178.2214
20.0000 -47.8143 31.8450 34.1635 37.6124 76.7888 0.3000 1143.0978
21.0000 -44.8135 27.9740 31.1499 33.3706 62.8641 0.3000 1137.8743
22.0000 -38.0760 -28.3725 -18.7270 22.8099 35.2176 0.3000 1159.0188
23.0000 -33.5143 -25.8688 -18.2225 -13.1796 22.5315 0.3000 1203.6202
24.0000 -30.8831 -24.3864 -17.7677 -12.9028 15.2216 0.3000 1249.2172
25.0000 -28.4721 -23.2283 -17.1581 -12.2224 11.5412 0.3000 1312.3837
26.0000 -25.4639 -21.7523 -16.1644 -11.4687 -11.0855 0.3000 1415.0503
27.0000 -23.0674 -20.8115 -15.8298 -12.4801 -10.7534 0.3000 1502.1826
28.0000 -21.7933 -20.3361 -15.2280 -12.9089 -10.2853 0.3000 1520.8681
29.0000 -21.6698 -20.1118 -15.1918 -12.7695 -10.4458 0.3000 1504.2619
30.0000 -21.4010 -19.9912 -14.9587 -12.5615 -10.4001 0.3000 1493.1832
31.0000 -20.9685 -20.8355 -14.0414 -12.4520 -10.8234 0.3000 1470.8908
32.0000 -21.2187 -20.3624 -13.7401 -11.5487 -9.8420 0.3000 1394.1633
33.0000 -21.1512 -20.2483 -13.8136 -11.3123 -10.0173 0.3000 1376.3005
34.0000 -20.9245 -20.0822 -13.9150 -11.1698 -10.1764 0.3000 1368.6648
35.0000 -20.5636 -19.9059 -14.0604 -11.0706 -10.4061 0.3000 1365.2192
36.0000 -20.2308 -19.7209 -14.0979 -11.1025 -10.4087 0.3000 1368.0927
37.0000 -19.8390 -19.4363 -14.2821 -11.2119 -10.8026 0.3000 1373.6095
38.0000 -19.6530 -19.2670 -13.9218 -11.4140 -10.9299 0.3000 1375.6186
39.0000 -19.6019 -19.3003 -13.8218 -11.4392 -10.8117 0.3000 1363.7127
40.0000 -19.5600 -19.3284 -13.7606 -11.2155 -10.7420 0.3000 1355.6815
41.0000 -19.4816 -19.2786 -13.8851 -11.2590 -10.7505 0.3000 1352.8779
42.0000 -19.4079 -19.1397 -13.8718 -11.2961 -10.7872 0.3000 1351.9382
43.0000 -19.3166 -19.0281 -13.8750 -11.4908 -10.7793 0.3000 1350.5553
44.0000 -19.2638 -19.0513 -13.7522 -11.7833 -10.6702 0.3000 1346.1643
45.0000 -19.2357 -19.0513 -13.5915 -11.8573 -10.5927 0.3000 1342.8466
46.0000 -19.2355 -18.9845 -13.5152 -11.6425 -10.6206 0.3000 1341.3608
47.0000 -19.1945 -18.9872 -13.5224 -11.5571 -10.6164 0.3000 1340.6331
48.0000 -19.0939 -19.0230 -13.6414 -11.5613 -10.6184 0.3000 1340.0312
49.0000 -19.0920 -18.9736 -13.6742 -11.7520 -10.6384 0.3000 1338.5007
50.0000 -19.1067 -18.9492 -13.4500 -11.7349 -10.6586 0.3000 1334.6341
51.0000 -19.1861 -19.1230 -13.0808 -11.7667 -10.6164 0.3000 1328.6999
52.0000 -19.3673 -19.1086 -12.8927 -12.1559 -10.6030 0.3000 1319.6954
53.0000 -19.3133 -19.1978 -13.0168 -11.7878 -10.5859 0.3000 1312.9036
54.0000 -19.3212 -19.1186 -13.0902 -11.7595 -10.6715 0.3000 1310.5739
55.0000 -19.2074 -19.0683 -13.1404 -11.7676 -10.7668 0.3000 1309.8685
56.0000 -19.1954 -19.0146 -12.9197 -11.6368 -10.8225 0.3000 1308.9273
57.0000 -19.2615 -19.0508 -13.0259 -11.6082 -10.7656 0.3000 1303.7036
58.0000 -19.1866 -19.1026 -13.0446 -11.6887 -10.7684 0.3000 1300.9973
59.0000 -19.1335 -19.1090 -12.9717 -11.6997 -10.7923 0.3000 1298.6766
60.0000 -19.1433 -19.0316 -12.8360 -11.6909 -10.7848 0.3000 1298.0160
61.0000 -19.1145 -19.0235 -12.7305 -11.7998 -10.7987 0.3000 1297.1197
62.0000 -19.1047 -18.9918 -12.6405 -12.0881 -10.7841 0.3000 1295.0882
63.0000 -19.0716 -19.0531 -12.7267 -12.2231 -10.7499 0.3000 1291.9056
64.0000 -19.1254 -19.0021 -12.6558 -12.1491 -10.7130 0.3000 1288.3253
65.0000 -19.0973 -18.9527 -12.6850 -12.2565 -10.7175 0.3000 1286.1861
66.0000 -19.1137 -19.0325 -12.7194 -12.3617 -10.7033 0.3000 1281.7312
67.0000 -19.2594 -19.1610 -12.7886 -12.2127 -10.7383 0.3000 1274.2183
68.0000 -19.1911 -19.1332 -12.7038 -12.2714 -10.7415 0.3000 1271.7088
69.0000 -19.1421 -19.0332 -12.7584 -12.2840 -10.7474 0.3000 1270.7329
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.053
# penalization: 3.0
# initial densities: 0.5
# FEA MODEL DATA 
# material: {'Ex': 2000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
