# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -89.1539 -14.9085 -6.2749 -3.9859 -3.1181 0.3000 810.1512
2.0000 -85.5965 -14.9170 -6.6926 -4.2930 -3.4302 0.3000 874.6190
3.0000 -81.3236 -14.8975 -7.1684 -4.7899 -3.8286 0.3000 949.4945
4.0000 -74.3777 -14.9650 -7.9614 -5.8186 -4.7093 0.3000 1064.3373
5.0000 -72.1356 -14.9572 -8.3295 -5.8649 -4.8369 0.3000 1097.6737
6.0000 -54.2167 -18.1467 -14.8322 -9.0092 -8.6395 0.3000 1301.1106
7.0000 -49.9876 -19.9776 -14.3135 -8.5776 -7.3114 0.3000 1161.9383
8.0000 -47.1481 -15.6545 -11.9322 -8.1965 -7.2969 0.3000 1135.5444
9.0000 -40.2624 -17.3525 -11.5098 -7.7448 -5.9298 0.3000 1026.1650
10.0000 -38.2315 -18.5113 -12.5271 -9.3277 -5.8661 0.3000 1067.9872
11.0000 -36.9022 -24.6732 -14.2762 -9.1057 -7.5351 0.3000 1041.0567
12.0000 -34.6986 -19.8308 -16.6708 -13.7053 -6.9290 0.3000 1202.2120
13.0000 -32.8853 -21.4320 -13.6830 -7.7328 -6.8613 0.3000 1109.8703
14.0000 -31.0067 -16.8780 -14.5093 -9.5258 -7.4231 0.3000 1138.1686
15.0000 -28.8313 -21.5719 -14.9435 -9.5000 -8.9820 0.3000 1007.6008
16.0000 -27.2753 -21.2972 -14.9792 -8.8857 -8.1428 0.3000 1017.5645
17.0000 -25.9881 -20.2787 -14.3039 -8.6769 -8.2073 0.3000 1071.3898
18.0000 -25.0971 -20.3799 -14.2417 -9.1467 -7.9743 0.3000 1083.9492
19.0000 -23.9740 -20.7061 -14.3536 -9.8720 -8.2671 0.3000 1096.4609
20.0000 -23.4760 -20.6285 -14.2983 -10.4620 -8.4192 0.3000 1092.1808
21.0000 -22.8333 -20.2529 -13.7752 -12.2866 -8.8092 0.3000 1079.4808
22.0000 -22.5895 -20.1186 -13.7777 -12.1832 -8.7884 0.3000 1082.1361
23.0000 -21.9382 -19.7732 -14.0912 -11.5364 -8.6594 0.3000 1091.8269
24.0000 -21.6771 -19.6552 -14.0724 -11.6208 -8.6416 0.3000 1099.7493
25.0000 -21.3400 -19.5252 -14.0237 -11.8964 -8.6056 0.3000 1112.2049
26.0000 -20.5047 -20.0743 -14.0285 -13.2094 -8.4650 0.3000 1174.5293
27.0000 -20.2145 -19.4360 -14.1004 -13.2254 -8.3473 0.3000 1163.3097
28.0000 -20.0597 -19.1289 -13.9984 -13.1725 -8.3859 0.3000 1158.9335
29.0000 -19.8872 -19.0354 -14.1289 -12.9345 -8.4341 0.3000 1150.7173
30.0000 -19.6201 -18.8897 -14.0902 -12.8963 -8.5845 0.3000 1144.8788
31.0000 -19.3866 -18.7591 -14.1059 -12.5949 -8.7146 0.3000 1141.8484
32.0000 -19.1546 -18.6247 -14.0920 -12.5551 -8.7904 0.3000 1148.7413
33.0000 -18.9738 -18.5743 -14.0855 -12.6401 -8.9453 0.3000 1155.7151
34.0000 -18.7783 -18.3788 -14.0182 -12.9818 -9.1561 0.3000 1162.6559
35.0000 -18.7040 -18.1845 -14.1233 -12.7076 -9.1706 0.3000 1156.2748
36.0000 -18.7119 -18.0757 -14.1335 -12.7531 -9.3278 0.3000 1161.8257
37.0000 -18.7550 -17.8201 -14.1274 -12.8086 -9.3863 0.3000 1175.3745
38.0000 -19.0711 -16.5837 -14.0828 -13.0309 -8.6705 0.2997 1234.3686
39.0000 -19.0711 -16.5837 -14.0828 -13.0309 -8.6705 0.2997 1234.3686
40.0000 -19.6213 -16.2238 -14.1704 -13.2477 -8.3961 0.2992 1281.2600
41.0000 -19.3718 -16.0677 -14.1218 -12.9771 -8.4686 0.2993 1266.6689
42.0000 -18.9868 -16.0881 -14.0180 -12.8480 -8.8442 0.2994 1259.1933
43.0000 -18.7172 -15.9871 -13.9929 -12.9438 -9.0404 0.2995 1255.1554
44.0000 -18.4363 -15.8926 -13.9962 -12.9219 -9.3561 0.2996 1251.5201
45.0000 -17.9990 -15.9288 -14.3504 -13.3073 -9.5698 0.2999 1260.5679
46.0000 -17.8849 -15.3623 -14.2538 -13.0653 -8.6782 0.3000 1283.1224
47.0000 -17.6410 -15.3418 -14.2582 -13.1136 -8.6064 0.3000 1280.8487
48.0000 -17.2213 -15.4255 -14.3585 -13.1822 -8.9040 0.3000 1278.6724
49.0000 -16.8759 -15.4963 -14.4012 -13.3614 -9.1908 0.3000 1267.4071
50.0000 -16.7198 -15.4605 -14.4360 -13.4471 -8.8553 0.2999 1267.1566
51.0000 -16.6332 -15.4551 -14.3862 -13.4400 -8.7750 0.2999 1269.2899
52.0000 -16.6332 -15.4551 -14.3862 -13.4401 -8.7751 0.2999 1269.3226
53.0000 -16.4900 -15.4223 -14.3844 -13.4764 -8.8679 0.2999 1286.1156
54.0000 -16.3891 -15.3865 -14.3573 -13.4773 -8.9689 0.2999 1292.5604
55.0000 -16.3891 -15.3865 -14.3573 -13.4773 -8.9690 0.2999 1292.5693
56.0000 -16.2962 -15.3977 -14.3266 -13.4728 -9.1050 0.2999 1302.8051
57.0000 -16.2962 -15.3977 -14.3266 -13.4728 -9.1051 0.2999 1302.8054
58.0000 -16.0885 -15.5868 -14.4586 -13.6864 -9.5114 0.2998 1335.9424
59.0000 -16.0626 -15.4885 -14.4199 -13.7022 -9.4924 0.2997 1329.5343
60.0000 -16.0359 -15.4837 -14.3997 -13.7051 -9.5107 0.2997 1330.6261
61.0000 -15.9863 -15.4654 -14.3835 -13.7024 -9.5149 0.2997 1332.0526
62.0000 -15.9837 -15.4610 -14.3814 -13.7052 -9.5120 0.2997 1333.1007
63.0000 -15.9408 -15.4458 -14.3532 -13.7006 -9.5670 0.2997 1333.0675
64.0000 -15.9240 -15.4468 -14.3460 -13.7102 -9.6039 0.2996 1338.8364
65.0000 -15.9240 -15.4468 -14.3460 -13.7102 -9.6039 0.2996 1338.8364
66.0000 -15.8563 -15.4478 -14.3280 -13.7230 -9.6898 0.2997 1353.9604
67.0000 -15.8024 -15.4277 -14.3103 -13.7175 -9.7040 0.2997 1357.4833
68.0000 -15.7398 -15.4189 -14.2997 -13.7162 -9.7244 0.2997 1366.7601
69.0000 -15.6800 -15.4086 -14.2654 -13.7166 -9.7749 0.2997 1376.2139
