# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -8.3683 -8.1806 -7.8815 -7.4438 -6.5684 0.3000 2.4477
2.0000 -8.3043 -7.7408 -6.8208 -6.3312 -6.2748 0.3000 2.4174
3.0000 -7.1896 -6.8915 -6.1194 -6.1027 -5.7778 0.3000 2.4533
4.0000 -6.9132 -6.7027 -6.4573 -6.0787 -5.8046 0.3000 2.4939
5.0000 -6.7763 -6.5787 -6.0434 -5.9142 -5.8494 0.3000 2.5054
6.0000 -6.6225 -6.4159 -5.9200 -5.8307 -5.7417 0.3000 2.5650
7.0000 -6.4546 -6.2558 -6.2203 -5.8409 -5.8176 0.3000 2.6509
8.0000 -6.3812 -6.2292 -5.9621 -5.7897 -5.7641 0.3000 2.6752
9.0000 -6.2726 -6.1380 -5.8671 -5.7733 -5.7404 0.3000 2.7057
10.0000 -6.2353 -6.0934 -5.7463 -5.7198 -5.6676 0.3000 2.7028
11.0000 -6.1257 -5.9962 -5.8359 -5.6266 -5.5755 0.3000 2.7426
12.0000 -6.0935 -5.9718 -5.7061 -5.6061 -5.5454 0.3000 2.7495
13.0000 -6.0414 -5.9140 -5.6038 -5.5861 -5.5080 0.3000 2.7644
14.0000 -5.9878 -5.8711 -5.6971 -5.5647 -5.4955 0.3000 2.7836
15.0000 -5.9449 -5.8441 -5.6568 -5.5362 -5.4672 0.3000 2.8123
16.0000 -5.8954 -5.7895 -5.6169 -5.5607 -5.4368 0.3000 2.8111
17.0000 -5.8691 -5.7151 -5.5468 -5.5459 -5.4527 0.3000 2.8074
18.0000 -5.8197 -5.6571 -5.5430 -5.4759 -5.4051 0.3000 2.8215
19.0000 -5.7875 -5.6311 -5.4704 -5.4625 -5.3743 0.3000 2.8255
20.0000 -5.7507 -5.5899 -5.4349 -5.3462 -5.3360 0.3000 2.8355
21.0000 -5.7260 -5.5604 -5.4290 -5.4040 -5.3146 0.3000 2.8363
22.0000 -5.6924 -5.5198 -5.3957 -5.3823 -5.3625 0.3000 2.8390
23.0000 -5.6675 -5.4989 -5.3811 -5.3761 -5.3357 0.3000 2.8442
24.0000 -5.6270 -5.4785 -5.4082 -5.3158 -5.2177 0.3000 2.8571
25.0000 -5.6087 -5.4704 -5.3058 -5.2927 -5.1413 0.3000 2.8446
26.0000 -5.5564 -5.4281 -5.3583 -5.3229 -5.1904 0.3000 2.8246
27.0000 -5.4893 -5.4084 -5.2786 -5.2455 -5.2323 0.3000 2.8038
28.0000 -5.4576 -5.3642 -5.2376 -5.1714 -5.1597 0.3000 2.7947
29.0000 -5.4345 -5.3370 -5.2260 -5.1898 -5.0612 0.3000 2.8007
