# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.1972 -0.1225 -0.0984 -0.0940 -0.0921 0.4000 4.9619
2.0000 -0.1984 -0.1166 -0.0871 -0.0853 -0.0838 0.4000 4.7562
3.0000 -0.2001 -0.1149 -0.0854 -0.0840 -0.0782 0.4000 4.6464
4.0000 -0.2008 -0.1142 -0.0851 -0.0831 -0.0759 0.4000 4.5866
5.0000 -0.2005 -0.1136 -0.0853 -0.0822 -0.0749 0.4000 4.5495
6.0000 -0.1995 -0.1126 -0.0852 -0.0812 -0.0739 0.4000 4.5069
7.0000 -0.1976 -0.1115 -0.0841 -0.0800 -0.0729 0.4000 4.4675
8.0000 -0.1952 -0.1105 -0.0825 -0.0789 -0.0720 0.4000 4.4337
9.0000 -0.1929 -0.1096 -0.0811 -0.0779 -0.0711 0.4000 4.4024
10.0000 -0.1898 -0.1086 -0.0796 -0.0765 -0.0700 0.4000 4.3667
11.0000 -0.1878 -0.1078 -0.0789 -0.0756 -0.0694 0.4000 4.3412
12.0000 -0.1863 -0.1071 -0.0785 -0.0750 -0.0689 0.4000 4.3192
13.0000 -0.1850 -0.1066 -0.0783 -0.0745 -0.0686 0.4000 4.3006
14.0000 -0.1838 -0.1060 -0.0782 -0.0741 -0.0683 0.4000 4.2802
15.0000 -0.1826 -0.1057 -0.0780 -0.0737 -0.0680 0.4000 4.2621
16.0000 -0.1812 -0.1052 -0.0778 -0.0732 -0.0676 0.4000 4.2444
# OPTIMIZATION PARAMETERS 
# nelx: 50
# nely: 50
# max buckling: 0.0
# penalization: 6.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([2549, 2651, 2753], dtype=int64)}
# bc: Left Clamped
# 
