# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.3440 -0.3433 -0.3176 -0.3117 -0.2966 0.4000 44.3796
2.0000 -0.2511 -0.2510 -0.2332 -0.2331 -0.2210 0.4000 32.6268
3.0000 -0.1883 -0.1842 -0.1674 -0.1542 -0.1525 0.4000 24.5248
4.0000 -0.1591 -0.1478 -0.1424 -0.1247 -0.1159 0.4000 21.5617
5.0000 -0.1324 -0.1248 -0.1149 -0.1016 -0.0985 0.4000 18.5561
6.0000 -0.1258 -0.1086 -0.1049 -0.1009 -0.0935 0.4000 16.3855
7.0000 -0.1289 -0.1225 -0.1162 -0.1086 -0.1067 0.4000 13.8652
8.0000 -0.1847 -0.1837 -0.1724 -0.1661 -0.1515 0.4000 10.8288
9.0000 -0.1470 -0.1391 -0.1065 -0.1029 -0.0880 0.4000 7.2876
10.0000 -0.1380 -0.1313 -0.0974 -0.0901 -0.0758 0.4000 6.6405
11.0000 -0.1318 -0.1269 -0.0920 -0.0835 -0.0698 0.4000 6.3164
12.0000 -0.1264 -0.1231 -0.0874 -0.0782 -0.0653 0.4000 6.0600
13.0000 -0.1233 -0.1207 -0.0846 -0.0752 -0.0634 0.4000 5.8875
14.0000 -0.1199 -0.1171 -0.0812 -0.0715 -0.0629 0.4000 5.6923
15.0000 -0.1183 -0.1151 -0.0794 -0.0697 -0.0626 0.4000 5.5786
16.0000 -0.1169 -0.1128 -0.0775 -0.0680 -0.0623 0.4000 5.4703
17.0000 -0.1157 -0.1108 -0.0761 -0.0666 -0.0620 0.4000 5.3903
18.0000 -0.1138 -0.1081 -0.0741 -0.0647 -0.0615 0.4000 5.2715
19.0000 -0.1126 -0.1067 -0.0730 -0.0637 -0.0613 0.4000 5.2030
20.0000 -0.1116 -0.1053 -0.0719 -0.0627 -0.0610 0.4000 5.1318
21.0000 -0.1107 -0.1036 -0.0706 -0.0617 -0.0608 0.4000 5.0575
22.0000 -0.1098 -0.1020 -0.0693 -0.0608 -0.0605 0.4000 4.9888
23.0000 -0.1092 -0.1013 -0.0689 -0.0605 -0.0603 0.4000 4.9565
24.0000 -0.1081 -0.1000 -0.0679 -0.0600 -0.0596 0.4000 4.8932
25.0000 -0.1072 -0.0989 -0.0671 -0.0597 -0.0588 0.4000 4.8340
26.0000 -0.1067 -0.0981 -0.0666 -0.0594 -0.0584 0.4000 4.7975
27.0000 -0.1057 -0.0967 -0.0656 -0.0589 -0.0575 0.4000 4.7308
28.0000 -0.1048 -0.0955 -0.0647 -0.0586 -0.0568 0.4000 4.6804
29.0000 -0.1038 -0.0943 -0.0638 -0.0584 -0.0561 0.4000 4.6357
30.0000 -0.1029 -0.0931 -0.0628 -0.0582 -0.0555 0.4000 4.5936
31.0000 -0.1024 -0.0927 -0.0625 -0.0581 -0.0552 0.4000 4.5747
32.0000 -0.1013 -0.0917 -0.0618 -0.0578 -0.0544 0.4000 4.5304
33.0000 -0.1008 -0.0910 -0.0613 -0.0577 -0.0541 0.4000 4.5061
34.0000 -0.1001 -0.0901 -0.0607 -0.0575 -0.0539 0.4000 4.4723
35.0000 -0.0996 -0.0894 -0.0602 -0.0574 -0.0537 0.4000 4.4487
36.0000 -0.0990 -0.0887 -0.0598 -0.0573 -0.0536 0.4000 4.4264
37.0000 -0.0979 -0.0873 -0.0588 -0.0571 -0.0534 0.4000 4.3834
38.0000 -0.0971 -0.0864 -0.0582 -0.0570 -0.0533 0.4000 4.3547
39.0000 -0.0965 -0.0857 -0.0576 -0.0569 -0.0532 0.4000 4.3337
40.0000 -0.0957 -0.0846 -0.0570 -0.0567 -0.0531 0.4000 4.3030
41.0000 -0.0951 -0.0839 -0.0568 -0.0562 -0.0530 0.4000 4.2821
42.0000 -0.0947 -0.0835 -0.0567 -0.0560 -0.0529 0.4000 4.2704
43.0000 -0.0942 -0.0829 -0.0566 -0.0556 -0.0528 0.4000 4.2493
44.0000 -0.0939 -0.0825 -0.0565 -0.0554 -0.0527 0.4000 4.2368
45.0000 -0.0935 -0.0818 -0.0564 -0.0550 -0.0526 0.4000 4.2179
46.0000 -0.0932 -0.0814 -0.0564 -0.0548 -0.0526 0.4000 4.2053
47.0000 -0.0928 -0.0809 -0.0563 -0.0545 -0.0525 0.4000 4.1899
48.0000 -0.0922 -0.0803 -0.0562 -0.0541 -0.0524 0.4000 4.1701
49.0000 -0.0917 -0.0796 -0.0561 -0.0537 -0.0523 0.4000 4.1502
50.0000 -0.0913 -0.0792 -0.0560 -0.0534 -0.0522 0.4000 4.1363
51.0000 -0.0908 -0.0786 -0.0559 -0.0530 -0.0521 0.4000 4.1173
52.0000 -0.0904 -0.0781 -0.0558 -0.0527 -0.0520 0.4000 4.1025
53.0000 -0.0901 -0.0777 -0.0558 -0.0525 -0.0520 0.4000 4.0910
# OPTIMIZATION PARAMETERS 
# nelx: 50
# nely: 50
# max buckling: 0.0
# penalization: 6.0
# initial densities: 0.4
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([2549, 2651, 2753], dtype=int64)}
# bc: Left Clamped
# 
