# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.1533 -0.1118 -0.0954 -0.0927 -0.0879 0.4000 7.2191
2.0000 -0.1422 -0.1054 -0.0888 -0.0864 -0.0836 0.4000 8.3252
3.0000 -0.1326 -0.0960 -0.0872 -0.0843 -0.0788 0.4000 9.4361
4.0000 -0.1221 -0.0864 -0.0855 -0.0850 -0.0844 0.4000 10.5035
5.0000 -0.1118 -0.0886 -0.0871 -0.0863 -0.0857 0.4000 11.4908
6.0000 -0.1039 -0.0874 -0.0864 -0.0862 -0.0856 0.4000 12.0974
7.0000 -0.0960 -0.0932 -0.0872 -0.0862 -0.0860 0.4000 12.2690
8.0000 -0.0886 -0.0869 -0.0851 -0.0844 -0.0821 0.4000 11.7603
9.0000 -0.0836 -0.0817 -0.0808 -0.0801 -0.0766 0.4000 10.0319
10.0000 -0.0788 -0.0766 -0.0755 -0.0741 -0.0734 0.4000 8.5859
11.0000 -0.0778 -0.0761 -0.0753 -0.0738 -0.0732 0.4000 8.5238
12.0000 -0.0763 -0.0758 -0.0742 -0.0736 -0.0733 0.4000 8.4440
13.0000 -0.0758 -0.0754 -0.0745 -0.0735 -0.0727 0.4000 8.4183
14.0000 -0.0755 -0.0742 -0.0731 -0.0722 -0.0717 0.4000 8.4029
15.0000 -0.0752 -0.0740 -0.0730 -0.0721 -0.0714 0.4000 8.3850
16.0000 -0.0749 -0.0739 -0.0728 -0.0721 -0.0714 0.4000 8.3406
17.0000 -0.0747 -0.0742 -0.0738 -0.0728 -0.0722 0.4000 8.2796
18.0000 -0.0745 -0.0741 -0.0738 -0.0729 -0.0723 0.4000 8.2016
19.0000 -0.0743 -0.0738 -0.0737 -0.0728 -0.0723 0.4000 8.1093
20.0000 -0.0742 -0.0737 -0.0728 -0.0727 -0.0722 0.4000 8.0163
21.0000 -0.0740 -0.0736 -0.0729 -0.0723 -0.0722 0.4000 7.9921
22.0000 -0.0744 -0.0739 -0.0728 -0.0716 -0.0712 0.4000 7.6043
23.0000 -0.0733 -0.0732 -0.0723 -0.0711 -0.0703 0.4000 7.4141
24.0000 -0.0727 -0.0725 -0.0718 -0.0709 -0.0696 0.4000 7.4976
25.0000 -0.0725 -0.0725 -0.0718 -0.0710 -0.0688 0.4000 7.4087
26.0000 -0.0725 -0.0724 -0.0717 -0.0709 -0.0686 0.4000 7.2965
27.0000 -0.0726 -0.0725 -0.0714 -0.0709 -0.0689 0.4000 7.1929
28.0000 -0.0725 -0.0724 -0.0712 -0.0710 -0.0691 0.4000 7.1102
29.0000 -0.0725 -0.0724 -0.0710 -0.0710 -0.0692 0.4000 7.0449
30.0000 -0.0725 -0.0724 -0.0711 -0.0709 -0.0692 0.4000 7.0094
31.0000 -0.0725 -0.0724 -0.0711 -0.0709 -0.0693 0.4000 6.9721
32.0000 -0.0725 -0.0724 -0.0711 -0.0709 -0.0694 0.4000 6.9353
33.0000 -0.0725 -0.0725 -0.0711 -0.0709 -0.0694 0.4000 6.8887
34.0000 -0.0725 -0.0725 -0.0712 -0.0708 -0.0696 0.4000 6.8406
35.0000 -0.0725 -0.0724 -0.0713 -0.0708 -0.0697 0.4000 6.8052
36.0000 -0.0725 -0.0724 -0.0714 -0.0709 -0.0698 0.4000 6.7810
37.0000 -0.0725 -0.0724 -0.0716 -0.0710 -0.0699 0.4000 6.7505
38.0000 -0.0725 -0.0724 -0.0717 -0.0711 -0.0700 0.4000 6.7308
39.0000 -0.0725 -0.0724 -0.0720 -0.0712 -0.0701 0.4000 6.6920
40.0000 -0.0725 -0.0725 -0.0721 -0.0714 -0.0703 0.4000 6.6571
41.0000 -0.0726 -0.0725 -0.0722 -0.0716 -0.0703 0.4000 6.6254
42.0000 -0.0726 -0.0724 -0.0721 -0.0716 -0.0700 0.4000 6.5972
# OPTIMIZATION PARAMETERS 
# nelx: 50
# nely: 50
# max buckling: 13.797
# penalization: 6.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 2000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([2549, 2651, 2753], dtype=int64)}
# bc: Left Clamped
# 
