# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.1258 -0.1023 -0.0957 -0.0951 -0.0907 0.4000 6.1587
2.0000 -0.0891 -0.0856 -0.0849 -0.0836 -0.0776 0.4000 5.8952
3.0000 -0.0825 -0.0774 -0.0770 -0.0758 -0.0712 0.4000 5.6438
4.0000 -0.0797 -0.0701 -0.0690 -0.0647 -0.0642 0.4000 5.3069
5.0000 -0.0727 -0.0658 -0.0647 -0.0638 -0.0626 0.4000 5.2013
6.0000 -0.0725 -0.0655 -0.0638 -0.0628 -0.0597 0.4000 5.1122
7.0000 -0.0725 -0.0671 -0.0593 -0.0587 -0.0560 0.4000 4.9188
8.0000 -0.0726 -0.0665 -0.0539 -0.0538 -0.0529 0.4000 4.6949
9.0000 -0.0725 -0.0660 -0.0521 -0.0503 -0.0503 0.4000 4.5330
10.0000 -0.0725 -0.0653 -0.0517 -0.0502 -0.0502 0.4000 4.3812
11.0000 -0.0725 -0.0647 -0.0520 -0.0500 -0.0498 0.4000 4.2676
12.0000 -0.0725 -0.0643 -0.0525 -0.0506 -0.0493 0.4000 4.1677
13.0000 -0.0725 -0.0642 -0.0527 -0.0507 -0.0490 0.4000 4.1419
14.0000 -0.0725 -0.0643 -0.0529 -0.0509 -0.0485 0.4000 4.1098
15.0000 -0.0725 -0.0644 -0.0532 -0.0511 -0.0480 0.4000 4.0749
16.0000 -0.0725 -0.0648 -0.0535 -0.0513 -0.0478 0.4000 4.0372
17.0000 -0.0725 -0.0652 -0.0540 -0.0517 -0.0478 0.4000 3.9995
18.0000 -0.0725 -0.0653 -0.0545 -0.0522 -0.0486 0.4000 3.9663
19.0000 -0.0725 -0.0653 -0.0552 -0.0530 -0.0497 0.4000 3.9342
20.0000 -0.0725 -0.0651 -0.0560 -0.0538 -0.0507 0.4000 3.9075
21.0000 -0.0725 -0.0647 -0.0569 -0.0547 -0.0517 0.4000 3.8842
22.0000 -0.0725 -0.0643 -0.0577 -0.0554 -0.0525 0.4000 3.8654
23.0000 -0.0725 -0.0640 -0.0583 -0.0561 -0.0531 0.4000 3.8479
24.0000 -0.0725 -0.0637 -0.0587 -0.0566 -0.0534 0.4000 3.8300
25.0000 -0.0725 -0.0634 -0.0586 -0.0569 -0.0533 0.4000 3.8135
26.0000 -0.0725 -0.0631 -0.0584 -0.0572 -0.0531 0.4000 3.7917
27.0000 -0.0725 -0.0629 -0.0582 -0.0575 -0.0529 0.4000 3.7715
28.0000 -0.0725 -0.0627 -0.0581 -0.0578 -0.0526 0.4000 3.7535
29.0000 -0.0725 -0.0626 -0.0581 -0.0579 -0.0524 0.4000 3.7361
30.0000 -0.0725 -0.0625 -0.0584 -0.0578 -0.0522 0.4000 3.7207
31.0000 -0.0725 -0.0625 -0.0586 -0.0576 -0.0521 0.4000 3.7050
32.0000 -0.0725 -0.0625 -0.0588 -0.0575 -0.0521 0.4000 3.6931
33.0000 -0.0725 -0.0625 -0.0590 -0.0573 -0.0521 0.4000 3.6814
# OPTIMIZATION PARAMETERS 
# nelx: 50
# nely: 50
# max buckling: 13.797
# penalization: 1.484
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 2000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([2549, 2651, 2753], dtype=int64)}
# bc: Left Clamped
# 
