# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.2974 -0.2904 -0.2834 -0.2764 -0.2692 0.4000 28.6483
2.0000 -0.3004 -0.2690 -0.2496 -0.2467 -0.2297 0.4000 28.0373
3.0000 -0.2333 -0.2243 -0.2241 -0.2087 -0.2029 0.4000 25.3502
4.0000 -0.2201 -0.2131 -0.2056 -0.2024 -0.1966 0.4000 24.3972
5.0000 -0.2166 -0.2092 -0.1963 -0.1888 -0.1873 0.4000 23.0552
6.0000 -0.2164 -0.1655 -0.1613 -0.1579 -0.1538 0.4000 19.2345
7.0000 -0.1656 -0.1581 -0.1442 -0.1429 -0.1426 0.4000 19.7970
8.0000 -0.1552 -0.1405 -0.1404 -0.1399 -0.1374 0.4000 19.6686
9.0000 -0.1452 -0.1427 -0.1338 -0.1328 -0.1319 0.4000 19.6117
10.0000 -0.1382 -0.1344 -0.1340 -0.1329 -0.1252 0.4000 19.4978
11.0000 -0.1292 -0.1284 -0.1277 -0.1276 -0.1246 0.4000 19.7263
12.0000 -0.1241 -0.1223 -0.1210 -0.1199 -0.1190 0.4000 19.9758
13.0000 -0.1205 -0.1193 -0.1182 -0.1176 -0.1167 0.4000 20.0485
14.0000 -0.1184 -0.1157 -0.1152 -0.1151 -0.1145 0.4000 19.9902
15.0000 -0.1155 -0.1149 -0.1140 -0.1121 -0.1118 0.4000 20.0711
16.0000 -0.1142 -0.1122 -0.1121 -0.1109 -0.1100 0.4000 20.0711
17.0000 -0.1125 -0.1124 -0.1106 -0.1093 -0.1092 0.4000 20.0369
18.0000 -0.1114 -0.1100 -0.1096 -0.1090 -0.1086 0.4000 19.9367
19.0000 -0.1105 -0.1086 -0.1083 -0.1078 -0.1076 0.4000 19.9381
20.0000 -0.1086 -0.1080 -0.1078 -0.1073 -0.1061 0.4000 19.9780
21.0000 -0.1088 -0.1073 -0.1060 -0.1058 -0.1057 0.4000 20.0410
22.0000 -0.1070 -0.1065 -0.1058 -0.1053 -0.1046 0.4000 20.1511
23.0000 -0.1052 -0.1051 -0.1047 -0.1046 -0.1042 0.4000 20.2717
24.0000 -0.1046 -0.1044 -0.1043 -0.1041 -0.1040 0.4000 20.3175
25.0000 -0.1052 -0.1039 -0.1035 -0.1033 -0.1032 0.4000 20.3493
26.0000 -0.1041 -0.1036 -0.1033 -0.1032 -0.1032 0.4000 20.3698
27.0000 -0.1047 -0.1032 -0.1032 -0.1027 -0.1025 0.4000 20.3992
28.0000 -0.1034 -0.1034 -0.1028 -0.1024 -0.1021 0.4000 20.4254
29.0000 -0.1030 -0.1026 -0.1023 -0.1022 -0.1019 0.4000 20.4612
30.0000 -0.1052 -0.1031 -0.1020 -0.1013 -0.1012 0.4000 20.5430
31.0000 -0.1039 -0.1018 -0.1015 -0.1011 -0.1007 0.4000 20.6116
32.0000 -0.1034 -0.1013 -0.1011 -0.1005 -0.1002 0.4000 20.6465
33.0000 -0.1030 -0.1015 -0.0999 -0.0998 -0.0993 0.4000 20.6487
34.0000 -0.1013 -0.1010 -0.1007 -0.0992 -0.0989 0.4000 20.6486
35.0000 -0.1035 -0.0989 -0.0986 -0.0985 -0.0984 0.4000 20.6935
36.0000 -0.1027 -0.0994 -0.0984 -0.0980 -0.0978 0.4000 20.7487
