# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.1373 -0.1015 -0.0826 -0.0773 -0.0732 0.4000 5.3713
2.0000 -0.0996 -0.0834 -0.0729 -0.0704 -0.0703 0.4000 5.0954
3.0000 -0.0771 -0.0664 -0.0656 -0.0647 -0.0609 0.4000 4.8294
4.0000 -0.0671 -0.0590 -0.0588 -0.0565 -0.0551 0.4000 4.6116
5.0000 -0.0625 -0.0527 -0.0526 -0.0505 -0.0493 0.4000 4.3981
6.0000 -0.0587 -0.0466 -0.0463 -0.0462 -0.0442 0.4000 4.1988
7.0000 -0.0564 -0.0443 -0.0429 -0.0422 -0.0408 0.4000 4.0627
8.0000 -0.0546 -0.0432 -0.0415 -0.0400 -0.0384 0.4000 3.9620
9.0000 -0.0531 -0.0421 -0.0409 -0.0387 -0.0366 0.4000 3.8755
10.0000 -0.0523 -0.0414 -0.0404 -0.0381 -0.0357 0.4000 3.8078
11.0000 -0.0517 -0.0407 -0.0403 -0.0379 -0.0354 0.4000 3.7422
12.0000 -0.0510 -0.0404 -0.0398 -0.0378 -0.0353 0.4000 3.6679
13.0000 -0.0505 -0.0407 -0.0392 -0.0379 -0.0354 0.4000 3.6142
14.0000 -0.0502 -0.0408 -0.0390 -0.0379 -0.0352 0.4000 3.5966
15.0000 -0.0499 -0.0411 -0.0387 -0.0381 -0.0352 0.4000 3.5754
16.0000 -0.0497 -0.0414 -0.0385 -0.0383 -0.0354 0.4000 3.5540
17.0000 -0.0494 -0.0419 -0.0387 -0.0382 -0.0357 0.4000 3.5303
18.0000 -0.0490 -0.0424 -0.0391 -0.0379 -0.0360 0.4000 3.5097
19.0000 -0.0487 -0.0431 -0.0396 -0.0376 -0.0363 0.4000 3.4883
20.0000 -0.0482 -0.0438 -0.0402 -0.0373 -0.0368 0.4000 3.4674
21.0000 -0.0478 -0.0445 -0.0407 -0.0372 -0.0370 0.4000 3.4523
22.0000 -0.0474 -0.0454 -0.0413 -0.0378 -0.0366 0.4000 3.4364
23.0000 -0.0470 -0.0460 -0.0418 -0.0382 -0.0363 0.4000 3.4249
# OPTIMIZATION PARAMETERS 
# nelx: 50
# nely: 50
# max buckling: 0.0
# penalization: 1.484
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([2549, 2651, 2753], dtype=int64)}
# bc: Left Clamped
# 
