# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -10.7775 -10.2788 -10.0139 -9.8475 -9.3066 0.3000 2.2690
2.0000 -9.7293 -9.6333 -8.8163 -8.3464 -7.7018 0.3000 1.9848
3.0000 -8.6103 -8.1857 -7.2035 -6.7254 -6.3452 0.3000 1.8355
4.0000 -6.2681 -6.1363 -5.9492 -5.3223 -5.2237 0.3000 1.7070
5.0000 -5.6885 -4.8875 -4.7228 -4.4430 -4.2933 0.3000 1.5511
6.0000 -5.3618 -4.8732 -4.5537 -4.4688 -4.0861 0.3000 1.3339
7.0000 -5.3262 -4.4797 -4.1618 -3.9454 -3.7933 0.3000 1.1784
8.0000 -5.3288 -4.5005 -3.9963 -3.9155 -3.7935 0.3000 1.0660
9.0000 -5.3235 -4.5400 -4.0177 -3.8056 -3.7914 0.3000 0.9642
10.0000 -5.3202 -4.5722 -3.9594 -3.7165 -3.5752 0.3000 0.8878
11.0000 -5.3192 -4.5885 -3.7644 -3.5268 -3.4353 0.3000 0.8298
12.0000 -5.3183 -4.5866 -3.6223 -3.4760 -3.1815 0.3000 0.7802
13.0000 -5.3185 -4.5656 -3.4708 -3.4275 -3.1309 0.3000 0.7458
14.0000 -5.3189 -4.5309 -3.3749 -3.3023 -3.0758 0.3000 0.7176
15.0000 -5.3192 -4.4835 -3.3148 -3.1405 -3.0117 0.3000 0.6933
16.0000 -5.3194 -4.4357 -3.2565 -2.9764 -2.9483 0.3000 0.6743
17.0000 -5.3190 -4.3850 -3.1951 -2.8826 -2.7915 0.3000 0.6564
18.0000 -5.3185 -4.3252 -3.1249 -2.8077 -2.6341 0.3000 0.6376
19.0000 -5.3179 -4.2567 -3.0466 -2.7231 -2.5425 0.3000 0.6184
20.0000 -5.3176 -4.1820 -2.9651 -2.6379 -2.4477 0.3000 0.6002
21.0000 -5.3179 -4.1077 -2.8873 -2.5587 -2.3551 0.3000 0.5839
22.0000 -5.3179 -4.0379 -2.8153 -2.4860 -2.2698 0.3000 0.5691
23.0000 -5.3184 -3.9813 -2.7576 -2.4288 -2.2050 0.3000 0.5576
24.0000 -5.3185 -3.9321 -2.7071 -2.3799 -2.1518 0.3000 0.5478
25.0000 -5.3192 -3.8971 -2.6707 -2.3453 -2.1152 0.3000 0.5409
26.0000 -5.3185 -3.8558 -2.6282 -2.3041 -2.0732 0.3000 0.5329
27.0000 -5.3179 -3.8118 -2.5832 -2.2597 -2.0289 0.3000 0.5244
28.0000 -5.3183 -3.7735 -2.5447 -2.2217 -1.9911 0.3000 0.5172
29.0000 -5.3172 -3.7427 -2.5147 -2.1923 -1.9629 0.3000 0.5118
30.0000 -5.3150 -3.7123 -2.4848 -2.1623 -1.9348 0.3000 0.5064
31.0000 -5.3130 -3.6840 -2.4568 -2.1345 -1.9088 0.3000 0.5014
32.0000 -5.3149 -3.6618 -2.4339 -2.1124 -1.8875 0.3000 0.4973
33.0000 -5.3178 -3.6443 -2.4152 -2.0942 -1.8708 0.3000 0.4940
34.0000 -5.3187 -3.6198 -2.3901 -2.0700 -1.8487 0.3000 0.4896
35.0000 -5.3187 -3.5954 -2.3663 -2.0478 -1.8290 0.3000 0.4854
36.0000 -5.3192 -3.5753 -2.3474 -2.0302 -1.8133 0.3000 0.4819
37.0000 -5.3195 -3.5590 -2.3315 -2.0156 -1.8003 0.3000 0.4789
