# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -6.7455 -6.7188 -6.2604 -6.0910 -5.9743 0.3000 1.2556
2.0000 -5.9084 -5.8366 -5.6014 -5.5488 -5.4267 0.3000 1.2814
3.0000 -5.8001 -5.5455 -5.3670 -5.2798 -5.1765 0.3000 1.3025
4.0000 -4.4426 -4.4109 -4.2523 -4.2089 -3.9559 0.3000 1.2743
5.0000 -3.6398 -3.5250 -3.4584 -3.4365 -3.3841 0.3000 1.1467
6.0000 -3.3877 -3.3711 -3.2250 -3.1324 -3.0272 0.3000 1.0034
7.0000 -3.3413 -3.1005 -2.8765 -2.8684 -2.8378 0.3000 0.9450
8.0000 -3.2028 -3.0315 -2.9388 -2.7630 -2.6400 0.3000 0.8914
9.0000 -3.1984 -3.0637 -2.9002 -2.5653 -2.4647 0.3000 0.8387
10.0000 -3.2001 -3.1288 -2.7580 -2.3870 -2.2664 0.3000 0.7784
11.0000 -3.2067 -3.1961 -2.5546 -2.3887 -2.2695 0.3000 0.7336
12.0000 -3.1953 -3.1827 -2.4102 -2.3740 -2.2603 0.3000 0.7054
13.0000 -3.2073 -3.1932 -2.3770 -2.2701 -2.2370 0.3000 0.6728
14.0000 -3.1943 -3.1923 -2.3727 -2.2764 -2.1714 0.3000 0.6504
15.0000 -3.1972 -3.1886 -2.3719 -2.2796 -2.1633 0.3000 0.6374
16.0000 -3.1937 -3.1742 -2.3677 -2.2778 -2.1490 0.3000 0.6226
17.0000 -3.1931 -3.1647 -2.3634 -2.2728 -2.1367 0.3000 0.6117
18.0000 -3.1932 -3.1534 -2.3585 -2.2655 -2.1223 0.3000 0.6002
19.0000 -3.1928 -3.1425 -2.3542 -2.2571 -2.1095 0.3000 0.5907
20.0000 -3.1927 -3.1329 -2.3512 -2.2486 -2.0981 0.3000 0.5823
21.0000 -3.1926 -3.1245 -2.3480 -2.2402 -2.0879 0.3000 0.5760
22.0000 -3.1925 -3.1152 -2.3441 -2.2307 -2.0770 0.3000 0.5697
23.0000 -3.1925 -3.1037 -2.3380 -2.2179 -2.0630 0.3000 0.5628
24.0000 -3.1926 -3.0884 -2.3310 -2.2010 -2.0436 0.3000 0.5536
25.0000 -3.1924 -3.0762 -2.3268 -2.1886 -2.0286 0.3000 0.5466
26.0000 -3.1924 -3.0676 -2.3245 -2.1807 -2.0192 0.3000 0.5416
27.0000 -3.1923 -3.0573 -2.3235 -2.1720 -2.0077 0.3000 0.5356
28.0000 -3.1923 -3.0472 -2.3233 -2.1624 -1.9953 0.3000 0.5294
29.0000 -3.1923 -3.0401 -2.3219 -2.1552 -1.9863 0.3000 0.5250
30.0000 -3.1923 -3.0342 -2.3194 -2.1481 -1.9788 0.3000 0.5215
31.0000 -3.1922 -3.0299 -2.3176 -2.1418 -1.9722 0.3000 0.5184
32.0000 -3.1921 -3.0242 -2.3160 -2.1335 -1.9636 0.3000 0.5143
33.0000 -3.1921 -3.0192 -2.3154 -2.1261 -1.9560 0.3000 0.5105
34.0000 -3.1922 -3.0141 -2.3156 -2.1202 -1.9502 0.3000 0.5074
35.0000 -3.1922 -3.0096 -2.3153 -2.1153 -1.9460 0.3000 0.5053
36.0000 -3.1922 -3.0038 -2.3150 -2.1097 -1.9412 0.3000 0.5029
37.0000 -3.1923 -2.9979 -2.3130 -2.1038 -1.9369 0.3000 0.5010
38.0000 -3.1922 -2.9891 -2.3094 -2.0954 -1.9310 0.3000 0.4985
39.0000 -3.1921 -2.9790 -2.3049 -2.0856 -1.9246 0.3000 0.4957
40.0000 -3.1921 -2.9683 -2.2996 -2.0756 -1.9181 0.3000 0.4930
41.0000 -3.1922 -2.9594 -2.2944 -2.0676 -1.9130 0.3000 0.4911
42.0000 -3.1922 -2.9487 -2.2879 -2.0587 -1.9072 0.3000 0.4890
43.0000 -3.1922 -2.9392 -2.2827 -2.0520 -1.9025 0.3000 0.4872
44.0000 -3.1923 -2.9316 -2.2794 -2.0472 -1.8990 0.3000 0.4857
45.0000 -3.1922 -2.9212 -2.2748 -2.0409 -1.8943 0.3000 0.4838
46.0000 -3.1921 -2.9099 -2.2692 -2.0339 -1.8889 0.3000 0.4817
47.0000 -3.1920 -2.8953 -2.2615 -2.0249 -1.8821 0.3000 0.4790
48.0000 -3.1922 -2.8869 -2.2571 -2.0199 -1.8781 0.3000 0.4774
49.0000 -3.1921 -2.8759 -2.2521 -2.0144 -1.8733 0.3000 0.4755
50.0000 -3.1923 -2.8692 -2.2493 -2.0112 -1.8703 0.3000 0.4743
51.0000 -3.1923 -2.8612 -2.2465 -2.0079 -1.8669 0.3000 0.4729
52.0000 -3.1923 -2.8546 -2.2443 -2.0051 -1.8640 0.3000 0.4718
53.0000 -3.1922 -2.8469 -2.2415 -2.0016 -1.8604 0.3000 0.4704
54.0000 -3.1923 -2.8385 -2.2385 -1.9977 -1.8566 0.3000 0.4690
55.0000 -3.1923 -2.8324 -2.2365 -1.9951 -1.8541 0.3000 0.4680
56.0000 -3.1923 -2.8257 -2.2347 -1.9924 -1.8516 0.3000 0.4669
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.31325
# penalization: 3.0
# initial densities: [0.9995 1.     0.975  ... 0.     0.     0.1488]
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
