# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -11.3198 -11.0932 -10.4999 -10.3917 -9.9703 0.3000 2.3604
2.0000 -10.2335 -9.0926 -7.6753 -7.3902 -6.9894 0.3000 1.8426
3.0000 -10.2607 -8.3959 -6.6238 -6.2225 -5.8255 0.3000 1.5399
4.0000 -10.6475 -8.0527 -6.0261 -5.5339 -5.1359 0.3000 1.3067
5.0000 -11.1173 -7.8324 -7.1419 -6.4360 -6.2518 0.3000 1.1140
6.0000 -11.3176 -8.9801 -8.7085 -7.6516 -7.6394 0.3000 0.9771
7.0000 -11.2833 -8.6624 -7.6563 -7.4886 -6.8351 0.3000 0.8867
8.0000 -11.1440 -7.7551 -7.3324 -6.7219 -6.0325 0.3000 0.8197
9.0000 -10.9614 -7.1693 -6.7714 -5.9466 -5.2114 0.3000 0.7624
10.0000 -10.7124 -6.9563 -5.6770 -5.1394 -4.5364 0.3000 0.7016
11.0000 -10.4439 -6.7319 -4.7230 -4.3768 -4.3127 0.3000 0.6497
12.0000 -10.2481 -6.5694 -4.1710 -4.1643 -3.9486 0.3000 0.6190
13.0000 -10.0130 -6.3774 -4.0094 -3.6053 -3.5648 0.3000 0.5887
14.0000 -9.8538 -6.2449 -3.9049 -3.3384 -3.2692 0.3000 0.5690
15.0000 -9.7107 -6.1253 -3.8129 -3.1862 -3.1245 0.3000 0.5526
16.0000 -9.5758 -6.0135 -3.7292 -3.1125 -2.9368 0.3000 0.5389
17.0000 -9.4753 -5.9331 -3.6703 -3.0611 -2.8049 0.3000 0.5293
18.0000 -9.3676 -5.8504 -3.6105 -3.0095 -2.6649 0.3000 0.5198
19.0000 -9.2897 -5.7896 -3.5676 -2.9727 -2.5578 0.3000 0.5132
20.0000 -9.1762 -5.7005 -3.5058 -2.9199 -2.4329 0.3000 0.5037
21.0000 -9.0649 -5.6109 -3.4455 -2.8686 -2.3831 0.3000 0.4944
22.0000 -8.9831 -5.5452 -3.4023 -2.8327 -2.3489 0.3000 0.4882
23.0000 -8.9017 -5.4804 -3.3601 -2.7981 -2.3165 0.3000 0.4824
24.0000 -8.7983 -5.4003 -3.3087 -2.7558 -2.2773 0.3000 0.4753
25.0000 -8.7253 -5.3480 -3.2747 -2.7276 -2.2514 0.3000 0.4705
26.0000 -8.6644 -5.3040 -3.2456 -2.7041 -2.2301 0.3000 0.4663
27.0000 -8.6185 -5.2692 -3.2242 -2.6865 -2.2164 0.3000 0.4631
28.0000 -8.5589 -5.2223 -3.1963 -2.6632 -2.1990 0.3000 0.4589
29.0000 -8.5062 -5.1797 -3.1706 -2.6420 -2.1833 0.3000 0.4552
30.0000 -8.4748 -5.1526 -3.1547 -2.6287 -2.1736 0.3000 0.4528
31.0000 -8.4307 -5.1168 -3.1330 -2.6106 -2.1608 0.3000 0.4496
32.0000 -8.3854 -5.0824 -3.1116 -2.5926 -2.1486 0.3000 0.4465
33.0000 -8.3422 -5.0519 -3.0929 -2.5768 -2.1381 0.3000 0.4439
34.0000 -8.2972 -5.0214 -3.0748 -2.5618 -2.1281 0.3000 0.4414
35.0000 -8.2573 -4.9933 -3.0583 -2.5482 -2.1192 0.3000 0.4391
36.0000 -8.2070 -4.9561 -3.0370 -2.5305 -2.1078 0.3000 0.4361
37.0000 -8.1695 -4.9275 -3.0203 -2.5169 -2.0991 0.3000 0.4336
38.0000 -8.1046 -4.8791 -2.9920 -2.4940 -2.0849 0.3000 0.4293
39.0000 -8.0618 -4.8476 -2.9737 -2.4793 -2.0761 0.3000 0.4266
40.0000 -8.0393 -4.8299 -2.9636 -2.4711 -2.0713 0.3000 0.4251
41.0000 -8.0216 -4.8148 -2.9551 -2.4641 -2.0674 0.3000 0.4237
42.0000 -8.0066 -4.8018 -2.9483 -2.4579 -2.0645 0.3000 0.4226
43.0000 -7.9947 -4.7901 -2.9425 -2.4527 -2.0622 0.3000 0.4215
44.0000 -7.9805 -4.7762 -2.9356 -2.4466 -2.0594 0.3000 0.4202
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.0
# penalization: 3.0
# initial densities: [0.8484 0.9965 0.7306 ... 0.3001 0.0942 0.5367]
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
