# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -7.8225 -5.4575 -4.6394 -3.7648 -3.2485 0.3000 0.5349
2.0000 -6.9124 -4.9585 -4.1950 -3.5235 -3.0310 0.3000 0.5111
3.0000 -5.2395 -4.0051 -3.3997 -2.9713 -2.6632 0.3000 0.4668
4.0000 -4.1342 -3.3195 -2.8898 -2.5857 -2.3383 0.3000 0.4366
5.0000 -3.1430 -2.6573 -2.3930 -2.2211 -2.0490 0.3000 0.4083
6.0000 -2.9371 -2.5065 -2.2727 -2.1234 -1.9772 0.3000 0.4017
7.0000 -2.8751 -2.4448 -2.2155 -2.0720 -1.9368 0.3000 0.3987
8.0000 -2.7831 -2.3498 -2.1234 -1.9860 -1.8668 0.3000 0.3939
9.0000 -2.7800 -2.2943 -2.0459 -1.9035 -1.7917 0.3000 0.3898
10.0000 -2.7834 -2.2728 -2.0131 -1.8651 -1.7537 0.3000 0.3878
11.0000 -2.7966 -2.2168 -1.9260 -1.7582 -1.6454 0.3000 0.3819
12.0000 -2.8082 -2.1773 -1.8628 -1.6793 -1.5649 0.3000 0.3772
13.0000 -2.8146 -2.0868 -1.7377 -1.5285 -1.3959 0.3000 0.3662
14.0000 -2.7700 -2.0580 -1.7123 -1.5026 -1.3697 0.3000 0.3639
15.0000 -2.6166 -1.9883 -1.6582 -1.4530 -1.3285 0.3000 0.3593
16.0000 -2.5722 -1.9645 -1.6370 -1.4321 -1.3085 0.3000 0.3574
17.0000 -2.5517 -1.9404 -1.6105 -1.4041 -1.2773 0.3000 0.3549
18.0000 -2.5147 -1.8988 -1.5671 -1.3585 -1.2261 0.3000 0.3506
19.0000 -2.5077 -1.8847 -1.5505 -1.3389 -1.2016 0.3000 0.3485
20.0000 -2.4985 -1.8748 -1.5416 -1.3294 -1.1893 0.3000 0.3473
21.0000 -2.4862 -1.8530 -1.5196 -1.3017 -1.1492 0.3000 0.3433
22.0000 -2.4704 -1.8326 -1.5011 -1.2792 -1.1191 0.3000 0.3402
23.0000 -2.4581 -1.8231 -1.4935 -1.2723 -1.1118 0.3000 0.3392
24.0000 -2.4431 -1.8122 -1.4848 -1.2644 -1.1009 0.3000 0.3372
25.0000 -2.4320 -1.8067 -1.4813 -1.2630 -1.0982 0.3000 0.3359
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.0
# penalization: 1.0
# initial densities: 1.0
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
