# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -1.0991 -0.8630 -0.7955 -0.6424 -0.5936 0.8000 117.4905
2.0000 -26.4003 -6.7833 -5.8253 -5.7944 -5.6787 0.3000 1524.8559
3.0000 -1.4358 -0.8623 -0.6931 -0.5807 -0.5152 0.7019 143.9885
4.0000 -32.3079 -11.7816 -8.7862 -8.3744 -7.2413 0.3000 1279.2532
5.0000 -2.0190 -0.8134 -0.6217 -0.5605 -0.4617 0.6319 171.8263
6.0000 -24.0579 -3.8908 -3.6845 -3.4703 -3.4055 0.3000 628.3650
7.0000 -48.1361 -5.9331 -2.9561 -2.2742 -2.0610 0.3000 561.0170
8.0000 -27.0220 -4.0397 -1.9958 -1.5218 -1.3078 0.3000 453.6426
9.0000 -92438.4637 -24047.7490 -15841.4540 -12948.1580 -12375.7344 0.3000 5563641.4006
10.0000 -25.9937 -4.1360 -2.0308 -1.4374 -1.1562 0.3000 415.1254
11.0000 -23.9942 -8.5811 -2.7245 -1.8347 -1.4968 0.3000 303.3143
12.0000 -16.0668 -5.1634 -2.4900 -1.5518 -1.0951 0.3000 212.3623
13.0000 -11.5350 -8.0191 -2.9644 -2.6952 3.9641 0.3000 199.4536
14.0000 -10.3024 -5.2534 -1.7577 -1.6752 -1.5949 0.3000 195.6973
15.0000 -409.7634 -168.3150 -87.8352 -73.4697 -55.7371 0.3000 4123.4009
16.0000 -9.9874 -5.1212 -1.7852 -1.6229 -1.6103 0.3000 201.8946
17.0000 -2627.9731 -2146.6959 -882.5477 -194.2071 -155.9029 0.3000 29383.0829
18.0000 -9.6987 -5.0459 -1.8251 -1.6647 -1.5719 0.3000 209.7917
19.0000 -111.3096 -57.0299 -50.8324 -41.4145 -37.4029 0.3000 5667553.3055
20.0000 -9.4541 -5.0370 -1.9014 -1.7291 -1.5324 0.3000 218.9536
21.0000 -23901.7790 -272.1715 -266.4497 -128.7921 -128.7618 0.3000 1766508.7626
22.0000 -9.2455 -5.0799 -1.9919 -1.7775 -1.4872 0.3000 224.4124
23.0000 -130.3784 -62.1627 -44.1470 -19.2912 -10.1777 0.3000 1847.5047
24.0000 -9.0558 -5.1918 -2.1126 -1.8455 -1.4548 0.3000 233.0829
25.0000 -12.8452 -7.0861 -6.5195 -5.4174 -3.8283 0.3000 407.3882
26.0000 -8.7958 -5.4207 -2.2861 -1.9615 -1.4817 0.3000 242.2178
27.0000 -7.9383 -6.5479 -4.7471 -3.6137 3.2384 0.3000 312.6099
28.0000 -7.4141 -6.3870 -3.8454 -2.4334 2.8314 0.3000 258.3267
29.0000 -8.1460 -6.1772 -3.3522 -2.5117 -1.7885 0.3000 218.3266
30.0000 -7.3541 -6.2601 -2.9455 -2.4589 -1.5457 0.3000 236.0379
31.0000 -8.4998 -5.6791 -4.4129 -2.1306 2.6030 0.3000 258.6263
32.0000 -7.3074 -5.9559 -2.8863 -2.2889 -1.5194 0.3000 235.8683
33.0000 -8.2635 -6.3488 -3.3423 -2.4806 2.5930 0.3000 235.0092
34.0000 -7.0934 -6.1159 -2.8176 -2.2585 1.8160 0.3000 233.7652
35.0000 -6.9642 -6.4240 -2.2895 -2.0126 2.0215 0.3000 226.6867
36.0000 -6.3807 -6.1431 -2.4147 -1.9171 -1.7299 0.3000 207.6318
37.0000 -6.3391 -6.2280 -2.5954 -1.9189 -1.7576 0.3000 197.5560
38.0000 -6.3168 -6.2585 -2.8092 -1.9279 -1.8055 0.3000 194.8658
39.0000 -6.3931 -6.2851 -3.0070 -1.9056 -1.8206 0.3000 192.0970
40.0000 -6.3110 -6.2865 -2.8649 -1.9219 -1.8079 0.3000 194.0373
41.0000 -6.4295 -6.2182 -3.0977 -1.8341 -1.8246 0.3000 189.9380
42.0000 -6.3307 -6.2801 -2.9684 -1.8902 -1.8075 0.3000 192.3069
43.0000 -6.4096 -5.9782 -3.0639 -1.8069 -1.7771 0.3000 188.6103
44.0000 -6.3228 -5.7120 -3.0252 -1.8203 -1.7646 0.3000 187.7697
45.0000 -6.2917 -5.7154 -3.0430 -1.8339 -1.7743 0.3000 187.4969
46.0000 -6.2939 -5.7924 -3.0845 -1.8528 -1.7811 0.3000 187.1457
47.0000 -6.2980 -5.9107 -3.1140 -1.8639 -1.7883 0.3000 186.8829
48.0000 -6.2902 -5.9541 -3.1168 -1.8575 -1.7910 0.3000 186.8455
49.0000 -6.2897 -5.9802 -3.1232 -1.8604 -1.7911 0.3000 186.7873
50.0000 -6.2897 -5.9918 -3.1394 -1.8791 -1.7892 0.3000 186.7326
51.0000 -6.2908 -6.0250 -3.1754 -1.9247 -1.7881 0.3000 186.6548
52.0000 -6.2898 -6.0491 -3.1985 -1.9606 -1.7894 0.3000 186.6058
53.0000 -6.2901 -6.0523 -3.2132 -1.9833 -1.7914 0.3000 186.5455
54.0000 -6.2903 -6.0394 -3.2210 -2.0047 -1.7923 0.3000 186.4346
55.0000 -6.2895 -6.0248 -3.2079 -2.0009 -1.7898 0.3000 186.4113
56.0000 -6.2899 -6.0013 -3.1865 -1.9963 -1.7858 0.3000 186.3766
57.0000 -6.2893 -6.0004 -3.1859 -1.9976 -1.7856 0.3000 186.3700
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.159
# penalization: 3.0
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
