# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -21.9895 -14.3181 -13.5753 -11.0279 -9.1233 0.3000 1859.0948
2.0000 -20.8612 -9.5159 -9.2833 -7.2701 -5.9430 0.3000 1670.0816
3.0000 -22.9906 -9.4576 -8.7120 -6.5100 -5.7210 0.3000 1519.3495
4.0000 -39.1514 -9.3955 -4.8534 -4.2456 -2.7581 0.3000 306.4222
5.0000 -34.0296 -9.6756 -3.8873 -2.3395 -2.2803 0.3000 276.9469
6.0000 -25.9223 -7.6230 -2.9166 -2.1528 -1.9512 0.3000 227.2569
7.0000 -23.9815 -6.8916 -2.6080 -1.9387 -1.7368 0.3000 209.2803
8.0000 -22.5184 -5.9311 -2.3072 -1.5434 -1.4895 0.3000 191.6494
9.0000 -22.3129 -5.1769 -2.0968 -1.3252 -1.3248 0.3000 180.6989
10.0000 -21.9701 -4.4117 -1.8719 -1.1862 -1.1587 0.3000 173.2789
11.0000 -22.0836 -3.7490 -1.6325 -1.0772 -1.0414 0.3000 167.1341
12.0000 -22.7014 -3.2698 -1.4196 -0.9823 -0.9306 0.3000 162.2479
13.0000 -23.2766 -3.0498 -1.3437 -0.9266 -0.8310 0.3000 159.5419
14.0000 -23.6273 -2.9263 -1.3190 -0.9014 -0.7712 0.3000 158.1453
15.0000 -23.7234 -2.8647 -1.3045 -0.8888 -0.7624 0.3000 157.6016
16.0000 -23.7581 -2.8062 -1.2878 -0.8739 -0.7640 0.3000 157.1097
17.0000 -23.7092 -2.7813 -1.2793 -0.8649 -0.7645 0.3000 156.8610
18.0000 -23.4673 -2.7446 -1.2675 -0.8523 -0.7646 0.3000 156.4531
19.0000 -23.1733 -2.7239 -1.2594 -0.8477 -0.7642 0.3000 156.1729
20.0000 -22.6661 -2.6925 -1.2454 -0.8402 -0.7636 0.3000 155.6696
21.0000 -22.4322 -2.6807 -1.2388 -0.8363 -0.7633 0.3000 155.4229
22.0000 -22.2359 -2.6723 -1.2325 -0.8320 -0.7630 0.3000 155.2153
23.0000 -22.2332 -2.6721 -1.2317 -0.8313 -0.7629 0.3000 155.2044
24.0000 -22.2491 -2.6713 -1.2308 -0.8296 -0.7626 0.3000 155.1879
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.0
# penalization: 3.0
# initial densities: 0.3
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 2000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
