# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -18.6256 -3.0703 -1.2421 -0.8242 -0.7619 0.3000 154.3518
2.0000 -163985.2715 -4855.7187 -4118.2161 -1486.1830 -1438.0706 0.3000 9477286.1272
3.0000 -17.8401 -3.0818 -1.3694 -0.9897 -0.9232 0.3000 170.6226
4.0000 -157533.0580 -22031.0348 -20452.1968 -7269.8464 -7056.4465 0.3000 7336980.6515
5.0000 -17.0914 -3.1614 -1.5317 -1.1712 -1.0273 0.3000 187.9702
6.0000 -137566.8299 -18380.3279 -7733.7440 -4941.8694 -4896.5894 0.3000 5303128.5525
7.0000 -16.4203 -3.3416 -1.7106 -1.3532 -1.1677 0.3000 206.6125
8.0000 -705.6020 -296.0295 -78.8387 -78.0363 60.5193 0.3000 15517879.5730
9.0000 -15.8616 -3.5467 -1.9398 -1.8489 -1.4029 0.3000 227.5264
10.0000 -9.7100 -4.7849 -3.6959 -2.5693 -2.4472 0.3000 287.1631
11.0000 -9.6143 -4.7879 -2.9747 -2.2087 -2.0408 0.3000 251.4587
12.0000 -9.5018 -4.0988 -2.4362 -1.8388 -1.6699 0.3000 233.6104
13.0000 -9.6280 -3.7329 -2.3970 -1.5621 -1.4547 0.3000 219.0550
14.0000 -9.4996 -4.0044 -2.4166 -1.7326 -1.6247 0.3000 229.0640
15.0000 -9.5434 -3.4784 -2.1658 -1.4538 -1.3909 0.3000 212.3965
16.0000 -9.4942 -3.8019 -2.3398 -1.6013 -1.5242 0.3000 222.5093
17.0000 -9.4763 -3.3374 -2.0065 -1.6722 -1.3479 0.3000 207.3000
18.0000 -9.4399 -3.3145 -2.1456 -1.8206 -1.3128 0.3000 202.8278
19.0000 -9.4459 -3.2241 -2.5277 -1.7545 -1.3033 0.3000 197.3715
20.0000 -9.4388 -3.5857 -2.6909 -1.6925 -1.4482 0.3000 190.7854
21.0000 -9.4552 -4.3700 -2.5775 -1.6788 -1.6236 0.3000 186.2010
22.0000 -9.4820 -5.2074 -2.4598 -1.8556 -1.6977 0.3000 182.8195
23.0000 -9.4458 -5.6229 -2.4215 -1.9846 -1.6901 0.3000 181.2900
24.0000 -9.4680 -5.8223 -2.3867 -2.0498 -1.6568 0.3000 179.4322
25.0000 -9.4527 -6.1197 -2.3886 -2.1232 -1.6418 0.3000 178.4661
26.0000 -9.4370 -6.2957 -2.3843 -2.1565 -1.6359 0.3000 178.0848
27.0000 -9.4367 -6.3353 -2.3778 -2.1622 -1.6296 0.3000 177.9407
28.0000 -9.4394 -6.4265 -2.3827 -2.1862 -1.6230 0.3000 177.8249
29.0000 -9.4347 -6.4875 -2.3857 -2.1982 -1.6195 0.3000 177.8138
30.0000 -9.4347 -6.5429 -2.3865 -2.2053 -1.6149 0.3000 177.7961
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.106
# penalization: 3.0
# initial densities: [0. 0. 0. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 2000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
