# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.3437 -0.3415 -0.3239 -0.3194 -0.3108 0.4000 36.1117
2.0000 -0.2019 -0.2019 -0.1974 -0.1974 -0.1931 0.4000 22.6117
3.0000 -0.1726 -0.1726 -0.1683 -0.1671 -0.1648 0.4000 17.2901
4.0000 -0.1725 -0.1691 -0.1688 -0.1664 -0.1565 0.4000 15.5052
5.0000 -0.1818 -0.1740 -0.1717 -0.1706 -0.1486 0.4000 14.2757
6.0000 -0.1899 -0.1755 -0.1737 -0.1710 -0.1475 0.4000 13.4311
7.0000 -0.1959 -0.1778 -0.1761 -0.1730 -0.1502 0.4000 12.8666
8.0000 -0.2010 -0.1844 -0.1801 -0.1770 -0.1546 0.4000 12.3208
9.0000 -0.2044 -0.1978 -0.1948 -0.1762 -0.1622 0.4000 11.7478
10.0000 -0.2180 -0.2145 -0.2054 -0.1755 -0.1736 0.4000 11.1748
11.0000 -0.2382 -0.2350 -0.2046 -0.1856 -0.1847 0.4000 10.6119
12.0000 -0.2551 -0.2519 -0.2017 -0.1956 -0.1948 0.4000 10.0883
13.0000 -0.2673 -0.2639 -0.2041 -0.2026 -0.1968 0.4000 9.6899
14.0000 -0.2780 -0.2740 -0.2118 -0.2102 -0.1921 0.4000 9.3195
15.0000 -0.2861 -0.2813 -0.2186 -0.2168 -0.1886 0.4000 9.0111
16.0000 -0.2907 -0.2850 -0.2230 -0.2210 -0.1874 0.4000 8.7980
17.0000 -0.2937 -0.2871 -0.2267 -0.2244 -0.1873 0.4000 8.5890
18.0000 -0.2949 -0.2873 -0.2293 -0.2266 -0.1869 0.4000 8.3769
19.0000 -0.2944 -0.2862 -0.2306 -0.2278 -0.1861 0.4000 8.2268
20.0000 -0.2930 -0.2845 -0.2313 -0.2284 -0.1850 0.4000 8.1065
21.0000 -0.2913 -0.2826 -0.2317 -0.2288 -0.1838 0.4000 8.0080
22.0000 -0.2891 -0.2803 -0.2316 -0.2288 -0.1822 0.4000 7.9178
23.0000 -0.2869 -0.2781 -0.2311 -0.2286 -0.1808 0.4000 7.8494
24.0000 -0.2843 -0.2756 -0.2304 -0.2280 -0.1792 0.4000 7.7655
25.0000 -0.2823 -0.2737 -0.2298 -0.2275 -0.1780 0.4000 7.7001
26.0000 -0.2805 -0.2720 -0.2292 -0.2269 -0.1772 0.4000 7.6418
27.0000 -0.2789 -0.2704 -0.2287 -0.2261 -0.1764 0.4000 7.5769
28.0000 -0.2773 -0.2690 -0.2281 -0.2252 -0.1759 0.4000 7.5128
29.0000 -0.2761 -0.2677 -0.2276 -0.2243 -0.1755 0.4000 7.4549
30.0000 -0.2751 -0.2667 -0.2271 -0.2234 -0.1752 0.4000 7.4125
31.0000 -0.2742 -0.2657 -0.2267 -0.2226 -0.1750 0.4000 7.3813
32.0000 -0.2735 -0.2649 -0.2263 -0.2220 -0.1747 0.4000 7.3637
33.0000 -0.2727 -0.2640 -0.2260 -0.2212 -0.1745 0.4000 7.3495
34.0000 -0.2718 -0.2627 -0.2255 -0.2202 -0.1742 0.4000 7.3322
35.0000 -0.2708 -0.2612 -0.2249 -0.2192 -0.1740 0.4000 7.3159
36.0000 -0.2699 -0.2596 -0.2243 -0.2181 -0.1739 0.4000 7.3002
37.0000 -0.2689 -0.2575 -0.2235 -0.2167 -0.1738 0.4000 7.2792
38.0000 -0.2681 -0.2556 -0.2228 -0.2155 -0.1737 0.4000 7.2609
39.0000 -0.2675 -0.2540 -0.2220 -0.2145 -0.1736 0.4000 7.2447
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.0
# penalization: 3.0
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([3659, 3781], dtype=int64)}
# bc: Left Clamped
# 
