# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.4666 -0.4665 -0.4504 -0.4503 -0.4352 0.5000 61.7615
2.0000 -0.3416 -0.3416 -0.3192 -0.3191 -0.3007 0.5000 32.5035
3.0000 -0.3144 -0.3140 -0.2724 -0.2722 -0.2486 0.5000 23.0031
4.0000 -0.2484 -0.2442 -0.2311 -0.2227 -0.1906 0.5000 20.5989
5.0000 -0.2359 -0.2275 -0.2065 -0.2015 -0.1731 0.5000 17.6303
6.0000 -0.2243 -0.2124 -0.2022 -0.1939 -0.1638 0.5000 13.7259
7.0000 -0.2162 -0.2071 -0.2015 -0.1890 -0.1587 0.5000 13.0785
8.0000 -0.2074 -0.2005 -0.1955 -0.1764 -0.1495 0.5000 12.4473
9.0000 -0.2030 -0.1940 -0.1825 -0.1603 -0.1378 0.5000 11.7572
10.0000 -0.2026 -0.1916 -0.1735 -0.1497 -0.1305 0.5000 11.3034
11.0000 -0.2015 -0.1902 -0.1675 -0.1433 -0.1261 0.5000 11.0294
12.0000 -0.1987 -0.1879 -0.1610 -0.1368 -0.1216 0.5000 10.7669
13.0000 -0.1955 -0.1852 -0.1547 -0.1314 -0.1182 0.5000 10.5687
14.0000 -0.1932 -0.1804 -0.1486 -0.1267 -0.1151 0.5000 10.3960
15.0000 -0.1930 -0.1776 -0.1446 -0.1233 -0.1125 0.5000 10.2390
16.0000 -0.1937 -0.1780 -0.1435 -0.1215 -0.1113 0.5000 10.1105
17.0000 -0.1938 -0.1790 -0.1427 -0.1200 -0.1103 0.5000 10.0269
18.0000 -0.1935 -0.1796 -0.1416 -0.1184 -0.1092 0.5000 9.9487
19.0000 -0.1934 -0.1798 -0.1405 -0.1173 -0.1082 0.5000 9.8955
20.0000 -0.1933 -0.1799 -0.1392 -0.1163 -0.1074 0.5000 9.8576
21.0000 -0.1935 -0.1802 -0.1374 -0.1150 -0.1067 0.5000 9.8004
22.0000 -0.1936 -0.1803 -0.1366 -0.1145 -0.1066 0.5000 9.7723
23.0000 -0.1936 -0.1803 -0.1359 -0.1139 -0.1066 0.5000 9.7448
24.0000 -0.1934 -0.1802 -0.1355 -0.1134 -0.1065 0.5000 9.7225
25.0000 -0.1925 -0.1798 -0.1350 -0.1126 -0.1064 0.5000 9.6963
26.0000 -0.1909 -0.1792 -0.1346 -0.1117 -0.1061 0.5000 9.6761
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.0
# penalization: 6.0
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([3659, 3781], dtype=int64)}
# bc: Left Clamped
# 
