# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.2006 -0.1345 0.1335 0.1345 0.2006 0.8000 73.9730
2.0000 -0.3342 -0.3021 -0.2803 0.3021 0.3342 0.5000 184.6626
3.0000 -0.2232 -0.2223 0.2182 0.2223 0.2232 0.5000 143.7497
4.0000 -0.3660 -0.3623 0.3389 0.3623 0.3660 0.5000 124.5091
5.0000 -0.3453 -0.3211 0.2737 0.3211 0.3453 0.5000 112.7063
6.0000 -0.2616 -0.2211 0.1680 0.2211 0.2616 0.5000 105.2100
7.0000 -0.2656 -0.2158 0.1674 0.2158 0.2656 0.5000 99.1785
8.0000 -0.2696 -0.2138 0.1685 0.2138 0.2696 0.5000 94.1939
9.0000 -0.2712 -0.2141 -0.1821 0.2141 0.2712 0.5000 90.4669
10.0000 -0.2695 -0.2143 -0.1824 0.2143 0.2695 0.5000 86.7917
11.0000 -0.2645 -0.2140 0.1773 0.2140 0.2645 0.5000 83.7652
12.0000 -0.2589 -0.2144 0.1790 0.2144 0.2589 0.5000 81.1989
13.0000 -0.2560 -0.2151 0.1805 0.2151 0.2560 0.5000 79.1261
14.0000 -0.2612 -0.2167 0.1827 0.2167 0.2612 0.5000 77.3806
15.0000 -0.2690 -0.2162 -0.1864 0.2162 0.2690 0.5000 75.9777
16.0000 -0.2787 -0.2165 -0.1888 0.2165 0.2787 0.5000 74.8565
17.0000 -0.2872 -0.2412 0.2165 0.2412 0.2872 0.5000 73.9510
18.0000 -0.2922 -0.2507 0.2163 0.2507 0.2922 0.5000 73.3058
19.0000 -0.2970 -0.2269 -0.2150 0.2269 0.2970 0.5000 72.6480
20.0000 -0.2992 -0.2134 -0.2113 0.2134 0.2992 0.5000 72.1786
21.0000 -0.3003 -0.2119 -0.2022 0.2119 0.3003 0.5000 71.7506
22.0000 -0.3005 -0.2098 -0.1992 0.2098 0.3005 0.5000 71.2645
23.0000 -0.2991 -0.2079 -0.1991 0.2079 0.2991 0.5000 70.9540
24.0000 -0.2968 -0.2061 -0.1988 0.2061 0.2968 0.5000 70.6217
25.0000 -0.2943 -0.2052 0.1982 0.2052 0.2943 0.5000 70.3758
26.0000 -0.2929 -0.2048 0.1971 0.2048 0.2929 0.5000 70.1899
27.0000 -0.2925 -0.2045 0.1957 0.2045 0.2925 0.5000 69.9823
28.0000 -0.2925 -0.2045 0.1950 0.2045 0.2925 0.5000 69.8515
29.0000 -0.2931 -0.2045 0.1944 0.2045 0.2931 0.5000 69.7465
30.0000 -0.2931 -0.2046 0.1938 0.2046 0.2931 0.5000 69.6559
31.0000 -0.2925 -0.2048 0.1931 0.2048 0.2925 0.5000 69.5562
32.0000 -0.2917 -0.2052 0.1922 0.2052 0.2917 0.5000 69.4532
33.0000 -0.2910 -0.2060 -0.1916 0.2060 0.2910 0.5000 69.3776
34.0000 -0.2902 -0.2076 -0.1915 0.2076 0.2902 0.5000 69.3042
35.0000 -0.2890 -0.2100 0.1923 0.2100 0.2890 0.5000 69.1943
36.0000 -0.2888 -0.2113 0.1932 0.2113 0.2888 0.5000 69.1477
37.0000 -0.2881 -0.2153 -0.1954 0.2153 0.2881 0.5000 69.0462
38.0000 -0.2877 -0.2212 -0.1975 0.2212 0.2877 0.5000 68.9314
39.0000 -0.2875 -0.2261 -0.1986 0.2261 0.2875 0.5000 68.8651
40.0000 -0.2872 -0.2341 -0.1998 0.2341 0.2872 0.5000 68.7856
41.0000 -0.2867 -0.2427 0.2010 0.2427 0.2867 0.5000 68.7176
42.0000 -0.2861 -0.2517 -0.2020 0.2517 0.2861 0.5000 68.6556
43.0000 -0.2855 -0.2620 -0.2028 0.2620 0.2855 0.5000 68.5948
44.0000 -0.2850 -0.2715 -0.2036 0.2715 0.2850 0.5000 68.5442
45.0000 -0.2869 -0.2812 -0.2040 0.2812 0.2869 0.5000 68.4512
46.0000 -0.2882 -0.2812 0.2035 0.2812 0.2882 0.5000 68.3721
47.0000 -0.2879 -0.2810 -0.2033 0.2810 0.2879 0.5000 68.3500
# OPTIMIZATION PARAMETERS 
# nelx: 80
# nely: 40
# max buckling: 1.5
# penalization: 3.0
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 20000.0, 'Ey': 100000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'y', 'dof': array([3401], dtype=int64)}
# bc: Left Clamped
# 
