# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.6759 -0.4744 -0.3110 -0.2446 -0.1727 0.8000 16.9108
2.0000 -1.3265 -0.4639 -0.2991 -0.2685 -0.2472 0.5000 41.1190
3.0000 -1.1727 -0.4057 -0.2967 -0.2415 -0.2206 0.5000 34.2510
4.0000 -1.0513 -0.4025 -0.2893 -0.2351 -0.2086 0.5000 28.9255
5.0000 -0.9467 -0.3967 -0.2747 -0.2335 -0.2084 0.5000 26.6693
6.0000 -0.9143 -0.3917 -0.2650 -0.2323 -0.2082 0.5000 24.7796
7.0000 -0.9005 -0.3872 -0.2567 -0.2314 -0.2157 0.5000 23.0518
8.0000 -0.8788 -0.3801 -0.2483 -0.2425 -0.2308 0.5000 21.3022
9.0000 -0.8432 -0.3723 -0.2934 -0.2369 -0.2301 0.5000 19.3614
10.0000 -0.8107 -0.3939 -0.3244 -0.2294 -0.2234 0.5000 17.3068
11.0000 -0.8075 -0.4200 -0.3153 -0.2288 -0.2122 0.5000 15.9849
12.0000 -0.8083 -0.4237 -0.3091 -0.2284 -0.2066 0.5000 15.5186
13.0000 -0.8065 -0.4232 -0.3051 -0.2284 -0.2025 0.5000 15.1835
14.0000 -0.8046 -0.4217 -0.3019 -0.2285 -0.1997 0.5000 14.9358
15.0000 -0.8011 -0.4190 -0.2998 -0.2287 -0.1974 0.5000 14.7349
16.0000 -0.7983 -0.4167 -0.2981 -0.2288 -0.1962 0.5000 14.5924
17.0000 -0.7937 -0.4134 -0.2963 -0.2289 -0.1954 0.5000 14.4514
18.0000 -0.7897 -0.4102 -0.2948 -0.2291 -0.1958 0.5000 14.3458
19.0000 -0.7846 -0.4065 -0.2932 -0.2293 -0.1964 0.5000 14.2402
20.0000 -0.7798 -0.4032 -0.2919 -0.2295 -0.1975 0.5000 14.1558
21.0000 -0.7775 -0.4008 -0.2908 -0.2297 -0.1991 0.5000 14.0926
22.0000 -0.7747 -0.3980 -0.2897 -0.2300 -0.2009 0.5000 14.0303
23.0000 -0.7716 -0.3948 -0.2884 -0.2302 -0.2032 0.5000 13.9641
24.0000 -0.7700 -0.3926 -0.2876 -0.2305 -0.2051 0.5000 13.9207
25.0000 -0.7690 -0.3909 -0.2869 -0.2307 -0.2072 0.5000 13.8836
26.0000 -0.7682 -0.3895 -0.2861 -0.2308 -0.2091 0.5000 13.8515
27.0000 -0.7670 -0.3880 -0.2854 -0.2309 -0.2113 0.5000 13.8186
28.0000 -0.7664 -0.3868 -0.2847 -0.2309 -0.2131 0.5000 13.7932
29.0000 -0.7656 -0.3852 -0.2839 -0.2310 -0.2154 0.5000 13.7596
30.0000 -0.7650 -0.3841 -0.2833 -0.2311 -0.2170 0.5000 13.7392
31.0000 -0.7645 -0.3832 -0.2829 -0.2312 -0.2183 0.5000 13.7243
32.0000 -0.7639 -0.3821 -0.2825 -0.2313 -0.2200 0.5000 13.7067
33.0000 -0.7629 -0.3804 -0.2817 -0.2314 -0.2226 0.5000 13.6801
34.0000 -0.7622 -0.3793 -0.2813 -0.2315 -0.2239 0.5000 13.6661
35.0000 -0.7612 -0.3780 -0.2808 -0.2316 -0.2254 0.5000 13.6493
36.0000 -0.7605 -0.3769 -0.2803 -0.2316 -0.2267 0.5000 13.6349
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 1.0
# penalization: 3.0
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1950], dtype=int64)}
# bc: Left Clamped
# 
