# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -1.0991 -0.8630 -0.7955 -0.6424 -0.5936 0.8000 117.4905
2.0000 -26.4003 -6.7833 -5.8253 -5.7944 -5.6787 0.3000 1524.8559
3.0000 -1.4358 -0.8623 -0.6931 -0.5807 -0.5152 0.7019 143.9885
4.0000 -32.3079 -11.7816 -8.7862 -8.3744 -7.2413 0.3000 1279.2532
5.0000 -2.0190 -0.8134 -0.6217 -0.5605 -0.4617 0.6319 171.8263
6.0000 -24.0579 -3.8908 -3.6845 -3.4703 -3.4055 0.3000 628.3650
7.0000 -49.3051 -5.9072 -2.8939 -2.1838 -1.9574 0.3000 529.8246
8.0000 -28.9197 -4.1687 -2.0471 -1.5395 -1.3309 0.3000 447.4276
9.0000 -941.9402 -137.0324 -108.9375 -57.9371 -57.8398 0.3000 3451.0596
10.0000 -28.2606 -4.2680 -2.0507 -1.4436 -1.1613 0.3000 402.1124
11.0000 -23.9861 -6.6573 -2.4475 -1.7373 -1.5848 0.3000 270.6951
12.0000 -20.2202 -5.8904 -2.3398 -1.4611 -1.1930 0.3000 219.7516
13.0000 -18.7642 -3.9565 -1.8257 -1.2125 -1.0888 0.3000 202.8549
14.0000 -15.6958 -3.6098 -1.6229 -0.9601 -0.8743 0.3000 185.8329
15.0000 -13.0226 -3.1375 -1.4665 -0.9711 -0.7567 0.3000 181.0315
16.0000 -12.5440 -3.1095 -1.4653 -0.9784 -0.8153 0.3000 177.6336
17.0000 -12.5008 -3.0715 -1.4621 -0.9872 -0.8379 0.3000 175.2112
18.0000 -12.5056 -2.9806 -1.4401 -1.0316 -0.8066 0.3000 172.9885
19.0000 -12.4258 -2.9292 -1.4301 -1.0475 -0.8120 0.3000 171.5003
20.0000 -12.4599 -2.8866 -1.4168 -1.0386 -0.8197 0.3000 170.3174
21.0000 -12.5015 -2.8709 -1.4112 -1.0314 -0.8197 0.3000 170.0248
22.0000 -12.5007 -2.8635 -1.4130 -1.0341 -0.8205 0.3000 169.9681
23.0000 -12.5004 -2.8580 -1.4184 -1.0385 -0.8213 0.3000 169.9325
24.0000 -12.5005 -2.8508 -1.4271 -1.0477 -0.8234 0.3000 169.9070
25.0000 -12.5003 -2.8437 -1.4377 -1.0615 -0.8264 0.3000 169.8863
26.0000 -12.5001 -2.8348 -1.4428 -1.0712 -0.8279 0.3000 169.8637
27.0000 -12.5010 -2.8035 -1.4639 -1.1046 -0.8294 0.3000 169.7986
28.0000 -12.5003 -2.7853 -1.4838 -1.1241 -0.8291 0.3000 169.7729
29.0000 -12.5005 -2.7566 -1.5609 -1.1634 -0.8295 0.3000 169.7013
30.0000 -12.4999 -2.7439 -1.5983 -1.1752 -0.8301 0.3000 169.6419
31.0000 -12.5000 -2.7394 -1.6154 -1.1781 -0.8305 0.3000 169.5901
32.0000 -12.5002 -2.7334 -1.6533 -1.1817 -0.8318 0.3000 169.4877
33.0000 -12.5002 -2.7320 -1.6852 -1.1818 -0.8331 0.3000 169.4357
34.0000 -12.5005 -2.7300 -1.7338 -1.1803 -0.8367 0.3000 169.3672
35.0000 -12.5000 -2.7360 -1.7642 -1.1809 -0.8393 0.3000 169.3479
36.0000 -12.5001 -2.7576 -1.8467 -1.1819 -0.8478 0.3000 169.2966
37.0000 -12.5001 -2.7735 -1.8833 -1.1826 -0.8520 0.3000 169.2762
38.0000 -12.5005 -2.8256 -1.9668 -1.1850 -0.8640 0.3000 169.2329
39.0000 -12.5001 -2.8466 -1.9940 -1.1858 -0.8689 0.3000 169.2136
40.0000 -12.5010 -2.8897 -2.0372 -1.1889 -0.8775 0.3000 169.1699
41.0000 -12.5009 -2.9073 -2.0574 -1.1909 -0.8818 0.3000 169.1309
42.0000 -12.5013 -2.8774 -2.0522 -1.1895 -0.8797 0.3000 169.0864
43.0000 -12.5023 -2.8198 -2.0335 -1.1863 -0.8728 0.3000 169.0730
44.0000 -12.4995 -2.8308 -2.0615 -1.1887 -0.8773 0.3001 168.9192
45.0000 -12.5005 -2.8261 -2.0669 -1.1906 -0.8785 0.3000 168.9539
46.0000 -12.5119 -2.7508 -2.0759 -1.1917 -0.8925 0.3000 168.7198
47.0000 -12.5148 -2.6922 -2.0929 -1.1972 -0.9134 0.3000 168.5622
48.0000 -12.5010 -2.6838 -2.1051 -1.1997 -0.9275 0.3000 168.5145
49.0000 -12.5029 -2.6648 -2.1256 -1.2001 -0.9461 0.3000 168.3600
50.0000 -12.5026 -2.6583 -2.1456 -1.1993 -0.9613 0.3000 168.2474
51.0000 -12.5110 -2.6414 -2.1782 -1.2010 -0.9892 0.3000 168.0934
52.0000 -12.5006 -2.6461 -2.1855 -1.2021 -0.9967 0.3000 168.0860
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.08
# penalization: 3.0
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
