# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -1.0991 -0.8630 -0.7955 -0.6424 -0.5936 0.8000 117.4905
2.0000 -26.4003 -6.7833 -5.8253 -5.7944 -5.6787 0.3000 1524.8559
3.0000 -1.4358 -0.8623 -0.6931 -0.5807 -0.5152 0.7019 143.9885
4.0000 -32.3079 -11.7816 -8.7862 -8.3744 -7.2413 0.3000 1279.2532
5.0000 -2.0190 -0.8134 -0.6217 -0.5605 -0.4617 0.6319 171.8263
6.0000 -24.0579 -3.8908 -3.6845 -3.4703 -3.4055 0.3000 628.3650
7.0000 -48.5138 -5.9064 -2.9157 -2.2227 -2.0047 0.3000 545.0404
8.0000 -27.9041 -4.1009 -2.0191 -1.5290 -1.3180 0.3000 450.6342
9.0000 -73344.0408 -51275.1952 -19892.5236 -19813.0748 -12192.0348 0.3000 1083143.5158
10.0000 -27.1056 -4.2018 -2.0417 -1.4401 -1.1576 0.3000 408.4237
11.0000 -23.1019 -7.4264 -2.5640 -1.6795 -1.4216 0.3000 279.8640
12.0000 -16.9208 -5.1458 -2.3592 -1.5397 -1.1306 0.3000 216.0652
13.0000 -13.0721 -3.9568 -1.6522 -1.2109 -1.0293 0.3000 191.8512
14.0000 -10.0128 -6.2372 -2.5069 -1.6908 -1.6619 0.3000 187.4997
15.0000 -9.5684 -5.1419 -2.2735 -1.6919 -1.5504 0.3000 184.6151
16.0000 -9.4346 -4.9625 -2.2685 -1.6892 -1.4769 0.3000 183.2934
17.0000 -9.2673 -4.8218 -2.2970 -1.6702 -1.4065 0.3000 181.2308
18.0000 -9.2053 -4.8090 -2.3238 -1.6448 -1.3480 0.3000 179.1978
19.0000 -9.2358 -4.9548 -2.3230 -1.6096 -1.3094 0.3000 177.6888
20.0000 -9.3087 -5.2282 -2.3024 -1.5923 -1.2810 0.3000 177.0468
21.0000 -9.4390 -5.7905 -2.2623 -1.5751 -1.2413 0.3000 176.2615
22.0000 -9.4350 -6.0233 -2.2609 -1.5743 -1.2357 0.3000 176.1131
23.0000 -9.4361 -6.3442 -2.2703 -1.5718 -1.2340 0.3000 175.9527
24.0000 -9.4373 -6.6468 -2.2786 -1.5741 -1.2566 0.3000 175.8133
25.0000 -9.4389 -6.9794 -2.3004 -1.5771 -1.5039 0.3000 175.6935
26.0000 -9.4447 -7.2817 -2.3180 -1.8878 -1.5825 0.3000 175.5064
27.0000 -9.4351 -7.3781 -2.3253 -1.9995 -1.5851 0.3000 175.4271
28.0000 -9.4344 -7.3905 -2.3274 -2.0369 -1.5866 0.3000 175.3010
29.0000 -9.4341 -7.3550 -2.3224 -2.0318 -1.5862 0.3000 175.2492
30.0000 -9.4358 -7.2426 -2.3045 -2.0058 -1.5838 0.3000 175.2134
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.106
# penalization: 3.0
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
