# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -6.3341 -5.8474 -4.6904 -3.8446 -3.5539 0.5000 537.5460
2.0000 -89.5387 -52.1929 -48.0938 -43.0305 -38.4430 0.3000 4062.8284
3.0000 -5.4492 -3.9973 -3.6754 -3.0570 -2.5421 0.4734 485.0571
4.0000 -108668.2870 -24539.1420 -15501.1138 -13437.6790 -13179.4437 0.3000 7915764.7742
5.0000 -5.7981 -3.2603 -3.1654 -2.5214 -2.0739 0.4560 488.2073
6.0000 -26.8869 -9.6795 -9.1041 -8.7819 -8.3871 0.3000 628.9249
7.0000 -51.4919 -7.7170 -7.6709 -6.2499 -6.0633 0.3000 440.6596
8.0000 -325.9996 -24.1486 -18.6674 -18.2814 -17.8450 0.3000 1347.8283
9.0000 -31.2533 -3.4471 -1.9749 -1.7895 -1.7847 0.3000 278.0119
10.0000 -22.0730 -3.3628 -1.8948 -1.4429 -1.3146 0.3000 191.9617
11.0000 -18.4610 -3.0241 -1.4646 -1.0158 -0.7870 0.3000 170.1773
12.0000 -17.8326 -2.9330 -1.3661 -0.9457 -0.7639 0.3000 165.7426
13.0000 -17.4864 -2.8835 -1.2786 -0.8928 -0.7642 0.3000 162.9955
14.0000 -17.4669 -2.8778 -1.2312 -0.8655 -0.7640 0.3000 161.6215
15.0000 -17.4897 -2.8960 -1.2113 -0.8517 -0.7636 0.3000 160.8766
16.0000 -17.5609 -2.9229 -1.2065 -0.8440 -0.7635 0.3000 160.3257
17.0000 -17.7682 -2.9582 -1.2127 -0.8349 -0.7634 0.3000 159.2743
18.0000 -18.1962 -2.9920 -1.2391 -0.8298 -0.7633 0.3000 157.4065
19.0000 -18.6128 -3.0117 -1.2663 -0.8308 -0.7635 0.3000 156.0785
20.0000 -18.7845 -3.0164 -1.2834 -0.8324 -0.7638 0.3000 155.4841
21.0000 -18.7543 -3.0094 -1.2854 -0.8315 -0.7638 0.3000 155.2529
22.0000 -18.7438 -3.0125 -1.2832 -0.8300 -0.7636 0.3000 155.1990
23.0000 -18.7309 -3.0242 -1.2765 -0.8260 -0.7631 0.3000 155.0594
24.0000 -18.7344 -3.0441 -1.2643 -0.8208 -0.7622 0.3000 154.8352
25.0000 -18.7327 -3.0469 -1.2611 -0.8198 -0.7620 0.3000 154.7813
26.0000 -18.7199 -3.0585 -1.2511 -0.8182 -0.7614 0.3000 154.5958
27.0000 -18.6947 -3.0651 -1.2465 -0.8195 -0.7614 0.3000 154.4900
28.0000 -18.6616 -3.0674 -1.2444 -0.8216 -0.7616 0.3000 154.4283
29.0000 -18.6256 -3.0703 -1.2421 -0.8242 -0.7619 0.3000 154.3518
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.053
# penalization: 3.0
# initial densities: 0.5
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 2000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
