# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -18.6256 -3.0703 -1.2421 -0.8242 -0.7619 0.3000 154.3518
2.0000 -32.8129 -9.1593 -7.1047 -6.1811 -5.8950 0.3000 404.2889
3.0000 -17.9693 -3.0504 -1.2984 -0.8602 -0.7978 0.3000 161.6382
4.0000 -14.3468 -5.1678 -2.0589 -1.5451 -1.1904 0.3000 209.9948
5.0000 -13.9384 -3.8974 -1.7601 -1.1303 -0.9391 0.3000 184.5090
6.0000 -12.8235 -3.3451 -1.7634 -1.1631 -1.0162 0.3000 180.6628
7.0000 -12.5768 -3.0988 -1.6540 -1.0312 -0.8658 0.3000 174.5231
8.0000 -12.5131 -3.0007 -1.6157 -1.0297 -0.8533 0.3000 173.4025
9.0000 -12.5376 -2.8916 -1.5641 -1.0221 -0.8540 0.3000 172.5428
10.0000 -12.5183 -2.8519 -1.5284 -1.0433 -0.8593 0.3000 172.2678
11.0000 -12.5030 -2.8474 -1.5132 -1.0606 -0.8610 0.3000 172.1938
12.0000 -12.5023 -2.8423 -1.5019 -1.0807 -0.8624 0.3000 172.0925
13.0000 -12.5033 -2.8324 -1.5002 -1.1108 -0.8644 0.3000 172.0000
14.0000 -12.5010 -2.8235 -1.5157 -1.1376 -0.8675 0.3000 171.9521
15.0000 -12.5003 -2.8148 -1.5449 -1.1579 -0.8708 0.3000 171.9030
16.0000 -12.5009 -2.8096 -1.7241 -1.2072 -0.8843 0.3000 171.7465
17.0000 -12.5000 -2.8083 -1.7647 -1.2149 -0.8870 0.3000 171.6954
18.0000 -12.5000 -2.8129 -1.8355 -1.2225 -0.8931 0.3000 171.6019
19.0000 -12.5004 -2.8251 -1.9500 -1.2281 -0.9432 0.3000 171.4118
20.0000 -12.5001 -2.8341 -1.9889 -1.2255 -0.9634 0.3000 171.3427
21.0000 -12.5001 -2.8464 -2.0176 -1.2229 -0.9809 0.3000 171.2995
22.0000 -12.5004 -2.8610 -2.0470 -1.2212 -0.9997 0.3000 171.2530
23.0000 -12.5027 -2.8833 -2.0947 -1.2199 -1.0368 0.3000 171.1663
24.0000 -12.5006 -2.8844 -2.1076 -1.2199 -1.0501 0.3000 171.1246
25.0000 -12.5074 -2.8567 -2.1214 -1.2199 -1.0672 0.3000 171.0012
26.0000 -12.5020 -2.8322 -2.1251 -1.2213 -1.0718 0.3000 170.9554
27.0000 -12.4994 -2.8011 -2.1213 -1.2216 -1.0685 0.3000 170.9003
28.0000 -12.4994 -2.7632 -2.1164 -1.2220 -1.0669 0.3000 170.8125
29.0000 -12.5026 -2.7066 -2.1191 -1.2255 -1.0731 0.3000 170.6928
30.0000 -12.5694 -2.6744 -2.1550 -1.2315 -1.1088 0.2999 170.5163
31.0000 -12.5298 -2.6930 -2.1374 -1.2280 -1.0905 0.2999 170.6062
32.0000 -12.5166 -2.6994 -2.1294 -1.2268 -1.0827 0.3000 170.6446
33.0000 -12.5010 -2.6698 -2.1335 -1.2249 -1.0849 0.3000 170.4766
34.0000 -12.5047 -2.6334 -2.1481 -1.2247 -1.0905 0.3000 170.3208
35.0000 -12.5244 -2.5635 -2.1835 -1.2322 -1.1142 0.3000 170.1217
36.0000 -12.5002 -2.5785 -2.1906 -1.2341 -1.1200 0.3000 170.1508
37.0000 -12.5010 -2.5903 -2.2040 -1.2341 -1.1271 0.3000 170.1011
38.0000 -12.5010 -2.6004 -2.2129 -1.2310 -1.1315 0.3000 170.0766
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.08
# penalization: 3.0
# initial densities: [0. 0. 0. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 2000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
