# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -1.0991 -0.8630 -0.7955 -0.6424 -0.5936 0.8000 117.4905
2.0000 -26.4003 -6.7833 -5.8253 -5.7944 -5.6787 0.3000 1524.8559
3.0000 -1.4358 -0.8623 -0.6931 -0.5807 -0.5152 0.7019 143.9885
4.0000 -32.3079 -11.7816 -8.7862 -8.3744 -7.2413 0.3000 1279.2532
5.0000 -2.0190 -0.8134 -0.6217 -0.5605 -0.4617 0.6319 171.8263
6.0000 -24.0579 -3.8908 -3.6845 -3.4703 -3.4055 0.3000 628.3650
7.0000 -51.3048 -5.9574 -2.8934 -2.1471 -1.9029 0.3000 508.9646
8.0000 -96026.8742 -9691.2260 -5808.0506 -5419.1255 -4591.9652 0.3000 9630405.8825
9.0000 -46.6884 -5.9078 -2.7052 -1.8697 -1.5238 0.3000 445.8757
10.0000 -76.0375 -6.1126 -4.0642 -3.5773 -2.9755 0.3000 332.1368
11.0000 -28.4240 -4.0926 -1.7881 -1.2080 -1.0126 0.3000 186.5674
12.0000 -24.8869 -3.5487 -1.5795 -1.0213 -0.7832 0.3000 171.7243
13.0000 -22.6938 -3.1050 -1.4414 -0.9627 -0.7275 0.3000 165.2817
14.0000 -20.7391 -2.8012 -1.2919 -0.8746 -0.6673 0.3000 158.8044
15.0000 -20.4539 -2.7793 -1.2630 -0.8408 -0.6440 0.3000 157.0278
16.0000 -20.4378 -2.7954 -1.2524 -0.8269 -0.6329 0.3000 156.1794
17.0000 -20.4205 -2.8242 -1.2445 -0.8171 -0.6233 0.3000 155.3587
18.0000 -20.3397 -2.8292 -1.2432 -0.8140 -0.6187 0.3000 155.2050
19.0000 -20.1711 -2.8387 -1.2416 -0.8115 -0.6143 0.3000 154.9921
20.0000 -19.8996 -2.8611 -1.2406 -0.8083 -0.6074 0.3000 154.6019
21.0000 -19.6672 -2.8900 -1.2410 -0.8058 -0.6019 0.3000 154.1926
22.0000 -19.4860 -2.9221 -1.2403 -0.8029 -0.5980 0.3000 153.8087
23.0000 -19.3767 -2.9421 -1.2373 -0.8001 -0.5963 0.3000 153.5710
24.0000 -19.2340 -2.9674 -1.2320 -0.7957 -0.5950 0.3000 153.2624
25.0000 -19.0974 -2.9916 -1.2253 -0.7907 -0.5945 0.3000 152.9525
26.0000 -19.0054 -3.0087 -1.2208 -0.7864 -0.5949 0.3000 152.7405
27.0000 -18.9033 -3.0330 -1.2165 -0.7805 -0.5962 0.3000 152.4521
28.0000 -18.8599 -3.0453 -1.2158 -0.7769 -0.5978 0.3000 152.3128
29.0000 -18.8505 -3.0499 -1.2161 -0.7754 -0.5987 0.3000 152.2728
30.0000 -18.8497 -3.0539 -1.2172 -0.7739 -0.5996 0.3000 152.2513
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.0
# penalization: 3.0
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
