# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.6725 -0.4764 -0.2666 -0.2217 -0.1719 0.8000 17.6260
2.0000 -0.9928 -0.4274 -0.2618 -0.2435 -0.2118 0.5000 42.1295
3.0000 -1.0257 -0.3719 -0.2443 -0.2367 -0.1788 0.5000 37.2509
4.0000 -1.0325 -0.3580 -0.2414 -0.2380 -0.1700 0.5000 33.6304
5.0000 -1.0447 -0.3509 -0.2397 -0.2350 -0.1552 0.5000 27.3687
6.0000 -1.0526 -0.3481 -0.2348 -0.2290 -0.1502 0.5000 24.0313
7.0000 -1.0763 -0.3481 -0.2345 -0.2229 -0.1493 0.5000 21.7662
8.0000 -1.1054 -0.3493 -0.2341 -0.2201 -0.1493 0.5000 19.8757
9.0000 -1.1315 -0.3509 -0.2338 -0.2198 -0.1495 0.5000 18.2166
10.0000 -1.1444 -0.3524 -0.2335 -0.2203 -0.1499 0.5000 16.9309
11.0000 -1.1475 -0.3535 -0.2332 -0.2209 -0.1504 0.5000 16.0004
12.0000 -1.1440 -0.3543 -0.2331 -0.2215 -0.1507 0.5000 15.2929
13.0000 -1.1355 -0.3547 -0.2330 -0.2219 -0.1509 0.5000 14.7672
14.0000 -1.1248 -0.3546 -0.2329 -0.2213 -0.1508 0.5000 14.4507
15.0000 -1.1072 -0.3541 -0.2329 -0.2200 -0.1501 0.5000 14.2541
16.0000 -1.0820 -0.3531 -0.2330 -0.2179 -0.1490 0.5000 14.0661
17.0000 -1.0630 -0.3522 -0.2331 -0.2156 -0.1479 0.5000 13.9391
18.0000 -1.0433 -0.3510 -0.2332 -0.2134 -0.1469 0.5000 13.8184
19.0000 -1.0238 -0.3498 -0.2333 -0.2113 -0.1458 0.5000 13.7110
20.0000 -1.0055 -0.3485 -0.2334 -0.2091 -0.1446 0.5000 13.6153
21.0000 -0.9883 -0.3473 -0.2335 -0.2071 -0.1435 0.5000 13.5300
22.0000 -0.9724 -0.3461 -0.2336 -0.2051 -0.1423 0.5000 13.4503
23.0000 -0.9602 -0.3451 -0.2337 -0.2035 -0.1413 0.5000 13.3920
24.0000 -0.9472 -0.3440 -0.2339 -0.2015 -0.1401 0.5000 13.3289
25.0000 -0.9352 -0.3433 -0.2340 -0.1998 -0.1394 0.5000 13.2719
26.0000 -0.9239 -0.3427 -0.2340 -0.1981 -0.1388 0.5000 13.2194
27.0000 -0.9159 -0.3423 -0.2341 -0.1969 -0.1384 0.5000 13.1832
28.0000 -0.9066 -0.3418 -0.2342 -0.1954 -0.1379 0.5000 13.1405
29.0000 -0.8971 -0.3413 -0.2343 -0.1938 -0.1373 0.5000 13.0964
30.0000 -0.8888 -0.3409 -0.2343 -0.1924 -0.1368 0.5000 13.0584
31.0000 -0.8826 -0.3405 -0.2344 -0.1914 -0.1364 0.5000 13.0307
32.0000 -0.8762 -0.3401 -0.2345 -0.1903 -0.1360 0.5000 13.0028
33.0000 -0.8675 -0.3396 -0.2346 -0.1887 -0.1354 0.5000 12.9642
34.0000 -0.8610 -0.3391 -0.2347 -0.1875 -0.1349 0.5000 12.9350
35.0000 -0.8538 -0.3386 -0.2348 -0.1860 -0.1343 0.5000 12.9017
36.0000 -0.8484 -0.3382 -0.2349 -0.1849 -0.1339 0.5000 12.8775
37.0000 -0.8426 -0.3378 -0.2350 -0.1837 -0.1334 0.5000 12.8514
38.0000 -0.8374 -0.3374 -0.2351 -0.1826 -0.1329 0.5000 12.8274
39.0000 -0.8335 -0.3371 -0.2352 -0.1816 -0.1326 0.5000 12.8092
40.0000 -0.8289 -0.3368 -0.2353 -0.1806 -0.1322 0.5000 12.7876
41.0000 -0.8246 -0.3365 -0.2354 -0.1796 -0.1319 0.5000 12.7676
42.0000 -0.8188 -0.3361 -0.2355 -0.1784 -0.1315 0.5000 12.7409
43.0000 -0.8158 -0.3359 -0.2355 -0.1777 -0.1312 0.5000 12.7271
44.0000 -0.8108 -0.3356 -0.2356 -0.1767 -0.1308 0.5000 12.7047
45.0000 -0.8076 -0.3354 -0.2356 -0.1760 -0.1306 0.5000 12.6910
46.0000 -0.8028 -0.3351 -0.2357 -0.1750 -0.1302 0.5000 12.6696
47.0000 -0.8005 -0.3350 -0.2357 -0.1746 -0.1300 0.5000 12.6594
48.0000 -0.7981 -0.3348 -0.2358 -0.1740 -0.1298 0.5000 12.6485
49.0000 -0.7956 -0.3346 -0.2358 -0.1734 -0.1295 0.5000 12.6363
# OPTIMIZATION PARAMETERS 
# nelx: 80
# nely: 40
# max buckling: 0.5
# penalization: 3.0
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([3400], dtype=int64)}
# bc: Left Clamped
# 
