# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.7420 -0.6477 0.5401 0.6477 0.7420 0.5000 54.9388
2.0000 -5.4500 -3.3719 2.7431 3.3719 5.4500 0.5000 143.3786
3.0000 -0.5210 -0.4329 -0.3750 0.4329 0.5210 0.5000 45.7628
4.0000 -0.3673 -0.3458 0.2519 0.3458 0.3673 0.5000 26.9835
5.0000 -0.3155 -0.2816 -0.2248 0.2816 0.3155 0.5000 24.8538
6.0000 -0.3406 -0.3045 -0.2238 0.3045 0.3406 0.5000 23.0754
7.0000 -0.3404 -0.3127 0.2237 0.3127 0.3404 0.5000 22.4796
8.0000 -0.3350 -0.3082 -0.2209 0.3082 0.3350 0.5000 22.3568
9.0000 -0.3316 -0.3036 0.2189 0.3036 0.3316 0.5000 22.2853
10.0000 -0.3306 -0.3021 -0.2186 0.3021 0.3306 0.5000 22.2676
# OPTIMIZATION PARAMETERS 
# nelx: 10
# nely: 10
# max buckling: 1.0
# penalization: 3.0
# initial densities: 0.5
# FEA MODEL DATA 
# material: {'Ex': 20000.0, 'Ey': 100000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'y', 'dof': array([131], dtype=int64)}
# bc: Left Clamped
# 
