# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.5535 -0.5438 -0.5348 -0.5280 -0.5214 0.4000 46.5995
2.0000 -0.4112 -0.3792 -0.3638 -0.3546 -0.3504 0.4000 36.3411
3.0000 -0.4191 -0.4063 -0.3756 -0.3559 -0.3429 0.4000 33.7100
4.0000 -0.4616 -0.4404 -0.3906 -0.3614 -0.3432 0.4000 32.5846
5.0000 -0.4914 -0.4677 -0.3985 -0.3627 -0.3410 0.4000 32.0444
6.0000 -0.5070 -0.4876 -0.4038 -0.3649 -0.3392 0.4000 31.6968
7.0000 -0.5130 -0.4978 -0.4083 -0.3660 -0.3374 0.4000 31.4953
8.0000 -0.5214 -0.5084 -0.4136 -0.3665 -0.3349 0.4000 31.2619
9.0000 -0.5256 -0.5120 -0.4154 -0.3659 -0.3395 0.4000 31.1200
10.0000 -0.5281 -0.5125 -0.4158 -0.3648 -0.3514 0.4000 30.9811
11.0000 -0.5293 -0.5126 -0.4164 -0.3642 -0.3598 0.4000 30.8390
12.0000 -0.5296 -0.5124 -0.4169 -0.3703 -0.3666 0.4000 30.6907
13.0000 -0.5290 -0.5125 -0.4175 -0.3793 -0.3746 0.4000 30.5697
14.0000 -0.5267 -0.5133 -0.4176 -0.3941 -0.3887 0.4000 30.3989
15.0000 -0.5224 -0.5113 -0.4164 -0.4093 -0.4022 0.4000 30.2164
16.0000 -0.5184 -0.5085 -0.4240 -0.4153 -0.4149 0.4000 30.0515
17.0000 -0.5151 -0.5051 -0.4373 -0.4267 -0.4139 0.4000 29.8491
18.0000 -0.5140 -0.5014 -0.4466 -0.4357 -0.4125 0.4000 29.6743
19.0000 -0.5154 -0.4972 -0.4599 -0.4472 -0.4107 0.4000 29.4699
20.0000 -0.5208 -0.4938 -0.4716 -0.4594 -0.4138 0.4002 29.2627
21.0000 -0.5227 -0.4875 -0.4679 -0.4536 -0.4194 0.4088 28.5486
22.0000 -0.5403 -0.5020 -0.4902 -0.4813 -0.4499 0.4003 28.9662
# OPTIMIZATION PARAMETERS 
# nelx: 40
# nely: 20
# max buckling: 0.0
# penalization: 1.484
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 2000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1639, 1721], dtype=int64)}
# bc: Left Clamped
# 
