# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.9362 -0.6174 -0.6174 -0.6135 -0.6125 0.4000 89.3622
2.0000 -0.5762 -0.5730 -0.5635 -0.5364 -0.5004 0.4000 76.1982
3.0000 -0.6727 -0.6650 -0.5920 -0.5549 -0.5199 0.4000 72.7103
4.0000 -0.7122 -0.7059 -0.6059 -0.5664 -0.5246 0.4000 71.1651
5.0000 -0.7186 -0.7141 -0.6117 -0.5619 -0.5121 0.4000 70.4858
6.0000 -0.7157 -0.7114 -0.6101 -0.5525 -0.5000 0.4000 69.9646
7.0000 -0.7154 -0.7116 -0.6086 -0.5446 -0.4911 0.4000 69.5874
8.0000 -0.7135 -0.7113 -0.6071 -0.5432 -0.4893 0.4000 69.2951
9.0000 -0.7127 -0.7111 -0.6061 -0.5436 -0.4895 0.4000 68.9874
10.0000 -0.7130 -0.7095 -0.6049 -0.5439 -0.4897 0.4000 68.7471
11.0000 -0.7133 -0.7074 -0.6036 -0.5442 -0.4901 0.4000 68.4901
12.0000 -0.7152 -0.7095 -0.6047 -0.5460 -0.5040 0.4000 68.2776
13.0000 -0.7164 -0.7107 -0.6051 -0.5466 -0.5187 0.4000 68.1150
14.0000 -0.7172 -0.7116 -0.6054 -0.5471 -0.5289 0.4000 67.9558
15.0000 -0.7174 -0.7117 -0.6053 -0.5470 -0.5348 0.4000 67.8598
16.0000 -0.7182 -0.7123 -0.6054 -0.5474 -0.5402 0.4000 67.7305
17.0000 -0.7184 -0.7123 -0.6052 -0.5478 -0.5471 0.4000 67.6198
18.0000 -0.7181 -0.7116 -0.6045 -0.5540 -0.5512 0.4000 67.4997
19.0000 -0.7185 -0.7117 -0.6043 -0.5564 -0.5538 0.4000 67.4145
20.0000 -0.7192 -0.7121 -0.6043 -0.5602 -0.5572 0.4000 67.2925
21.0000 -0.7202 -0.7128 -0.6046 -0.5607 -0.5578 0.4000 67.2225
22.0000 -0.7215 -0.7134 -0.6049 -0.5622 -0.5595 0.4000 67.1613
23.0000 -0.7229 -0.7140 -0.6054 -0.5657 -0.5625 0.4000 67.0979
# OPTIMIZATION PARAMETERS 
# nelx: 40
# nely: 20
# max buckling: 0.0
# penalization: 1.484
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 2000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([819, 901, 983], dtype=int64)}
# bc: Left Clamped
# 
