# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.8983 -0.6961 0.7148 1.2112 1.9406 0.3000 165.8187
2.0000 -0.7575 0.6948 0.8418 1.4514 2.2754 0.3000 169.2360
3.0000 -0.7203 0.7181 0.8710 1.5062 2.3456 0.3000 168.7744
4.0000 -0.7175 0.7180 0.8680 1.4863 2.3200 0.3000 167.8649
5.0000 -0.7172 0.7134 0.8648 1.4748 2.2755 0.3000 167.2732
6.0000 -0.7170 0.7109 0.8627 1.4758 2.2581 0.3000 167.0177
7.0000 -0.7169 0.7102 0.8614 1.4758 2.2565 0.3000 166.9253
8.0000 -0.7169 0.7075 0.8587 1.4727 2.2605 0.3000 166.7707
9.0000 -0.7169 0.7047 0.8560 1.4672 2.2643 0.3000 166.6874
10.0000 -0.7168 0.6997 0.8504 1.4548 2.2725 0.3000 166.5602
11.0000 -0.7168 0.6951 0.8452 1.4413 2.2827 0.3000 166.4256
12.0000 -0.7168 0.6911 0.8386 1.4234 2.2924 0.3000 166.2468
13.0000 -0.7168 0.6875 0.8329 1.4034 2.2995 0.3000 166.0503
14.0000 -0.7169 0.6856 0.8303 1.3907 2.3022 0.3000 165.9300
15.0000 -0.7170 0.6840 0.8286 1.3803 2.3031 0.3000 165.8349
16.0000 -0.7169 0.6824 0.8272 1.3731 2.2989 0.3000 165.7847
17.0000 -0.7172 0.6775 0.8230 1.3542 2.2806 0.3000 165.6542
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 1.395
# penalization: 3.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
