# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.8028 -0.4883 -0.4485 0.4883 0.8028 0.8000 29.8745
2.0000 -72.3676 -70.3979 61.5800 70.3979 72.3676 0.3000 4693.0860
3.0000 -0.7111 -0.4433 0.3951 0.4433 0.7111 0.7500 34.4407
4.0000 -14.3183 -8.9214 -7.1070 8.3865 13.5361 0.3000 347.3372
5.0000 -0.7749 -0.6899 -0.6409 0.6822 0.8008 0.5907 70.1662
6.0000 6189.1627 6782.4258 7532.4636 11608.7223 12197.0645 0.3000 533490.8686
7.0000 -0.7545 0.7139 0.7321 0.8498 0.9340 0.5616 77.5555
8.0000 -6421.2509 -1791.4397 -1382.0658 -837.9206 873.8679 0.3000 162845.1247
9.0000 0.8755 0.9838 1.0080 1.2814 1.3809 0.5355 93.3401
10.0000 -1273.5244 -1041.8330 -905.3091 -693.5417 -668.7932 0.3004 70337.3680
11.0000 -1.0839 -1.0454 1.0728 1.4304 1.6252 0.5120 100.7430
12.0000 -1157.8315 -1026.4078 -683.5257 -603.0879 -518.2541 0.3000 35829.4022
13.0000 -1.3209 -1.2528 1.3443 1.7593 2.0620 0.4908 110.9478
14.0000 193.8668 225.0396 273.3096 418.5474 666.4904 0.3000 7547.4357
15.0000 1.5140 1.7096 1.9315 2.4318 2.8972 0.4717 121.5539
16.0000 -17.6922 -9.8079 -6.0766 -5.0609 -4.5353 0.3400 152.6764
17.0000 -3.7526 -3.3016 -2.4490 -2.1251 3.1923 0.4217 107.7806
18.0000 -2.1865 2.5720 3.8250 5.7085 7.4069 0.3000 99.4307
19.0000 1.5028 2.3323 2.8209 4.9372 5.6160 0.3000 67.6014
20.0000 -1.1157 1.2325 1.4468 2.7420 3.5377 0.2991 43.1900
21.0000 -1.0445 1.0101 1.3364 1.9518 3.7929 0.3000 40.2250
22.0000 -0.8955 0.7635 1.0036 1.5649 2.9989 0.3000 31.5813
23.0000 -0.7474 0.7583 0.9719 1.6108 2.9256 0.3000 29.8788
24.0000 -0.6736 0.7794 0.9837 1.7047 2.8632 0.3000 29.5933
25.0000 -0.6667 0.7735 0.9742 1.7180 2.8341 0.3000 29.3654
26.0000 -0.6668 0.7549 0.9543 1.7216 2.7664 0.3000 29.0511
27.0000 -0.6672 0.7477 0.9476 1.7347 2.7404 0.3000 28.8604
28.0000 -0.6664 0.7424 0.9427 1.7316 2.7162 0.3000 28.7666
29.0000 -0.6660 0.7326 0.9299 1.7104 2.6665 0.3000 28.6106
30.0000 -0.6663 0.7233 0.9168 1.6810 2.6169 0.3000 28.4913
31.0000 -0.6660 0.7060 0.8909 1.6179 2.5439 0.3000 28.3103
32.0000 -0.6667 0.6973 0.8789 1.5856 2.5121 0.3000 28.2364
33.0000 -0.6669 0.6791 0.8547 1.5324 2.4656 0.3000 28.1351
34.0000 -0.6680 0.6359 0.7947 1.4059 2.3422 0.3000 27.8277
35.0000 -0.6667 0.6264 0.7827 1.3830 2.3232 0.3000 27.7572
36.0000 -0.6667 0.6212 0.7764 1.3735 2.3152 0.3000 27.7064
37.0000 -0.6665 0.6043 0.7550 1.3349 2.2871 0.3000 27.5128
38.0000 -0.6667 0.6034 0.7541 1.3329 2.2827 0.3000 27.4997
39.0000 -0.6666 0.6001 0.7507 1.3289 2.2684 0.3000 27.4631
40.0000 -0.6664 0.5979 0.7487 1.3248 2.2691 0.3000 27.4208
41.0000 -0.6668 0.5974 0.7474 1.3235 2.2632 0.3000 27.4066
42.0000 -0.6667 0.5959 0.7447 1.3188 2.2480 0.3000 27.3662
43.0000 -0.6666 0.5954 0.7435 1.3167 2.2391 0.3000 27.3498
44.0000 -0.6667 0.5953 0.7432 1.3162 2.2364 0.3000 27.3182
45.0000 -0.6663 0.5960 0.7436 1.3168 2.2327 0.3000 27.2408
46.0000 -0.6663 0.5957 0.7423 1.3142 2.2209 0.3000 27.1561
47.0000 -0.6668 0.5944 0.7399 1.3096 2.2091 0.3000 27.1202
48.0000 -0.6667 0.5932 0.7375 1.3051 2.1987 0.3000 27.0954
49.0000 -0.6667 0.5919 0.7351 1.3007 2.1883 0.3000 27.0790
50.0000 -0.6666 0.5903 0.7324 1.2959 2.1777 0.3000 27.0588
51.0000 -0.6667 0.5883 0.7288 1.2895 2.1630 0.3000 27.0312
52.0000 -0.6672 0.5845 0.7220 1.2770 2.1352 0.3000 26.9880
# OPTIMIZATION PARAMETERS 
# nelx: 20
# nely: 40
# max buckling: 1.5
# penalization: 6.0
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([881], dtype=int64)}
# bc: Left Clamped
# 
