# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.0412 -0.0253 -0.0230 0.0253 0.0412 0.8000 0.1703
2.0000 -2.8306 -1.8244 -1.6270 1.8244 2.8306 0.2000 12.2596
3.0000 -1.0707 -0.4633 0.3417 0.7822 1.5428 0.2000 6.2824
4.0000 -0.2903 -0.2230 -0.2202 0.2625 0.3934 0.2000 4.8661
5.0000 -0.2317 -0.1878 -0.1862 0.2155 0.2424 0.2000 4.2920
6.0000 -0.1814 -0.1658 -0.1454 0.1626 0.1887 0.2000 2.9867
7.0000 -0.1741 -0.1568 0.1326 0.1589 0.1813 0.2000 2.4098
8.0000 -0.1767 -0.1466 0.1186 0.1550 0.1790 0.2000 1.9545
9.0000 -0.1806 -0.1689 -0.1528 0.1459 0.1796 0.2000 1.5357
10.0000 -0.1803 -0.1512 -0.1404 0.1378 0.1772 0.2000 1.2833
11.0000 -0.1803 -0.1325 -0.1222 0.1329 0.1759 0.2000 1.1445
12.0000 -0.1808 -0.1181 -0.1153 0.1279 0.1751 0.2000 1.0138
13.0000 -0.1821 -0.1155 -0.1027 0.1243 0.1753 0.2000 0.9192
14.0000 -0.1837 -0.1133 -0.0917 0.1211 0.1758 0.2000 0.8359
15.0000 -0.1853 -0.1116 -0.0828 0.1186 0.1764 0.2000 0.7694
16.0000 -0.1870 -0.1100 -0.0747 0.1162 0.1772 0.2000 0.7086
17.0000 -0.1887 -0.1091 0.0708 0.1148 0.1782 0.2000 0.6679
18.0000 -0.1906 -0.1080 0.0688 0.1130 0.1796 0.2000 0.6234
19.0000 -0.1920 -0.1072 0.0673 0.1116 0.1807 0.2000 0.5898
20.0000 -0.1931 -0.1064 0.0661 0.1103 0.1816 0.2000 0.5620
21.0000 -0.1940 -0.1057 0.0651 0.1091 0.1825 0.2000 0.5377
22.0000 -0.1947 -0.1049 0.0639 0.1078 0.1835 0.2000 0.5118
23.0000 -0.1952 -0.1042 0.0627 0.1064 0.1843 0.2000 0.4893
24.0000 -0.1955 -0.1036 0.0619 0.1055 0.1848 0.2000 0.4739
25.0000 -0.1956 -0.1031 0.0610 0.1044 0.1854 0.2000 0.4580
26.0000 -0.1956 -0.1026 0.0602 0.1034 0.1859 0.2000 0.4440
27.0000 -0.1956 -0.1021 0.0595 0.1026 0.1864 0.2000 0.4321
28.0000 -0.1956 -0.1017 -0.0589 0.1019 0.1869 0.2000 0.4218
# OPTIMIZATION PARAMETERS 
# nelx: 40
# nely: 80
# max buckling: 1.0
# penalization: 3.0
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([3361], dtype=int64)}
# bc: Left Clamped
# 
