# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -1.9434 -1.8792 -1.7940 1.8792 1.9434 0.5000 948.3156
2.0000 -8710.2403 -5654.7816 -5060.9404 5654.7816 8710.2403 0.5000 3079594.4830
3.0000 -1.5023 -1.4508 -1.3836 1.4508 1.5023 0.5000 775.3041
4.0000 -655.5795 -366.3947 289.5888 366.3947 655.5795 0.5000 24789.4926
5.0000 -1.3274 -1.2825 -1.2244 1.2825 1.3274 0.5000 719.1612
6.0000 -9.6242 -9.3095 -6.1985 9.3095 9.6242 0.5000 2023069.5040
7.0000 -1.4072 -1.2833 -1.2598 1.2833 1.4072 0.5000 664.6757
8.0000 -9.5765 -5.6186 -4.6976 5.6186 9.5765 0.5000 928.0992
9.0000 -1.4154 -1.3372 -1.0750 1.3372 1.4154 0.5000 520.0295
10.0000 -1.8351 -1.4470 -1.1403 1.4470 1.8351 0.5000 392.1209
11.0000 -1.6119 -1.4740 1.4702 1.4740 1.6119 0.5000 335.7435
12.0000 -1.3034 -1.2096 -1.1947 1.2096 1.3034 0.5000 361.4852
13.0000 -1.3037 -0.8986 0.8893 0.8986 1.3037 0.5000 305.1673
14.0000 -1.1962 -0.9278 0.9209 0.9278 1.1962 0.5000 271.8392
15.0000 -1.2130 -0.9551 0.8783 0.9551 1.2130 0.5000 260.3278
16.0000 -1.2812 -0.9143 0.8077 0.9143 1.2812 0.5000 253.6914
17.0000 -1.3737 -0.8897 0.7815 0.8897 1.3737 0.5000 249.3845
18.0000 -1.4655 -0.8756 0.7861 0.8756 1.4655 0.5000 245.0747
19.0000 -1.4828 -0.8752 0.7891 0.8752 1.4828 0.5000 241.6443
20.0000 -1.4871 -0.8747 0.7862 0.8747 1.4871 0.5000 237.9562
21.0000 -1.4718 -0.8816 0.7859 0.8816 1.4718 0.5000 235.9641
22.0000 -1.4528 -0.8836 0.7870 0.8836 1.4528 0.5000 234.2607
23.0000 -1.4311 -0.8828 0.7859 0.8828 1.4311 0.5000 233.0910
24.0000 -1.4056 -0.8764 0.7819 0.8764 1.4056 0.5000 231.9471
25.0000 -1.3844 -0.8644 0.7759 0.8644 1.3844 0.5000 231.1125
26.0000 -1.3608 -0.8480 0.7678 0.8480 1.3608 0.5000 230.4372
27.0000 -1.3312 -0.8278 -0.7615 0.8278 1.3312 0.5000 229.6808
28.0000 -1.3024 -0.8086 -0.7563 0.8086 1.3024 0.5000 229.0011
29.0000 -1.2675 -0.7856 0.7603 0.7856 1.2675 0.5000 228.1860
30.0000 -1.2268 -0.7885 0.7664 0.7885 1.2268 0.5000 226.9899
31.0000 -1.2211 -0.8047 -0.7706 0.8047 1.2211 0.5000 226.3457
32.0000 -1.2200 -0.8169 -0.7704 0.8169 1.2200 0.5000 226.0404
33.0000 -1.2186 -0.8396 -0.7717 0.8396 1.2186 0.5000 225.6533
34.0000 -1.2155 -0.8539 -0.7778 0.8539 1.2155 0.5000 225.4251
35.0000 -1.2067 -0.9183 -0.8020 0.9183 1.2067 0.5000 224.4288
36.0000 -1.1866 -0.9729 -0.8165 0.9729 1.1866 0.5000 222.3168
37.0000 -1.1675 -0.9771 -0.8114 0.9771 1.1675 0.5000 221.1653
38.0000 -1.1532 -0.9746 -0.8074 0.9746 1.1532 0.5000 220.4737
39.0000 -1.1480 -0.9778 -0.8088 0.9778 1.1480 0.5000 220.3779
40.0000 -1.1405 -0.9825 -0.8116 0.9825 1.1405 0.5000 220.2482
41.0000 -1.1371 -0.9832 -0.8142 0.9832 1.1371 0.5000 220.1711
42.0000 -1.1319 -0.9799 -0.8199 0.9799 1.1319 0.5000 220.0803
43.0000 -1.1287 -0.9794 -0.8235 0.9794 1.1287 0.5000 220.0249
44.0000 -1.1276 -0.9790 -0.8232 0.9790 1.1276 0.5000 219.9860
45.0000 -1.1276 -0.9789 -0.8222 0.9789 1.1276 0.5000 219.9477
46.0000 -1.1270 -0.9807 -0.8216 0.9807 1.1270 0.5000 219.8645
47.0000 -1.1265 -0.9814 -0.8219 0.9814 1.1265 0.5000 219.8384
48.0000 -1.1250 -0.9852 -0.8224 0.9852 1.1250 0.5000 219.7755
49.0000 -1.1252 -0.9896 -0.8216 0.9896 1.1252 0.5000 219.7227
50.0000 -1.1262 -0.9929 -0.8213 0.9929 1.1262 0.5000 219.6904
51.0000 -1.1282 -1.0009 -0.8219 1.0009 1.1282 0.5000 219.6486
52.0000 -1.1312 -1.0145 -0.8236 1.0145 1.1312 0.5000 219.6051
53.0000 -1.1319 -1.0178 -0.8246 1.0178 1.1319 0.5000 219.5870
54.0000 -1.1328 -1.0242 -0.8273 1.0242 1.1328 0.5000 219.5473
55.0000 -1.1344 -1.0377 -0.8348 1.0377 1.1344 0.5000 219.4854
56.0000 -1.1348 -1.0424 -0.8390 1.0424 1.1348 0.5000 219.4481
57.0000 -1.1331 -1.0389 -0.8400 1.0389 1.1331 0.5000 219.4061
58.0000 -1.1299 -1.0363 -0.8426 1.0363 1.1299 0.5000 219.3275
59.0000 -1.1278 -1.0361 -0.8430 1.0361 1.1278 0.5000 219.2838
60.0000 -1.1239 -1.0380 -0.8426 1.0380 1.1239 0.5000 219.2234
61.0000 -1.1243 -1.0409 -0.8408 1.0409 1.1243 0.5000 219.1499
