# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.1054 -0.0860 -0.0730 -0.0642 -0.0581 0.4000 3.9343
2.0000 -0.0607 -0.0561 -0.0531 -0.0530 -0.0502 0.4000 3.3667
3.0000 -0.0523 -0.0509 -0.0487 -0.0486 -0.0463 0.4000 3.1880
4.0000 -0.0478 -0.0462 -0.0443 -0.0442 -0.0422 0.4000 3.0215
5.0000 -0.0445 -0.0436 -0.0416 -0.0406 -0.0394 0.4000 2.8951
6.0000 -0.0414 -0.0411 -0.0390 -0.0386 -0.0376 0.4000 2.7891
7.0000 -0.0384 -0.0384 -0.0366 -0.0363 -0.0353 0.4000 2.6859
8.0000 -0.0357 -0.0356 -0.0342 -0.0342 -0.0340 0.4000 2.5867
9.0000 -0.0338 -0.0338 -0.0338 -0.0326 -0.0325 0.4000 2.5191
10.0000 -0.0337 -0.0325 -0.0325 -0.0315 -0.0314 0.4000 2.4747
11.0000 -0.0335 -0.0310 -0.0310 -0.0303 -0.0303 0.4000 2.4234
12.0000 -0.0335 -0.0297 -0.0296 -0.0295 -0.0294 0.4000 2.3687
13.0000 -0.0335 -0.0294 -0.0294 -0.0289 -0.0287 0.4000 2.3267
14.0000 -0.0334 -0.0295 -0.0295 -0.0287 -0.0284 0.4000 2.3026
15.0000 -0.0334 -0.0296 -0.0296 -0.0285 -0.0281 0.4000 2.2794
16.0000 -0.0334 -0.0299 -0.0299 -0.0285 -0.0279 0.4000 2.2503
17.0000 -0.0333 -0.0303 -0.0302 -0.0285 -0.0277 0.4000 2.2246
18.0000 -0.0333 -0.0308 -0.0306 -0.0285 -0.0276 0.4000 2.2010
19.0000 -0.0333 -0.0313 -0.0310 -0.0286 -0.0275 0.4000 2.1819
20.0000 -0.0333 -0.0316 -0.0313 -0.0286 -0.0275 0.4000 2.1718
21.0000 -0.0333 -0.0320 -0.0316 -0.0287 -0.0276 0.4000 2.1615
22.0000 -0.0333 -0.0324 -0.0319 -0.0289 -0.0276 0.4000 2.1500
23.0000 -0.0333 -0.0329 -0.0323 -0.0290 -0.0278 0.4000 2.1387
24.0000 -0.0336 -0.0333 -0.0328 -0.0292 -0.0279 0.4000 2.1261
25.0000 -0.0342 -0.0333 -0.0332 -0.0295 -0.0282 0.4000 2.1149
26.0000 -0.0350 -0.0339 -0.0333 -0.0298 -0.0285 0.4000 2.1019
27.0000 -0.0356 -0.0344 -0.0333 -0.0300 -0.0288 0.4000 2.0914
# OPTIMIZATION PARAMETERS 
# nelx: 50
# nely: 50
# max buckling: 0.0
# penalization: 1.484
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([5099, 5201], dtype=int64)}
# bc: Left Clamped
# 
