# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -18.0538 -3.0470 -1.3062 -0.8451 -0.6916 0.3000 168.0278
2.0000 -17.2747 -3.0921 -1.4302 -0.9345 -0.7757 0.3000 184.6730
3.0000 -16.5685 -3.2052 -1.5746 -1.0611 -0.8749 0.3000 202.6638
4.0000 -15.9702 -3.3355 -1.7300 -1.2617 -1.0893 0.3000 221.4537
5.0000 -15.3154 -3.4490 -1.9850 -1.5682 -1.4160 0.3000 244.3025
6.0000 -14.7391 -3.6837 -2.2566 -1.9337 -1.7767 0.3000 265.3851
7.0000 -14.2202 -3.9772 -2.5564 -2.1763 -2.1493 0.3000 283.4606
8.0000 -13.7591 -4.0031 -2.4874 -2.1754 -1.9680 0.3000 289.6350
9.0000 -10.1920 -4.0384 -2.6433 -1.7977 -1.4922 0.3000 231.8925
10.0000 -9.9193 -4.8772 -2.8212 -2.0791 -1.7771 0.3000 236.8074
11.0000 -9.8585 -5.1306 -2.9346 -2.5325 -1.8706 0.3000 256.2627
12.0000 -9.7744 -4.6721 -2.8309 -2.1506 -1.6828 0.3000 248.7863
13.0000 -9.7233 -4.8075 -2.9791 -2.1678 -1.7524 0.3000 244.0091
14.0000 -9.6409 -5.1108 -3.3221 -2.3663 -1.9456 0.3000 256.5181
15.0000 -9.5525 -5.2016 -3.5796 -2.4770 -1.9857 0.3000 258.0095
16.0000 -9.5001 -5.0681 -3.6792 -2.5589 -1.9600 0.3000 251.2944
17.0000 -9.4977 -4.9762 -3.6685 -2.4069 -1.9200 0.3000 248.3601
18.0000 -9.4951 -4.8982 -3.6443 -2.3445 -1.8759 0.3000 245.9228
19.0000 -9.4965 -4.7389 -3.5918 -2.2018 -1.8183 0.3000 240.1284
20.0000 -9.4993 -4.4284 -3.4852 -2.0422 -1.7268 0.3000 230.1263
21.0000 -9.4385 -4.4534 -3.5863 -2.0312 -1.7347 0.3000 228.1662
22.0000 -9.4498 -4.6492 -3.6749 -1.9572 -1.6429 0.3000 223.0552
23.0000 -9.4609 -5.0589 -3.5499 -1.8937 -1.6189 0.3000 217.7688
24.0000 -9.4663 -5.2418 -3.3679 -1.8847 -1.5752 0.3000 212.8226
25.0000 -9.4591 -5.6568 -3.2011 -1.9501 -1.5437 0.3000 208.0500
26.0000 -9.4709 -6.5538 -3.0279 -2.0223 -1.5773 0.3000 202.5219
27.0000 -9.4600 -7.1101 -2.8803 -2.0250 -1.8662 0.3000 197.7550
28.0000 -9.4784 -7.3627 -2.7567 -1.9766 -1.9683 0.3000 192.3621
29.0000 -9.4525 -7.2180 -2.6852 -1.9482 -1.9336 0.3000 189.3350
30.0000 -9.4456 -6.8493 -2.6279 -1.9368 -1.9086 0.3000 187.3973
31.0000 -9.4408 -6.5076 -2.6053 -1.9026 -1.8775 0.3000 186.5160
32.0000 -9.4415 -6.1830 -2.5805 -1.8529 -1.8393 0.3000 185.8972
33.0000 -9.4461 -5.8736 -2.5593 -1.8095 -1.8078 0.3000 185.3616
34.0000 -9.4375 -5.6922 -2.5449 -1.8014 -1.7941 0.3000 185.1178
35.0000 -9.4387 -5.4512 -2.5228 -1.7929 -1.7810 0.3000 184.7757
36.0000 -9.4407 -5.2257 -2.4880 -1.7954 -1.7875 0.3000 184.4214
37.0000 -9.4374 -5.0593 -2.4552 -1.8050 -1.8048 0.3000 184.1731
38.0000 -9.4361 -4.9424 -2.4267 -1.8221 -1.8127 0.3000 183.9708
39.0000 -9.4363 -4.8626 -2.4010 -1.8349 -1.8161 0.3000 183.7828
40.0000 -9.4408 -4.7596 -2.3631 -1.8536 -1.8158 0.3000 183.5289
41.0000 -9.4349 -4.7231 -2.3499 -1.8597 -1.8131 0.3000 183.4573
42.0000 -9.4384 -4.6198 -2.3293 -1.8739 -1.8047 0.3000 183.2205
43.0000 -9.4349 -4.5933 -2.3309 -1.8818 -1.8036 0.3000 183.1032
44.0000 -9.4428 -4.5514 -2.3498 -1.9138 -1.8031 0.3000 182.7577
45.0000 -9.4367 -4.5606 -2.3678 -1.9386 -1.8040 0.3000 182.6199
46.0000 -9.4444 -4.5740 -2.4031 -1.9809 -1.7979 0.3000 182.2805
47.0000 -9.4360 -4.5952 -2.4083 -1.9904 -1.7895 0.3000 182.1436
48.0000 -9.4429 -4.6504 -2.4031 -1.9995 -1.7635 0.3000 181.7810
49.0000 -9.4369 -4.6926 -2.3889 -1.9950 -1.7426 0.3000 181.6121
50.0000 -9.4384 -4.7373 -2.3698 -1.9826 -1.7170 0.3000 181.3972
51.0000 -9.4377 -4.7902 -2.3521 -1.9682 -1.6920 0.3000 181.1789
52.0000 -9.4369 -4.8404 -2.3317 -1.9525 -1.6697 0.3000 180.9241
53.0000 -9.4368 -4.8919 -2.2957 -1.9224 -1.6456 0.3000 180.6398
54.0000 -9.4387 -4.9607 -2.2432 -1.8805 -1.6166 0.3000 180.2635
55.0000 -9.4376 -4.9986 -2.1956 -1.8394 -1.5922 0.3000 179.9464
56.0000 -9.4452 -5.0466 -2.1177 -1.7694 -1.5571 0.3000 179.4020
57.0000 -9.4364 -5.0396 -2.0878 -1.7326 -1.5417 0.3000 179.1297
58.0000 -9.4357 -4.9783 -2.0697 -1.6986 -1.5255 0.3000 178.7054
59.0000 -9.4358 -4.9199 -2.0570 -1.6776 -1.5101 0.3000 178.2722
60.0000 -9.4388 -4.8889 -2.0469 -1.6691 -1.4956 0.3000 177.8030
61.0000 -9.4361 -4.8662 -2.0558 -1.6799 -1.4921 0.3000 177.6006
62.0000 -9.4290 -4.8469 -2.0663 -1.6874 -1.4860 0.3000 177.4318
63.0000 -9.4357 -4.8363 -2.0967 -1.7060 -1.4816 0.3000 177.2948
64.0000 -9.4464 -4.8074 -2.1946 -1.7752 -1.4739 0.3000 176.9837
65.0000 -9.4368 -4.7907 -2.2470 -1.8141 -1.4758 0.3000 176.9127
66.0000 -9.4375 -4.7964 -2.3060 -1.8673 -1.4829 0.3000 176.8176
67.0000 -9.4358 -4.8138 -2.3447 -1.9111 -1.4908 0.3000 176.7471
68.0000 -9.4361 -4.8548 -2.3714 -1.9572 -1.5013 0.3000 176.6587
69.0000 -9.4355 -4.8998 -2.4031 -2.0027 -1.5111 0.3000 176.5788
70.0000 -9.4352 -4.9472 -2.4378 -2.0525 -1.5211 0.3000 176.4985
71.0000 -9.4345 -4.9755 -2.4676 -2.0949 -1.5283 0.3000 176.4343
72.0000 -9.4354 -5.0178 -2.5067 -2.1546 -1.5395 0.3000 176.3137
73.0000 -9.4346 -5.0373 -2.5225 -2.1838 -1.5460 0.3000 176.2326
74.0000 -9.4356 -5.0375 -2.5266 -2.1960 -1.5522 0.3000 176.1417
75.0000 -9.4356 -5.0348 -2.5319 -2.2075 -1.5585 0.3000 176.0427
76.0000 -9.4356 -5.0247 -2.5342 -2.2124 -1.5646 0.3000 175.9384
77.0000 -9.4359 -5.0136 -2.5295 -2.2066 -1.5698 0.3000 175.8301
78.0000 -9.4371 -4.9972 -2.5156 -2.1809 -1.5735 0.3000 175.7189
79.0000 -9.4366 -4.9911 -2.5027 -2.1440 -1.5750 0.3000 175.6397
80.0000 -9.4354 -5.0011 -2.4881 -2.1167 -1.5751 0.3000 175.5771
81.0000 -9.4354 -5.0236 -2.4578 -2.0917 -1.5756 0.3000 175.4965
82.0000 -9.4350 -5.0546 -2.4102 -2.0714 -1.5759 0.3000 175.4034
83.0000 -9.4357 -5.0922 -2.3560 -2.0460 -1.5764 0.3000 175.3174
84.0000 -9.4354 -5.1336 -2.3168 -2.0262 -1.5757 0.3000 175.2506
85.0000 -9.4354 -5.2126 -2.2789 -1.9967 -1.5716 0.3000 175.1901
86.0000 -9.4342 -5.2534 -2.2679 -1.9856 -1.5694 0.3000 175.1560
