# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -20.8045 -10.0207 -7.9265 -6.6615 -5.8493 0.3000 1744.5841
2.0000 -20.8408 -6.8110 -5.0927 -4.7905 -4.0977 0.3000 1577.2034
3.0000 -21.1619 -6.3159 -4.5198 -3.9162 -3.8264 0.3000 1479.3429
4.0000 -20.6548 -6.5457 -4.5651 -3.7662 -3.4663 0.3000 1332.4910
5.0000 -20.1462 -6.6031 -4.4437 -3.5247 -3.0870 0.3000 1156.8063
6.0000 -30.4784 -8.2772 -4.5254 -4.1589 -3.8687 0.3000 755.6898
7.0000 -34.8010 -8.1456 -4.8757 -3.4767 -2.4525 0.3000 564.2575
8.0000 -51.8518 -5.9466 -2.6344 -1.7837 -1.3142 0.3000 227.5833
9.0000 -25.3521 -6.1099 -2.5207 -1.4121 -1.1451 0.3000 213.2767
10.0000 -15.0915 -6.3468 -4.4025 -2.5810 -2.5536 0.3000 269.9804
11.0000 -13.6467 -6.4066 -3.2093 -3.0618 -1.8690 0.3000 256.7905
12.0000 -14.0015 -4.6294 -1.8533 -1.4020 -1.0656 0.3000 208.6066
13.0000 -11.9193 -3.6293 -2.1281 -1.4756 -1.2027 0.3000 210.3216
14.0000 -9.2881 -6.4869 -2.8967 -2.1618 -1.7850 0.3000 225.0280
15.0000 -9.5187 -6.4217 -3.0044 -2.2280 1.7412 0.3000 212.6058
16.0000 -9.5181 -6.0089 -2.7794 -1.9589 1.8580 0.3000 203.1340
17.0000 -9.4733 -6.0235 -2.6455 -1.8331 1.8463 0.3000 196.6317
18.0000 -9.4559 -5.8840 -2.5442 -1.7277 -1.6872 0.3000 192.6408
19.0000 -9.4022 -5.8440 -2.4908 -1.7074 -1.7065 0.3000 188.2658
20.0000 -9.3755 -6.0147 -2.4957 -1.7760 -1.7693 0.3000 184.3021
21.0000 -9.3561 -6.0368 -2.4871 -1.7956 -1.7705 0.3000 183.4431
22.0000 -9.3497 -5.9436 -2.4716 -1.7859 -1.7309 0.3000 182.0626
23.0000 -9.3808 -5.9537 -2.5006 -1.7724 -1.6908 0.3000 181.1463
24.0000 -9.4104 -6.1427 -2.5680 -1.8071 -1.6600 0.3000 180.3735
25.0000 -9.4422 -6.3517 -2.6186 -1.8649 -1.6251 0.3000 179.1998
26.0000 -9.4402 -6.3686 -2.5985 -1.8481 -1.6116 0.3000 178.3599
27.0000 -9.4370 -6.3901 -2.5668 -1.8460 -1.6064 0.3000 177.8915
28.0000 -9.4388 -6.3928 -2.5059 -1.8625 -1.5951 0.3000 177.3275
29.0000 -9.4420 -6.3701 -2.4244 -1.9266 -1.5818 0.3000 176.6532
30.0000 -9.4347 -6.3311 -2.4054 -1.9599 -1.5850 0.3000 176.4617
31.0000 -9.4351 -6.2890 -2.3948 -1.9630 -1.5856 0.3000 176.3124
32.0000 -9.4360 -6.2840 -2.3921 -1.9713 -1.5853 0.3000 176.2094
33.0000 -9.4344 -6.3027 -2.3953 -1.9788 -1.5854 0.3000 176.1768
34.0000 -9.4362 -6.3529 -2.4027 -1.9976 -1.5852 0.3000 176.0995
35.0000 -9.4341 -6.3711 -2.4033 -1.9994 -1.5844 0.3000 176.0733
36.0000 -9.4357 -6.4009 -2.4041 -1.9934 -1.5810 0.3000 175.9680
37.0000 -9.4366 -6.4426 -2.4096 -1.9923 -1.5807 0.3000 175.8771
38.0000 -9.4347 -6.4579 -2.4125 -1.9951 -1.5832 0.3000 175.8315
39.0000 -9.4359 -6.4846 -2.4134 -2.0027 -1.5878 0.3000 175.7385
40.0000 -9.4358 -6.5281 -2.4118 -2.0164 -1.5931 0.3000 175.6633
41.0000 -9.4349 -6.5965 -2.4103 -2.0303 -1.5980 0.3000 175.6135
42.0000 -9.4345 -6.6654 -2.4094 -2.0428 -1.6010 0.3000 175.5735
43.0000 -9.4353 -6.7866 -2.4128 -2.0648 -1.6050 0.3000 175.5239
44.0000 -9.4344 -6.8595 -2.4172 -2.0771 -1.6061 0.3000 175.5066
45.0000 -9.4345 -6.9357 -2.4199 -2.0857 -1.6055 0.3000 175.4846
46.0000 -9.4353 -7.0384 -2.4212 -2.0919 -1.6031 0.3000 175.4564
47.0000 -9.4341 -7.0452 -2.4184 -2.0879 -1.6007 0.3000 175.4423
48.0000 -9.4353 -7.0048 -2.4055 -2.0691 -1.5940 0.3000 175.4013
49.0000 -9.4341 -7.0012 -2.3998 -2.0643 -1.5924 0.3000 175.3879
50.0000 -9.4360 -7.0207 -2.3780 -2.0507 -1.5895 0.3000 175.3352
51.0000 -9.4347 -7.0649 -2.3659 -2.0461 -1.5889 0.3000 175.3173
52.0000 -9.4352 -7.1335 -2.3510 -2.0418 -1.5890 0.3000 175.2943
53.0000 -9.4345 -7.1806 -2.3415 -2.0380 -1.5891 0.3000 175.2806
54.0000 -9.4345 -7.2069 -2.3332 -2.0324 -1.5890 0.3000 175.2643
55.0000 -9.4342 -7.2039 -2.3250 -2.0242 -1.5879 0.3000 175.2541
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.106
# penalization: 3.0
# initial densities: 0.3
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
