# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -17.8579 -3.0811 -1.3668 -0.9871 -0.9213 0.3000 170.5397
2.0000 -17.1064 -3.1576 -1.5271 -1.1677 -1.0255 0.3000 187.8082
3.0000 -16.4327 -3.3345 -1.7053 -1.3495 -1.1658 0.3000 206.4129
4.0000 -15.8730 -3.5361 -1.9359 -1.8446 -1.4001 0.3000 227.3282
5.0000 -9.6654 -4.6937 -3.4451 -2.4514 -2.2129 0.3000 279.9027
6.0000 -9.6318 -4.6504 -2.9804 -2.0975 -1.9971 0.3000 257.2085
7.0000 -9.5007 -4.0603 -2.5680 -2.0586 -1.6422 0.3000 245.1689
8.0000 -9.4997 -4.0274 -2.5062 -1.9643 -1.6169 0.3000 241.7229
9.0000 -9.4983 -3.8789 -2.4298 -1.8073 -1.5522 0.3000 236.1967
10.0000 -9.4975 -3.8336 -2.3906 -1.7429 -1.5257 0.3000 233.2534
11.0000 -9.5055 -3.6693 -2.2303 -1.5638 -1.4306 0.3000 222.4979
12.0000 -9.5462 -3.2206 -2.2832 -1.7041 -1.2258 0.3000 199.4534
13.0000 -9.4413 -3.2189 -2.6453 -1.6834 -1.3389 0.3000 195.2073
14.0000 -9.4385 -3.4599 -2.7484 -1.6460 -1.4954 0.3000 190.8409
15.0000 -9.4391 -3.9556 -2.6631 -1.6398 -1.5763 0.3000 187.3362
16.0000 -9.4606 -4.4661 -2.5597 -1.6452 -1.6263 0.3000 184.7069
17.0000 -9.4539 -5.2592 -2.5277 -1.7729 -1.6696 0.3000 182.4924
18.0000 -9.4505 -6.1422 -2.5246 -2.1209 -1.6816 0.3000 180.4409
19.0000 -9.4423 -6.3535 -2.5075 -2.2890 -1.6718 0.3000 179.2001
20.0000 -9.4441 -6.1752 -2.4596 -2.2743 -1.6447 0.3000 178.3310
21.0000 -9.4360 -6.1169 -2.4376 -2.2418 -1.6324 0.3000 178.2490
22.0000 -9.4384 -6.0820 -2.4156 -2.2060 -1.6169 0.3000 178.1607
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.106
# penalization: 3.0
# initial densities: [0. 0. 0. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 2000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
