# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -89.1491 -14.9084 -6.2759 -3.9871 -3.1196 0.3000 810.3743
2.0000 -85.5052 -15.0362 -6.7711 -4.3109 -3.4528 0.3000 879.0409
3.0000 -82.2158 -15.3762 -7.3205 -4.7206 -3.8428 0.3000 946.1325
4.0000 -77.0417 -16.4310 -8.1256 -5.4403 -4.4327 0.3000 1034.2578
5.0000 -74.6383 -16.9125 -8.6687 -5.9581 -4.8703 0.3000 1097.6806
6.0000 -57.8947 -20.1107 -15.2946 -10.6072 -8.4399 0.3000 1390.5317
7.0000 -53.6221 -29.8360 -15.4673 -10.7477 -8.9027 0.3000 1372.0392
8.0000 -50.0858 -22.2983 -10.7454 -8.3471 -6.0788 0.3000 958.2527
9.0000 -44.7658 -31.6415 -11.4050 27.6145 34.1197 0.3000 1102.9613
10.0000 -39.6400 -25.0578 -12.0259 -9.6095 -7.9574 0.3000 1122.6814
11.0000 -37.9777 -18.4111 -12.2828 -9.7256 -7.4480 0.3000 1138.4062
12.0000 -34.5596 -31.2960 -14.5522 -9.2092 -7.8228 0.3000 1028.0342
13.0000 -33.2794 -30.3513 -14.1689 -8.8384 -7.7044 0.3000 1047.8547
14.0000 -32.5431 -29.6624 -14.1582 -8.8642 -7.6751 0.3000 1059.6402
15.0000 -31.4723 -29.0248 -14.1949 -8.7669 -7.6633 0.3000 1066.1688
16.0000 -30.6957 -28.6408 -14.2124 -8.6001 -7.7591 0.3000 1067.4761
17.0000 -29.3888 -28.3379 -14.3002 -8.4924 -7.8765 0.3000 1071.0400
18.0000 -28.6839 -28.1036 -14.4631 -8.4013 -7.9460 0.3000 1073.3754
19.0000 -27.7615 -27.2535 -14.9713 -7.9352 -7.8280 0.3000 1064.5769
20.0000 -28.8417 -22.3411 -14.9703 -8.4802 -7.4687 0.3000 1092.1417
21.0000 -27.1946 -20.9322 -14.2586 -7.8141 -7.5545 0.3000 1101.1435
22.0000 -24.4327 -23.9367 -13.4356 -8.6623 -8.3289 0.3000 1093.1129
23.0000 -24.0357 -19.6187 -12.6687 -10.3958 -7.8253 0.3000 1108.8821
24.0000 -23.5970 -19.6989 -12.9387 -9.7143 -7.9151 0.3000 1098.8670
25.0000 -23.1193 -19.8141 -13.0427 -9.9322 -7.9526 0.3000 1107.1863
26.0000 -21.8675 -20.4756 -14.1961 -11.6485 -8.2255 0.3000 1134.0752
27.0000 -21.5470 -20.4641 -14.1568 -11.9255 -8.1744 0.3000 1132.9181
28.0000 -21.3602 -20.4471 -14.1015 -11.8302 -8.1742 0.3000 1130.0197
29.0000 -21.0166 -20.3464 -14.3201 -12.1695 -8.1828 0.3000 1124.5953
30.0000 -20.8615 -20.3451 -14.4973 -12.1311 -8.1546 0.3000 1124.1886
31.0000 -20.6922 -20.2951 -14.7418 -12.3321 -8.1885 0.3000 1120.7477
32.0000 -20.5403 -20.1995 -14.8519 -12.7350 -8.2355 0.3000 1117.5720
33.0000 -20.2532 -19.9290 -14.7961 -13.1337 -8.3758 0.3000 1125.9109
34.0000 -20.1669 -19.8319 -14.7566 -13.3673 -8.3919 0.3000 1132.7688
35.0000 -19.9282 -19.6257 -15.0849 -13.8702 -8.3627 0.3000 1173.9335
36.0000 -19.8266 -19.5629 -15.2313 -13.9200 -8.2947 0.3000 1176.9050
37.0000 -19.6247 -19.4930 -15.1057 -14.1249 -8.2935 0.3000 1147.5792
38.0000 -19.4743 -19.3118 -14.7788 -14.2069 -8.3859 0.3000 1120.4599
39.0000 -19.3834 -19.2904 -14.8954 -14.0925 -8.4083 0.3000 1116.6698
40.0000 -19.3038 -19.1767 -15.0537 -13.7384 -8.4449 0.3000 1109.1910
41.0000 -19.2142 -19.0738 -14.9072 -13.5728 -8.5236 0.3000 1103.0263
42.0000 -19.1317 -19.0610 -14.5443 -13.4138 -8.5043 0.3000 1098.0722
43.0000 -19.0807 -19.0627 -14.6179 -13.3220 -8.5230 0.3000 1093.3830
44.0000 -19.0670 -19.0518 -14.6996 -13.3286 -8.5414 0.3000 1092.3032
45.0000 -19.0597 -19.0271 -14.7470 -13.3274 -8.5592 0.3000 1090.9458
46.0000 -19.0218 -19.0063 -15.0121 -13.3273 -8.6494 0.3000 1088.3910
47.0000 -18.9929 -18.9341 -15.3493 -13.2493 -8.8348 0.3000 1083.4549
48.0000 -18.9640 -18.9256 -15.0570 -13.2354 -8.8302 0.3000 1081.7069
49.0000 -18.9520 -18.9229 -15.0427 -13.1974 -8.8295 0.3000 1079.8325
50.0000 -18.9467 -18.9400 -15.0849 -13.1727 -8.8340 0.3000 1078.5522
51.0000 -18.9517 -18.9344 -15.1177 -13.1625 -8.8332 0.3000 1076.6819
52.0000 -18.9536 -18.9335 -15.0911 -13.1124 -8.8090 0.3000 1074.8833
53.0000 -18.9437 -18.9317 -15.1363 -13.0359 -8.8195 0.3000 1069.9175
54.0000 -18.9573 -18.9244 -15.1462 -13.0892 -8.8531 0.3000 1067.7283
55.0000 -18.9888 -18.9606 -15.0731 -13.0762 -8.9056 0.3000 1063.9078
56.0000 -18.9571 -18.8905 -15.1362 -13.0125 -8.8889 0.3000 1064.9116
57.0000 -18.9415 -18.9110 -15.1834 -12.9802 -8.8849 0.3000 1063.2379
58.0000 -18.9923 -18.9774 -15.3280 -13.0796 -8.9201 0.3000 1060.0192
59.0000 -18.9076 -18.8773 -15.4002 -13.1399 -8.9214 0.3000 1062.9858
60.0000 -18.9200 -18.8860 -15.2503 -13.0430 -8.8966 0.3000 1061.4191
61.0000 -18.9017 -18.8955 -15.2365 -12.9894 -8.9063 0.3000 1061.2674
62.0000 -18.9008 -18.8993 -15.2414 -12.9893 -8.9062 0.3000 1061.2114
63.0000 -18.9008 -18.9004 -15.2418 -12.9891 -8.9060 0.3000 1061.1795
64.0000 -18.8985 -18.8949 -15.2604 -12.9951 -8.9054 0.3000 1060.9900
65.0000 -18.8971 -18.8904 -15.4492 -13.1456 -8.9619 0.3000 1060.6938
66.0000 -18.8978 -18.8817 -15.4301 -13.1366 -8.9741 0.3000 1059.9511
67.0000 -18.8919 -18.8867 -15.2632 -12.9944 -8.9354 0.3000 1059.5889
68.0000 -18.8862 -18.8825 -15.2295 -12.9471 -8.9117 0.3000 1059.5535
69.0000 -18.8856 -18.8816 -15.2449 -12.9263 -8.9117 0.3000 1059.2103
70.0000 -18.8762 -18.8757 -15.2926 -12.9637 -8.9426 0.3000 1058.6449
71.0000 -18.8840 -18.8724 -15.2914 -12.9720 -8.9770 0.3000 1057.9350
72.0000 -18.8767 -18.8722 -15.2517 -12.9040 -8.9978 0.3000 1057.5224
73.0000 -18.8851 -18.8736 -15.2115 -12.8820 -8.9849 0.3000 1056.9917
74.0000 -18.8778 -18.8777 -15.2380 -12.8629 -8.9958 0.3000 1056.9049
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.053
# penalization: 3.0
# initial densities: [0. 0. 0. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 2000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
