# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -84.7881 -41.1065 -33.0473 -30.1343 -25.5963 0.3000 8356.3415
2.0000 -81.0690 -25.4783 -22.8063 -20.5679 -19.4832 0.3000 7623.5776
3.0000 -79.8111 -23.0985 -17.9610 -17.6572 -17.0311 0.3000 7087.1465
4.0000 -76.1022 -23.1845 -18.2800 -17.8517 -17.8514 0.3000 6350.9792
5.0000 -73.7721 -23.0672 -18.2747 -18.1411 -18.1318 0.3000 5803.5843
6.0000 -70.1759 -23.0855 -19.2069 -17.5514 -17.5252 0.3000 5327.5898
7.0000 -63.6629 -30.0861 -20.7068 -18.0125 -15.6643 0.3000 3988.5925
8.0000 -83.6852 -40.6180 -28.2811 -25.9882 -18.5290 0.3000 2018.2482
9.0000 -69.1667 -35.6397 -25.3009 -23.2381 -18.2072 0.3000 2027.7284
10.0000 -42.5068 -29.8608 -18.8424 -16.0954 -14.2188 0.3000 1610.6111
11.0000 -35.3933 -25.1474 -15.7574 -12.2116 -10.2643 0.3000 1419.8955
12.0000 -29.8216 -22.9237 -14.1166 -11.0992 -8.6555 0.3000 1349.4157
13.0000 -27.6460 -22.4004 -12.7858 -11.0818 -8.5324 0.3000 1339.2263
14.0000 -25.2467 -21.5923 -12.5650 -10.7987 -8.4764 0.3000 1393.7018
15.0000 -22.4144 -19.1814 -17.2369 -9.7306 -8.7674 0.3000 1487.9479
16.0000 -21.6432 -18.4866 -17.2453 -9.7272 -8.3487 0.3000 1431.6141
17.0000 -21.5236 -18.4077 -17.2755 -9.8389 -8.1854 0.3000 1400.3774
18.0000 -21.2914 -18.6787 -17.0847 -9.8244 -8.0152 0.3000 1382.8197
19.0000 -20.9303 -18.8726 -17.2072 -9.8435 -7.9347 0.3000 1367.7594
20.0000 -20.7361 -18.6424 -17.3889 -9.9814 -8.0110 0.3000 1354.4947
21.0000 -20.2504 -18.4789 -17.0128 -10.7430 -8.7100 0.3000 1361.9128
22.0000 -21.0066 -19.0952 -16.8629 -10.6786 -8.7003 0.3000 1312.5662
23.0000 -20.8620 -19.0959 -16.7120 -10.4810 -8.6624 0.3000 1301.2208
24.0000 -20.6625 -19.1181 -16.5857 -10.3965 -8.6097 0.3000 1291.4053
25.0000 -20.3641 -19.0456 -16.7841 -10.3554 -8.6987 0.3000 1288.0635
26.0000 -19.9004 -18.9666 -16.8277 -10.5510 -8.9878 0.3000 1292.4316
27.0000 -19.5605 -19.0775 -16.8199 -10.7144 -9.2850 0.3000 1291.9322
28.0000 -19.4784 -19.1170 -16.8516 -10.7965 -9.3313 0.3000 1284.4325
29.0000 -19.3496 -19.2371 -16.7540 -10.7949 -9.2444 0.3000 1275.9377
30.0000 -19.6552 -18.9973 -16.4853 -10.9413 -9.1872 0.3000 1263.4530
31.0000 -19.4720 -19.0978 -16.4629 -10.9102 -9.3184 0.3000 1259.6835
32.0000 -19.3715 -19.1645 -16.3812 -10.8627 -9.3201 0.3000 1255.6405
33.0000 -19.2487 -19.1319 -16.4054 -10.8893 -9.3289 0.3000 1255.8230
34.0000 -19.1755 -19.0556 -16.1227 -10.9369 -9.3388 0.3000 1255.7067
35.0000 -19.1211 -19.0411 -16.1106 -10.9484 -9.3475 0.3000 1255.9558
36.0000 -19.0934 -19.0410 -16.1368 -10.9586 -9.2522 0.3000 1255.0000
37.0000 -19.0496 -19.0168 -16.1790 -10.9626 -9.2479 0.3000 1254.9239
38.0000 -19.0403 -19.0097 -16.1771 -10.9978 -9.2684 0.3000 1254.3573
39.0000 -19.0421 -18.9931 -16.1760 -11.0558 -9.2598 0.3000 1253.8881
40.0000 -19.0291 -19.0145 -16.1066 -11.0839 -9.2982 0.3000 1252.8269
41.0000 -19.0358 -18.9906 -16.0252 -11.0740 -9.2686 0.3000 1252.3582
42.0000 -19.0236 -18.9725 -16.0015 -11.0775 -9.2560 0.3000 1251.7930
43.0000 -19.0088 -18.9633 -15.9547 -11.1043 -9.2639 0.3000 1251.1233
44.0000 -19.0196 -18.9717 -16.0151 -11.1866 -9.3155 0.3000 1250.1848
45.0000 -18.9929 -18.9550 -15.9849 -11.2797 -9.4038 0.3000 1249.6666
46.0000 -18.9660 -18.9495 -15.7683 -11.4456 -9.4717 0.3000 1249.2917
47.0000 -18.9749 -18.9404 -15.7039 -11.3192 -9.2922 0.3000 1247.6172
48.0000 -19.0193 -18.9459 -15.7827 -11.2990 -9.3027 0.3000 1245.7879
49.0000 -19.0035 -18.9594 -15.7053 -11.3424 -9.3322 0.3000 1244.8530
50.0000 -18.9728 -18.9589 -15.8520 -11.5610 -9.4907 0.3000 1243.8077
51.0000 -19.0251 -18.9533 -15.9045 -11.6794 -9.6206 0.3000 1240.4939
52.0000 -19.0482 -18.9889 -15.8512 -11.6012 -9.4744 0.3000 1237.4806
53.0000 -19.0753 -19.0330 -15.7556 -11.5492 -9.2807 0.3000 1234.2162
54.0000 -19.0849 -18.8943 -15.7950 -11.8343 -9.2935 0.3000 1232.8807
55.0000 -19.1343 -19.0060 -15.9949 -11.7941 -9.3665 0.3000 1228.2265
56.0000 -19.1427 -19.0191 -15.7072 -11.5692 -9.3148 0.3000 1225.4650
57.0000 -19.0327 -18.9751 -15.5009 -11.6438 -9.3083 0.3000 1226.6172
58.0000 -19.0356 -18.9715 -15.5395 -11.6381 -9.3070 0.3000 1225.1890
59.0000 -19.0095 -18.9631 -15.6116 -11.6143 -9.2633 0.3000 1224.3717
60.0000 -18.9917 -18.9493 -15.6361 -11.5679 -9.2369 0.3000 1224.1120
61.0000 -18.9370 -18.9054 -15.4874 -11.5414 -9.2925 0.3000 1224.6566
62.0000 -18.9428 -18.9187 -15.4912 -11.5419 -9.2699 0.3000 1223.5828
63.0000 -18.9510 -18.9346 -15.4282 -11.5532 -9.2408 0.3000 1222.1633
64.0000 -18.9542 -18.9233 -15.4026 -11.5707 -9.2172 0.3000 1221.6036
65.0000 -18.9434 -18.9121 -15.3244 -11.7114 -9.1704 0.3000 1221.4569
66.0000 -18.9422 -18.9161 -15.2648 -11.7338 -9.1685 0.3000 1220.5780
67.0000 -18.9477 -18.9310 -15.1669 -11.7109 -9.1835 0.3000 1219.4793
68.0000 -18.9344 -18.9244 -15.1637 -11.7266 -9.2613 0.3000 1219.2097
69.0000 -18.9324 -18.8900 -15.0430 -11.8506 -9.3551 0.3000 1218.9230
70.0000 -18.9110 -18.8898 -15.0606 -11.8720 -9.4212 0.3000 1218.3320
71.0000 -18.9188 -18.9037 -15.0763 -11.8470 -9.3750 0.3000 1217.6437
72.0000 -18.9084 -18.8997 -15.0262 -11.8670 -9.3376 0.3000 1217.4007
73.0000 -18.9021 -18.8903 -14.9646 -11.8852 -9.3810 0.3000 1217.2261
74.0000 -18.8808 -18.8736 -14.8946 -11.8903 -9.4695 0.3000 1216.8411
75.0000 -18.8977 -18.8747 -14.8595 -11.8105 -9.5737 0.3000 1215.8113
76.0000 -18.8926 -18.8914 -14.8241 -11.7749 -9.6096 0.3000 1214.3211
77.0000 -18.9286 -18.8893 -14.7877 -11.8239 -9.6014 0.3000 1212.8673
78.0000 -18.8976 -18.8798 -14.7285 -11.9357 -9.5318 0.3000 1212.1770
79.0000 -18.9356 -18.8975 -14.6298 -11.9208 -9.5240 0.3000 1210.6348
80.0000 -18.9219 -18.8903 -14.5823 -11.8718 -9.5072 0.3000 1210.2832
81.0000 -18.9069 -18.9042 -14.6077 -11.8552 -9.4965 0.3000 1209.9524
82.0000 -18.9064 -18.8932 -14.6247 -11.8634 -9.4937 0.3000 1209.9085
83.0000 -18.9028 -18.8966 -14.6577 -11.8845 -9.4759 0.3000 1209.6414
84.0000 -18.9025 -18.8920 -14.6854 -11.8897 -9.4704 0.3000 1209.5720
85.0000 -18.8926 -18.8781 -14.6705 -11.8720 -9.4677 0.3000 1209.3709
86.0000 -18.8933 -18.8625 -14.7021 -11.8656 -9.4673 0.3000 1208.9567
87.0000 -18.9015 -18.8591 -14.6314 -11.8495 -9.5104 0.3000 1208.2730
88.0000 -18.8792 -18.8251 -14.6337 -11.8362 -9.5169 0.3000 1207.7217
89.0000 -18.8723 -18.7921 -14.6685 -11.7068 -9.5212 0.3001 1205.7690
90.0000 -18.8790 -18.7863 -14.6610 -11.7039 -9.5251 0.3001 1205.5006
91.0000 -18.8941 -18.8267 -14.7336 -11.7584 -9.5738 0.3001 1203.5523
92.0000 -18.9569 -18.8920 -14.7998 -11.7988 -9.7347 0.3001 1200.4820
93.0000 -18.9673 -18.8859 -14.8105 -11.8048 -9.7434 0.3001 1200.1203
94.0000 -18.9663 -18.9560 -14.9960 -11.8023 -9.7598 0.3001 1198.0530
95.0000 -19.0674 -19.0123 -15.1917 -11.9821 -10.1762 0.3000 1195.2441
96.0000 -19.0613 -19.0307 -15.1801 -11.9806 -10.2330 0.3000 1194.1260
97.0000 -19.0871 -19.0536 -15.0892 -11.9562 -10.2936 0.3000 1191.7029
98.0000 -19.1016 -19.0679 -15.0213 -11.9633 -10.4449 0.3000 1189.4095
99.0000 -19.1356 -19.0289 -15.0143 -11.9584 -10.3780 0.3000 1187.5018
100.0000 -19.1095 -19.0565 -14.9916 -11.8626 -10.2021 0.3000 1185.7659
101.0000 -19.1538 -19.0591 -14.8339 -11.7516 -10.2399 0.3000 1183.8962
102.0000 -19.1454 -19.0772 -14.8163 -11.6915 -10.4844 0.3000 1181.4808
103.0000 -19.1455 -19.0939 -14.6956 -11.6081 -10.5049 0.3000 1179.6320
104.0000 -19.1293 -19.1010 -14.8126 -11.5215 -10.4908 0.3000 1178.6593
105.0000 -19.1082 -19.0726 -14.8528 -11.5120 -10.4742 0.3000 1178.4742
106.0000 -19.0889 -19.0614 -14.8933 -11.5494 -10.5082 0.3000 1178.1117
107.0000 -19.0723 -19.0643 -14.8063 -11.6227 -10.4980 0.3000 1177.3527
108.0000 -19.0760 -19.0408 -14.7041 -11.6097 -10.4597 0.3000 1176.6833
109.0000 -19.0603 -19.0393 -14.7119 -11.5789 -10.5690 0.3000 1176.4780
110.0000 -19.0489 -19.0268 -14.6920 -11.5689 -10.7466 0.3000 1176.2037
111.0000 -19.0392 -19.0042 -14.6696 -11.5341 -10.9002 0.3000 1175.9013
112.0000 -18.9937 -18.9872 -14.6977 -11.4892 -10.9514 0.3000 1175.8696
113.0000 -18.9947 -18.9569 -14.7586 -11.5358 -10.9981 0.3000 1175.6543
114.0000 -18.9541 -18.9339 -14.8252 -11.5369 -11.0082 0.3000 1175.6672
115.0000 -18.9412 -18.9307 -14.8891 -11.4894 -11.0203 0.3000 1175.3461
116.0000 -18.9534 -18.9348 -14.9097 -11.5054 -11.1034 0.3000 1174.8728
117.0000 -18.9449 -18.9262 -14.8189 -11.5681 -11.2130 0.3000 1174.5132
118.0000 -18.9402 -18.9180 -14.6826 -11.8668 -11.2321 0.3000 1174.0778
119.0000 -18.9373 -18.8832 -14.7618 -11.9075 -11.2241 0.3000 1173.3247
120.0000 -18.9407 -18.8888 -14.7727 -11.7400 -11.2086 0.3000 1172.3296
121.0000 -18.9282 -18.8908 -14.8114 -11.7895 -11.2309 0.3000 1171.9056
122.0000 -18.9674 -18.8912 -14.6425 -11.8580 -11.2453 0.3000 1170.6873
123.0000 -18.9351 -18.9321 -14.6903 -11.7448 -11.2667 0.3000 1169.5515
124.0000 -18.9630 -18.9280 -14.7085 -11.6974 -11.2489 0.3000 1168.7851
125.0000 -18.9642 -18.9535 -14.6816 -11.7451 -11.2148 0.3000 1167.8931
126.0000 -18.9471 -18.9336 -14.7658 -11.8221 -11.2090 0.3000 1167.9476
127.0000 -18.9058 -18.8950 -14.8886 -11.8033 -11.2352 0.3000 1168.3596
128.0000 -18.8932 -18.8830 -14.8382 -11.7597 -11.2398 0.3000 1168.2995
129.0000 -18.8980 -18.8882 -14.7957 -11.7875 -11.2422 0.3000 1168.0987
