# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -89.1491 -14.9084 -6.2759 -3.9871 -3.1196 0.3000 810.3743
2.0000 -85.5052 -15.0362 -6.7711 -4.3109 -3.4528 0.3000 879.0409
3.0000 -82.2158 -15.3762 -7.3205 -4.7206 -3.8428 0.3000 946.1325
4.0000 -77.0417 -16.4310 -8.1256 -5.4403 -4.4327 0.3000 1034.2578
5.0000 -74.6383 -16.9125 -8.6687 -5.9581 -4.8703 0.3000 1097.6806
6.0000 -57.8947 -20.1107 -15.2946 -10.6072 -8.4399 0.3000 1390.5317
7.0000 -53.6221 -29.8360 -15.4673 -10.7477 -8.9027 0.3000 1372.0392
8.0000 -50.0858 -22.2983 -10.7454 -8.3471 -6.0788 0.3000 958.2527
9.0000 -44.7658 -31.6415 -11.4050 -9.4735 -8.4436 0.3000 1102.9613
10.0000 -39.6227 -25.0443 -12.0156 -9.6085 -7.9471 0.3000 1122.0168
11.0000 -38.0100 -17.9440 -12.2459 -9.7136 -7.4289 0.3000 1138.2875
12.0000 -34.6326 -31.7558 -14.6187 -9.1149 -7.8703 0.3000 1028.2655
13.0000 -33.4380 -30.6355 -14.1671 -8.8472 -7.6946 0.3000 1049.9396
14.0000 -32.7327 -29.8680 -14.0868 -8.8818 -7.6469 0.3000 1065.2104
15.0000 -31.7829 -29.3050 -14.1751 -8.7208 -7.6680 0.3000 1066.0458
16.0000 -30.7297 -28.7817 -14.2287 -8.5216 -7.7650 0.3000 1065.7285
17.0000 -29.8323 -28.4553 -14.3773 -8.4569 -7.8148 0.3000 1066.2105
18.0000 -29.4270 -28.2805 -14.5268 -8.3928 -7.7995 0.3000 1066.2761
19.0000 -28.0157 -26.5762 -15.4343 -8.2507 -7.8325 0.3000 1065.1915
20.0000 -27.7901 -26.0531 -15.5865 -8.0395 -7.8549 0.3000 1049.2007
21.0000 -27.2679 -20.6794 -13.1816 -8.9992 -7.5399 0.3000 1103.7753
22.0000 -25.5730 -19.3621 -15.4053 -7.9173 -7.6821 0.3000 1097.5321
23.0000 -24.6947 -19.8316 -15.4675 -8.0457 -7.9209 0.3000 1084.4274
24.0000 -24.0406 -20.7483 -15.1392 -9.6294 -8.6594 0.3000 1072.9230
25.0000 -23.0915 -19.7730 -13.9389 -11.8893 -8.4251 0.3000 1076.3888
26.0000 -22.7859 -19.7476 -13.9409 -11.3877 -8.2282 0.3000 1081.6018
27.0000 -22.5081 -19.8723 -14.0250 -10.7960 -8.1882 0.3000 1089.9984
28.0000 -22.2566 -19.9359 -14.0935 -11.0215 -8.1527 0.3000 1093.2523
29.0000 -21.9106 -20.0592 -14.1759 -11.5223 -8.1904 0.3000 1091.3709
30.0000 -21.5632 -20.1177 -14.2062 -12.1071 -8.1517 0.3000 1101.7814
31.0000 -20.8861 -20.3275 -14.7781 -12.7123 -8.2466 0.3000 1124.0085
32.0000 -20.6331 -20.1357 -14.5764 -12.9682 -8.3159 0.3000 1118.2959
33.0000 -20.4956 -20.0672 -14.5223 -12.9930 -8.3240 0.3000 1119.5446
34.0000 -20.3416 -20.0083 -14.5974 -13.0811 -8.3854 0.3000 1121.8925
35.0000 -19.9639 -19.8851 -14.7086 -13.1582 -8.5338 0.3000 1120.9126
36.0000 -19.8652 -19.6550 -14.9571 -13.2694 -8.6527 0.3000 1119.5193
37.0000 -19.6835 -19.5030 -15.2921 -13.2950 -8.7950 0.3000 1118.0993
38.0000 -19.5670 -19.4709 -15.3573 -13.2338 -8.8781 0.3000 1113.6877
39.0000 -19.4383 -19.3747 -15.1618 -13.0290 -8.8196 0.3000 1107.3488
40.0000 -19.3292 -19.2442 -14.8198 -12.6368 -8.7207 0.3000 1098.6832
41.0000 -19.2779 -19.0380 -14.9324 -12.7371 -8.7592 0.3000 1091.4974
42.0000 -19.1939 -19.1370 -15.2667 -12.8116 -9.1844 0.3000 1091.2847
43.0000 -19.1437 -19.0883 -15.2060 -12.7422 -9.0292 0.3000 1089.1772
44.0000 -19.1596 -19.0761 -15.0136 -12.4384 -8.8784 0.3000 1083.2179
45.0000 -19.1279 -19.0715 -15.0789 -12.5268 -8.8699 0.3000 1084.4245
46.0000 -19.0533 -19.0150 -15.1759 -12.6490 -8.9382 0.3000 1088.6607
47.0000 -18.9986 -18.9969 -15.2840 -12.7411 -9.0058 0.3000 1091.6800
48.0000 -18.9589 -18.9548 -15.2709 -12.9080 -9.0714 0.3000 1093.9814
49.0000 -19.0074 -18.9515 -15.2176 -12.8341 -9.0178 0.3000 1088.8762
50.0000 -19.0117 -18.9374 -15.1893 -12.7393 -8.9692 0.3000 1086.0300
51.0000 -18.8990 -18.8744 -15.3464 -13.0341 -9.0471 0.3000 1092.4649
52.0000 -18.8966 -18.8893 -15.3259 -12.9468 -9.0624 0.3000 1091.2888
53.0000 -18.9075 -18.8871 -15.2614 -12.8328 -9.0321 0.3000 1089.7439
54.0000 -18.9053 -18.8785 -15.2479 -12.8508 -9.0447 0.3000 1089.1754
55.0000 -18.8998 -18.8948 -15.3474 -13.0269 -9.1039 0.3000 1089.1059
56.0000 -18.9034 -18.8970 -15.3433 -13.0161 -9.1016 0.3000 1088.6734
57.0000 -18.9019 -18.8996 -15.3048 -12.9609 -9.0838 0.3000 1088.0414
58.0000 -18.9098 -18.9004 -15.2708 -12.8847 -9.0835 0.3000 1087.4126
59.0000 -18.9005 -18.8765 -15.3223 -12.8905 -9.1166 0.3000 1087.5308
60.0000 -18.8769 -18.8572 -15.3229 -12.9939 -9.1617 0.3000 1087.9052
61.0000 -18.8816 -18.8535 -15.2970 -13.0371 -9.1073 0.3000 1087.3685
62.0000 -18.8761 -18.8455 -15.3222 -13.0448 -9.1261 0.3000 1087.1290
63.0000 -18.8792 -18.8278 -15.2959 -12.9885 -9.1466 0.3000 1086.6507
64.0000 -18.8722 -18.8342 -15.3077 -12.9688 -9.1498 0.3000 1086.3271
65.0000 -18.8726 -18.8577 -15.3270 -12.9976 -9.1612 0.3000 1085.7201
66.0000 -18.8773 -18.8597 -15.3255 -12.9820 -9.1550 0.3000 1085.2298
67.0000 -18.8745 -18.8561 -15.2936 -12.9035 -9.1824 0.3000 1085.0922
68.0000 -18.8792 -18.8736 -15.3964 -12.9267 -9.1926 0.3000 1084.4208
69.0000 -18.8891 -18.8709 -15.4358 -12.9539 -9.2134 0.3000 1083.5772
70.0000 -18.8852 -18.8543 -15.4330 -12.9611 -9.2616 0.3000 1082.9278
71.0000 -18.8814 -18.8519 -15.4004 -12.9352 -9.2197 0.3000 1082.4602
72.0000 -18.8757 -18.8509 -15.4520 -12.9414 -9.2327 0.3000 1081.7379
73.0000 -18.8869 -18.8714 -15.4456 -12.9654 -9.2248 0.3000 1080.9174
74.0000 -18.8920 -18.8782 -15.4586 -13.0196 -9.2093 0.3000 1080.1738
75.0000 -18.8938 -18.8546 -15.4577 -12.9693 -9.1833 0.3000 1079.5555
76.0000 -18.8883 -18.8343 -15.4895 -12.9356 -9.1965 0.3000 1079.4485
77.0000 -18.8777 -18.8304 -15.5024 -12.9458 -9.1681 0.3000 1079.2510
78.0000 -18.8735 -18.8361 -15.5652 -12.8910 -9.1319 0.3000 1078.9888
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.053
# penalization: 3.0
# initial densities: [0. 0. 0. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 2000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
