# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -5.6617 -3.8682 -3.1122 -2.7345 -2.4089 0.7500 593.0130
2.0000 -7.0954 -3.5331 -2.8491 -2.7118 -2.2203 0.7028 668.3070
3.0000 -8.5258 -3.1751 -2.7046 -2.5676 -2.0183 0.6624 736.0282
4.0000 -9.8010 -2.8858 -2.8029 -2.3567 -2.2773 0.6261 815.9217
5.0000 -10.8853 -3.0710 -2.6489 -2.4769 -2.1748 0.5935 900.3321
6.0000 -11.7856 -3.5100 -2.6360 -2.4540 -2.2516 0.5642 992.9825
7.0000 -12.5624 -4.0503 -2.9175 -2.7497 -2.6434 0.5377 1090.7113
8.0000 -13.3063 -4.7285 -3.4144 -3.1356 -3.1349 0.5140 1199.9288
9.0000 -13.9207 -5.5912 -4.1024 -3.7255 -3.7249 0.4926 1301.2459
10.0000 -14.4084 -6.5831 -5.0169 -4.2542 -4.1944 0.4733 1391.6693
11.0000 -14.9505 -8.0106 -6.4174 -5.2554 -4.6726 0.4531 1475.2033
12.0000 -15.4172 -9.2817 -7.8638 -6.2305 -5.3137 0.4378 1529.3941
13.0000 -15.9445 -10.5047 -9.0434 -7.4272 -6.0299 0.4240 1579.0935
14.0000 -16.4551 -11.6108 -10.0292 -8.5323 -6.7664 0.4116 1646.3169
15.0000 -16.8545 -12.4770 -11.0191 -9.7425 -7.3921 0.4004 1714.1348
16.0000 -17.1311 -13.3919 -12.0017 -10.7233 -7.8557 0.3904 1784.7544
17.0000 -17.4243 -14.1422 -12.8236 -11.5351 -8.4666 0.3813 1845.1562
18.0000 -17.7341 -15.0428 -13.8653 -12.1678 -9.3453 0.3699 1927.1532
19.0000 -18.8994 -17.5574 -16.2284 -13.1684 -12.4199 0.3484 2065.2500
20.0000 -19.0959 -17.8635 -16.6953 -13.7147 -12.9508 0.3419 2089.6715
21.0000 -19.2866 -18.1511 -17.2257 -13.8816 -13.3807 0.3363 2099.1550
22.0000 -22.1880 -19.6126 -18.1072 -16.5451 -16.3916 0.3222 2111.4120
23.0000 -22.7364 -20.5146 -18.9758 -17.4448 -16.1000 0.3159 2075.0741
24.0000 -23.0587 -21.0826 -19.4300 -17.4226 -14.6027 0.3125 2018.5706
25.0000 -23.1155 -21.2575 -19.6715 -17.3200 -14.6923 0.3101 1969.9599
26.0000 -23.9986 -20.7097 -19.6491 -18.0162 -15.1700 0.3082 1909.3171
27.0000 -23.8739 -20.7710 -19.5329 -18.2168 -15.6191 0.3074 1880.4848
28.0000 -23.7200 -20.7936 -19.5357 -18.5892 -15.2302 0.3057 1856.0071
29.0000 -23.3270 -20.6467 -19.6065 -18.3548 -15.2149 0.3050 1851.4850
30.0000 -22.5199 -20.4499 -19.8035 -18.2444 -15.2985 0.3035 1849.3438
31.0000 -22.1055 -20.2679 -19.7881 -18.0619 -15.3087 0.3027 1848.9163
32.0000 -21.8230 -20.1245 -19.9372 -17.9731 -15.3754 0.3023 1851.8450
33.0000 -21.1851 -20.0552 -20.0259 -17.1869 -15.3999 0.3015 1860.0766
34.0000 -20.9010 -20.4356 -19.5141 -17.2337 -15.3531 0.3012 1856.8870
