# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -18.4782 -12.7271 -10.2385 -9.0869 -7.9283 0.4800 2159.3674
2.0000 -18.1434 -10.0442 -8.0883 -7.5297 -6.2646 0.4620 2206.0634
3.0000 -78.0034 -52.1256 28.7240 30.6341 32.4011 0.3000 2245.6764
4.0000 -74.2738 -41.1404 25.2176 26.8142 27.2913 0.3000 2005.6603
5.0000 -60.9882 -31.0248 21.7472 21.8354 24.1526 0.3000 1839.8295
6.0000 -52.5602 -28.0020 23.0622 23.3814 23.9880 0.3000 1791.7915
7.0000 -48.7689 -26.6649 25.8372 28.9222 42.6280 0.3000 1904.4584
8.0000 -42.7187 -24.3434 20.2388 26.7778 37.1593 0.3000 1864.0835
9.0000 -39.9210 29.2449 32.0569 46.0349 60.4545 0.3000 1968.4818
10.0000 -39.9271 29.6612 32.3611 47.5062 61.3534 0.3000 1967.7224
11.0000 -39.9273 29.6665 32.3639 47.5200 61.3625 0.3000 1967.7144
12.0000 -38.6703 36.9398 49.0945 68.7467 77.6507 0.2996 1958.8116
13.0000 -36.3668 45.3770 56.7871 82.9454 112.5829 0.2998 2022.3792
14.0000 -34.2394 39.9622 64.8305 100.4743 113.6003 0.2998 2086.9631
15.0000 46.7301 51.2454 55.5974 121.5641 150.0517 0.3006 2259.7135
16.0000 51.1822 69.0432 110.7329 135.3682 163.9594 0.2975 2257.9235
17.0000 63.3558 81.4416 108.8166 131.5909 157.6327 0.2976 2234.0472
18.0000 66.4296 78.6895 105.8519 128.0646 150.4436 0.2976 2210.9243
19.0000 56.7350 63.5801 86.3095 116.2895 155.0730 0.2977 2135.6458
20.0000 50.8911 55.1718 84.7173 101.7093 122.8065 0.2978 2025.5603
21.0000 -64.6206 -28.2346 -17.9372 23.5289 28.2225 0.2990 1573.8779
22.0000 -57.0425 -25.2398 -17.0679 17.2103 22.2065 0.2993 1446.5439
23.0000 -44.4096 -22.4767 -15.5610 14.5416 16.0198 0.2997 1417.4588
24.0000 -35.8065 -21.3746 -13.9445 -13.1347 -10.2745 0.3000 1399.4650
25.0000 -31.5178 -20.0143 -12.7160 -11.3660 -9.9643 0.3000 1373.5409
26.0000 -29.7305 -19.4525 -12.5672 -11.0555 -10.0208 0.3000 1384.4195
27.0000 -26.8359 -18.5659 -12.4018 -11.1311 -10.2263 0.3000 1444.3691
28.0000 -25.1387 -18.0985 -12.4842 -11.2302 -10.1106 0.3000 1491.4841
29.0000 -23.9077 -17.6160 -12.5341 -11.3835 -10.2932 0.3000 1550.4691
30.0000 -22.7981 -17.1691 -12.6461 -11.4936 -10.4085 0.3000 1620.9142
31.0000 -21.4091 -16.5954 -12.7456 -11.6531 -10.8873 0.3000 1729.0554
32.0000 -20.5904 -16.4024 -12.7973 -11.3725 -11.1254 0.3000 1845.5638
33.0000 -18.7183 -15.5836 -13.2551 -12.7909 -11.7937 0.3000 1892.4077
34.0000 -18.1373 -15.3517 -13.3807 -12.7697 -11.4972 0.3000 1896.3745
35.0000 -17.6576 -15.1866 -13.4625 -12.9261 -11.1263 0.3000 1863.7522
36.0000 -16.9542 -14.8856 -13.9364 -12.9015 -10.8519 0.3000 1845.1567
37.0000 -15.9771 -14.5724 -14.1893 -13.0141 -10.7811 0.3000 1849.0554
38.0000 -15.5990 -14.4775 -14.0787 -13.0845 -10.8156 0.3000 1878.5265
39.0000 -15.3842 -14.4632 -14.0651 -12.9935 -10.7423 0.3000 1895.2307
40.0000 -15.1636 -14.3533 -14.1819 -12.9775 -10.6406 0.3000 1893.0666
41.0000 -14.9489 -14.2851 -14.1596 -12.8576 -10.8447 0.3000 1867.6153
42.0000 -14.7621 -14.3768 -13.5479 -12.8625 -11.2972 0.3000 1902.7698
43.0000 -14.6520 -14.2329 -13.4749 -12.8819 -11.0762 0.3000 1906.4156
44.0000 -14.5135 -14.1278 -13.5084 -12.8974 -10.9583 0.3000 1910.9872
45.0000 -14.3617 -14.0180 -13.9075 -12.6124 -10.7086 0.3000 1891.3204
46.0000 -14.2185 -14.0508 -13.6722 -12.7071 -10.4883 0.3000 1875.7955
47.0000 -14.1949 -13.9642 -13.7158 -12.6782 -10.5852 0.3000 1883.4118
48.0000 -14.1963 -13.7481 -13.7237 -12.6610 -10.5887 0.3000 1902.1345
49.0000 -14.1094 -13.8706 -13.5141 -12.6440 -10.6119 0.3000 1888.0408
50.0000 -14.0579 -13.7647 -13.4998 -12.6788 -10.6841 0.3000 1870.9213
51.0000 -14.0268 -13.6055 -13.4529 -12.7038 -10.7569 0.3000 1869.5009
52.0000 -13.9485 -13.6052 -13.4335 -12.7428 -10.5360 0.3000 1860.9697
53.0000 -13.8595 -13.5357 -13.4833 -12.6714 -10.5241 0.3000 1859.4007
54.0000 -13.8285 -13.5020 -13.3847 -12.7034 -10.4938 0.3000 1876.8346
55.0000 -13.7326 -13.4989 -13.3163 -12.7301 -10.6654 0.3000 1882.2235
56.0000 -13.6743 -13.4857 -13.2882 -12.7403 -10.8259 0.3000 1883.4519
57.0000 -13.6162 -13.4490 -13.2581 -12.7437 -10.8086 0.3000 1870.3404
58.0000 -13.5806 -13.4006 -13.1922 -12.7632 -10.8022 0.3000 1871.9697
59.0000 -13.5393 -13.3881 -13.1081 -12.6956 -10.8312 0.3000 1872.7616
60.0000 -13.4914 -13.3816 -13.0215 -12.7204 -10.8401 0.3000 1870.9738
61.0000 -13.4410 -13.2999 -13.0757 -12.7113 -10.9684 0.3000 1872.4500
62.0000 -13.3747 -13.2436 -13.0830 -12.7217 -10.9291 0.3000 1874.7040
63.0000 -13.3164 -13.1955 -13.1068 -12.7279 -10.8527 0.3000 1876.0288
64.0000 -13.2690 -13.1879 -13.0932 -12.7486 -10.8036 0.3000 1873.3292
65.0000 -13.2241 -13.2071 -13.0138 -12.7687 -10.9357 0.3000 1873.1947
66.0000 -13.2254 -13.1348 -13.0629 -12.6991 -11.1303 0.3000 1883.3667
67.0000 -13.1874 -13.1270 -13.0222 -12.6936 -10.9890 0.3000 1880.9932
68.0000 -13.1632 -13.0717 -13.0101 -12.6989 -11.0150 0.3000 1886.0426
69.0000 -13.1299 -13.0624 -13.0088 -12.7486 -11.0450 0.3000 1883.8140
