# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -18.1959 -12.7795 -10.2829 -9.0929 -7.9633 0.4800 2164.1806
2.0000 -17.5491 -10.1412 -8.1680 -7.5460 -6.3205 0.4620 2214.0545
3.0000 -21.8704 -18.4582 -11.9036 12.2268 13.0012 0.3870 2330.3700
4.0000 -21.0607 -18.2360 -11.5889 11.9003 12.7613 0.3783 2416.2380
5.0000 -20.1232 -17.7230 -11.6297 10.8029 11.2164 0.3704 2468.3642
6.0000 -19.4442 -17.3803 -11.6940 -11.0183 -8.7667 0.3634 2540.0776
7.0000 -19.5978 -16.7251 -11.6823 11.0447 12.0522 0.3571 2673.5155
8.0000 -19.0367 -16.3502 -11.7699 -11.3155 10.4933 0.3514 2709.5741
9.0000 -18.7189 -16.2900 -12.0045 -11.1470 10.9157 0.3463 2854.6705
10.0000 620.0577 639.2672 641.0606 657.1285 837.1753 0.3067 8762.5523
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.106
# penalization: 3.0
# initial densities: 0.5
# FEA MODEL DATA 
# material: {'Ex': 2000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
