# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.2103 0.2215 0.2544 0.3184 0.3651 0.5000 13.9934
2.0000 0.2218 0.2725 0.3076 0.3578 0.3981 0.5000 15.0149
3.0000 0.2161 0.2642 0.2996 0.3509 0.3898 0.5000 14.8711
4.0000 0.2079 0.2528 0.2881 0.3411 0.3784 0.5000 14.6607
5.0000 0.2068 0.2512 0.2865 0.3397 0.3767 0.5000 14.6298
6.0000 0.2062 0.2504 0.2857 0.3390 0.3759 0.5000 14.6132
7.0000 -0.2362 -0.2117 0.2260 0.2884 0.3252 0.5000 13.4779
8.0000 0.2228 0.2783 0.3098 0.3629 0.4050 0.5000 15.1022
9.0000 0.1929 0.2333 0.2646 0.3235 0.3614 0.5000 14.3052
10.0000 0.1877 0.2258 0.2570 0.3171 0.3546 0.5000 14.1664
11.0000 -0.2234 -0.2144 0.2189 0.2829 0.3234 0.5000 13.4524
12.0000 0.2147 0.2669 0.2980 0.3543 0.3968 0.5000 14.7356
13.0000 -0.2277 -0.2169 0.2150 0.2792 0.3211 0.5000 13.4388
14.0000 0.2101 0.2604 0.2910 0.3497 0.3924 0.5000 14.4893
15.0000 -0.2320 -0.2199 0.2120 0.2762 0.3200 0.5000 13.4220
16.0000 0.2072 0.2553 0.2862 0.3474 0.3905 0.5000 14.3194
17.0000 -0.2314 -0.2197 0.2117 0.2762 0.3201 0.5000 13.4169
18.0000 0.2069 0.2541 0.2855 0.3485 0.3928 0.5000 14.2258
19.0000 -0.2287 -0.2181 0.2125 0.2773 0.3205 0.5000 13.4165
20.0000 0.2076 0.2547 0.2869 0.3508 0.3964 0.5000 14.1714
21.0000 -0.2254 -0.2162 0.2136 0.2786 0.3211 0.5000 13.4181
22.0000 0.2085 0.2561 0.2891 0.3536 0.4008 0.5000 14.1360
23.0000 -0.1884 0.2119 0.2436 0.3098 0.3482 0.5000 13.7116
24.0000 0.2348 0.2941 0.3294 0.3874 0.4370 0.5000 14.7333
25.0000 0.2217 0.2736 0.3081 0.3671 0.4119 0.5000 14.5144
26.0000 0.2055 0.2489 0.2825 0.3437 0.3834 0.5000 14.2388
27.0000 0.1890 0.2253 0.2578 0.3216 0.3580 0.5000 13.9573
28.0000 0.1855 0.2205 0.2528 0.3170 0.3532 0.5000 13.8978
29.0000 -0.2339 -0.2240 0.2105 0.2755 0.3180 0.5000 13.3659
30.0000 0.2048 0.2517 0.2844 0.3450 0.3879 0.5000 14.1211
