# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -1.6872 -1.3370 -1.2878 1.3370 1.6872 0.5000 635.8680
2.0000 94.1608 106.1160 111.6660 125.2087 128.3063 0.5000 6593.3524
3.0000 -1.4052 -1.0116 1.0176 1.1808 1.4870 0.5000 517.0088
4.0000 -40.7510 38.1041 40.0587 48.4755 50.9188 0.5000 1220.0673
5.0000 -1.1107 -0.8050 0.7875 0.8955 1.1693 0.5000 454.1794
6.0000 -3.1035 2.7291 3.1838 3.7793 4.4595 0.5000 358.3725
7.0000 -1.0469 1.0171 1.1531 1.1705 1.2877 0.5000 284.1922
8.0000 -2.6964 -2.6231 -2.3557 2.4262 2.6216 0.5000 382.6977
9.0000 -0.8202 -0.6728 0.4921 0.4926 0.5981 0.5000 232.1449
10.0000 -0.8299 -0.6298 -0.4558 0.4811 0.6206 0.5000 201.0167
11.0000 -0.8013 -0.6038 0.4624 0.5374 0.7750 0.5000 186.8940
12.0000 -0.8108 -0.6090 -0.5069 0.6072 0.8822 0.5000 178.6931
13.0000 -0.8419 -0.6205 0.5681 0.6416 0.9460 0.5000 172.8522
14.0000 -0.8732 -0.6207 0.5787 0.6656 0.9953 0.5000 168.7337
15.0000 -0.8931 -0.6153 0.5808 0.6837 1.0390 0.5000 165.8694
16.0000 -0.9022 -0.6037 0.5750 0.6997 1.0736 0.5000 163.6504
17.0000 -0.9045 -0.5822 0.5639 0.7170 1.1051 0.5000 161.6462
18.0000 -0.9046 -0.5664 0.5535 0.7321 1.1265 0.5000 160.0948
19.0000 -0.9146 -0.5570 0.5468 0.7520 1.1480 0.5000 158.3570
20.0000 -0.9203 -0.5688 -0.5462 0.7696 1.1557 0.5000 156.0875
21.0000 -0.9181 -0.5712 -0.5396 0.7784 1.1461 0.5000 153.9541
22.0000 -0.9101 -0.5647 -0.5337 0.7822 1.1296 0.5000 152.4360
23.0000 -0.8986 -0.5618 -0.5327 0.7868 1.1109 0.5000 151.0894
24.0000 -0.8843 -0.5596 -0.5352 0.7895 1.0942 0.5000 149.9226
25.0000 -0.8723 -0.5602 -0.5386 0.7927 1.0822 0.5000 149.1644
26.0000 -0.8571 -0.5684 -0.5405 0.7983 1.0677 0.5000 148.3522
27.0000 -0.8459 -0.5869 -0.5420 0.8023 1.0540 0.5000 147.7763
28.0000 -0.8360 -0.6149 0.5541 0.8064 1.0451 0.5000 147.3451
29.0000 -0.8247 -0.6584 0.5862 0.8107 1.0392 0.5000 146.9260
30.0000 -0.8110 -0.7120 0.6218 0.8134 1.0329 0.5000 146.4916
31.0000 -0.8017 -0.7693 0.6696 0.8131 1.0260 0.5000 145.9790
32.0000 -0.8212 -0.7784 0.7246 0.8107 1.0217 0.5000 145.5676
33.0000 -0.8489 -0.7716 0.7853 0.8080 1.0188 0.5000 145.2091
34.0000 -0.8798 -0.7663 0.8062 0.8403 1.0177 0.5000 144.9762
35.0000 -0.9124 -0.7576 0.8034 0.8719 1.0164 0.5000 144.5474
36.0000 -0.9191 -0.7512 -0.6849 0.8017 1.0150 0.5000 144.2808
37.0000 -0.9212 -0.7484 -0.6844 0.8009 1.0144 0.5000 144.1309
38.0000 -0.9241 -0.7492 -0.6843 0.8004 1.0141 0.5000 144.0636
39.0000 -0.9298 -0.7515 -0.6818 0.7999 1.0143 0.5000 143.9599
40.0000 -0.9385 -0.7568 -0.6790 0.8000 1.0148 0.5000 143.9112
41.0000 -0.9452 -0.7609 -0.6776 0.7990 1.0139 0.5000 143.8246
42.0000 -0.9496 -0.7647 -0.6780 0.7981 1.0129 0.5000 143.8031
43.0000 -0.9508 -0.7676 -0.6783 0.7969 1.0116 0.5000 143.7631
44.0000 -0.9515 -0.7723 -0.6800 0.7943 1.0086 0.5000 143.7431
45.0000 -0.9506 -0.7770 -0.6807 0.7916 1.0060 0.5000 143.6526
46.0000 -0.9496 -0.7779 -0.6809 0.7903 1.0047 0.5000 143.6435
# OPTIMIZATION PARAMETERS 
# nelx: 80
# nely: 40
# max buckling: 1.0
# penalization: 3.0
# initial densities: 0.5
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([3401], dtype=int64)}
# bc: Left Clamped
# 
