# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.4850 0.3698 0.4029 0.6926 0.9419 0.3000 22.7824
2.0000 0.3366 0.4236 0.4674 0.7832 1.0784 0.3000 24.5787
3.0000 0.3344 0.4209 0.4644 0.7784 1.0719 0.3000 24.5160
4.0000 0.3316 0.4174 0.4605 0.7720 1.0632 0.3000 24.4335
5.0000 -0.3399 0.3670 0.4013 0.6693 0.9276 0.3000 23.2890
6.0000 0.4035 0.5059 0.5571 0.9183 1.2768 0.3000 27.3841
7.0000 0.3289 0.4109 0.4493 0.7381 1.0158 0.3000 24.8985
8.0000 0.3204 0.4000 0.4370 0.7175 0.9858 0.3000 24.6119
9.0000 0.3139 0.3917 0.4273 0.7017 0.9626 0.3000 24.3889
10.0000 -0.5106 -0.4317 0.2857 0.4783 0.6554 0.3000 21.2974
11.0000 0.3271 0.4100 0.4453 0.7331 1.0050 0.3000 24.5548
12.0000 -0.3423 0.3173 0.3417 0.5636 0.7458 0.3000 22.4643
13.0000 -0.3049 0.3372 0.3628 0.5945 0.7860 0.3000 22.8798
14.0000 0.3468 0.3727 0.4227 0.6096 0.7849 0.3000 23.1182
15.0000 0.3247 0.3478 0.3851 0.5686 0.7286 0.3000 22.6503
16.0000 0.3191 0.3413 0.3713 0.5578 0.7142 0.3000 22.5246
17.0000 0.3183 0.3404 0.3659 0.5564 0.7124 0.3000 22.5081
18.0000 -0.5677 -0.4577 0.4320 0.5333 0.6167 0.3000 21.1709
19.0000 -0.4184 0.3672 0.6033 0.6303 0.7810 0.3000 22.8234
20.0000 0.3389 0.4450 0.5342 0.5536 0.7093 0.3000 22.3343
21.0000 -0.3620 0.3750 0.4620 0.5260 0.6708 0.3000 22.0851
22.0000 -0.5139 -0.4310 0.3447 0.4054 0.4897 0.3000 21.0603
23.0000 -0.9893 0.3766 0.6163 0.7177 0.8011 0.3000 22.9227
24.0000 0.4060 0.4951 0.5084 0.5368 0.6610 0.3000 22.1718
25.0000 -0.3469 0.3877 0.3955 0.4875 0.5920 0.3000 21.7210
26.0000 -0.3490 0.3690 0.3768 0.4825 0.5849 0.3000 21.6825
27.0000 -0.3471 0.3654 0.3736 0.4831 0.5850 0.3000 21.6916
28.0000 0.4732 0.4878 0.5212 0.5424 0.5441 0.3000 22.1182
29.0000 0.4655 0.4783 0.5135 0.5292 0.5344 0.3000 22.0679
30.0000 0.4635 0.4776 0.5107 0.5246 0.5324 0.3000 22.0478
31.0000 -0.4634 -0.4214 -0.4065 0.3949 0.4609 0.3000 21.0381
32.0000 -0.4076 -0.3756 -0.3189 0.4137 0.4831 0.3000 21.1728
33.0000 -0.3587 0.4507 0.5221 0.6592 1.0356 0.3000 22.8101
34.0000 -0.3728 0.3465 0.4358 0.4792 0.5977 0.3000 21.6277
35.0000 -0.3759 0.4160 0.4549 0.4605 0.7131 0.3000 21.3169
36.0000 -0.3681 0.4085 0.4213 0.4592 0.6182 0.3000 21.2716
37.0000 -0.3684 0.3991 0.4160 0.4588 0.5799 0.3000 21.2524
38.0000 -0.3641 0.3970 0.4158 0.4585 0.5773 0.3000 21.2626
39.0000 -0.3634 0.3961 0.4158 0.4587 0.5747 0.3000 21.2645
40.0000 -0.3634 0.3960 0.4158 0.4587 0.5746 0.3000 21.2646
41.0000 -0.3630 0.3952 0.4158 0.4588 0.5731 0.3000 21.2649
42.0000 -0.3624 0.3940 0.4157 0.4589 0.5717 0.3000 21.2648
43.0000 -0.3623 0.3940 0.4157 0.4589 0.5717 0.3000 21.2648
44.0000 -0.3616 0.3924 0.4156 0.4590 0.5705 0.3000 21.2640
45.0000 -0.3613 0.3916 0.4156 0.4590 0.5700 0.3000 21.2638
46.0000 -0.3556 0.3702 0.4158 0.4611 0.5506 0.3000 21.2558
47.0000 -0.3512 0.3695 0.4161 0.4610 0.5622 0.3000 21.2694
48.0000 -0.3508 0.3691 0.4161 0.4609 0.5608 0.3000 21.2700
49.0000 -0.3337 0.3395 0.4168 0.4625 0.4926 0.3000 21.3043
50.0000 -0.3142 -0.3114 0.4213 0.4406 0.4693 0.3000 21.4230
51.0000 -0.3020 -0.2976 0.3140 0.4240 0.4745 0.3000 21.5148
52.0000 -0.3014 -0.2970 0.3160 0.4242 0.4747 0.3000 21.5204
53.0000 0.4198 0.4397 0.5663 0.6182 0.7227 0.3000 24.3328
54.0000 0.4184 0.4375 0.5651 0.6159 0.7204 0.3000 24.3112
# OPTIMIZATION PARAMETERS 
# nelx: 40
# nely: 40
# max buckling: 6.467
# penalization: 1.484
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 2000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1639, 1721, 1803], dtype=int64)}
# bc: Left Clamped
# 
