# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.5826 -0.5824 0.5550 0.5824 0.5826 0.3000 35.4939
2.0000 -0.6235 -0.5978 0.5504 0.5978 0.6235 0.3000 21.8809
3.0000 -0.3474 -0.3333 -0.3308 0.3333 0.3474 0.3000 16.1705
4.0000 -0.3340 -0.2665 -0.1956 0.2665 0.3340 0.3000 13.0464
5.0000 -0.3281 -0.2478 -0.1641 0.2478 0.3281 0.3000 10.7756
6.0000 -0.3220 -0.2399 -0.1539 0.2399 0.3220 0.3000 9.3340
7.0000 -0.3175 -0.2369 0.1481 0.2369 0.3175 0.3000 8.4018
8.0000 -0.3139 -0.2363 0.1441 0.2363 0.3139 0.3000 7.7839
9.0000 -0.3125 -0.2361 0.1406 0.2361 0.3125 0.3000 7.3468
10.0000 -0.3118 -0.2357 -0.1381 0.2357 0.3118 0.3000 7.0378
11.0000 -0.3122 -0.2357 -0.1367 0.2357 0.3122 0.3000 6.8183
12.0000 -0.3128 -0.2357 -0.1358 0.2357 0.3128 0.3000 6.6366
13.0000 -0.3143 -0.2354 -0.1353 0.2354 0.3143 0.3000 6.4671
14.0000 -0.3155 -0.2351 -0.1349 0.2351 0.3155 0.3000 6.3763
15.0000 -0.3167 -0.2350 -0.1346 0.2350 0.3167 0.3000 6.2888
16.0000 -0.3188 -0.2351 -0.1345 0.2351 0.3188 0.3000 6.2109
17.0000 -0.3210 -0.2344 -0.1342 0.2344 0.3210 0.3000 6.1294
18.0000 -0.3226 -0.2338 -0.1339 0.2338 0.3226 0.3000 6.0652
19.0000 -0.3238 -0.2331 -0.1335 0.2331 0.3238 0.3000 6.0073
20.0000 -0.3246 -0.2329 -0.1333 0.2329 0.3246 0.3000 5.9677
21.0000 -0.3259 -0.2334 -0.1333 0.2334 0.3259 0.3000 5.9326
22.0000 -0.3280 -0.2340 -0.1334 0.2340 0.3280 0.3000 5.8925
23.0000 -0.3299 -0.2344 -0.1334 0.2344 0.3299 0.3000 5.8511
24.0000 -0.3320 -0.2349 -0.1334 0.2349 0.3320 0.3000 5.8101
25.0000 -0.3331 -0.2349 -0.1333 0.2349 0.3331 0.3000 5.7781
26.0000 -0.3341 -0.2349 -0.1331 0.2349 0.3341 0.3000 5.7482
27.0000 -0.3353 -0.2346 -0.1328 0.2346 0.3353 0.3000 5.7197
28.0000 -0.3377 -0.2343 -0.1325 0.2343 0.3377 0.3000 5.6823
29.0000 -0.3395 -0.2343 -0.1324 0.2343 0.3395 0.3000 5.6586
30.0000 -0.3415 -0.2344 -0.1324 0.2344 0.3415 0.3000 5.6337
31.0000 -0.3429 -0.2347 -0.1324 0.2347 0.3429 0.3000 5.6172
32.0000 -0.3454 -0.2353 -0.1326 0.2353 0.3454 0.3000 5.5887
33.0000 -0.3463 -0.2358 -0.1327 0.2358 0.3463 0.3000 5.5751
34.0000 -0.3473 -0.2362 -0.1328 0.2362 0.3473 0.3000 5.5623
35.0000 -0.3499 -0.2372 -0.1330 0.2372 0.3499 0.3000 5.5292
36.0000 -0.3528 -0.2381 -0.1333 0.2381 0.3528 0.3000 5.4981
37.0000 -0.3547 -0.2386 -0.1334 0.2386 0.3547 0.3000 5.4806
38.0000 -0.3567 -0.2389 -0.1335 0.2389 0.3567 0.3000 5.4599
39.0000 -0.3579 -0.2392 -0.1336 0.2392 0.3579 0.3000 5.4478
40.0000 -0.3606 -0.2398 -0.1338 0.2398 0.3606 0.3000 5.4243
41.0000 -0.3623 -0.2401 -0.1340 0.2401 0.3623 0.3000 5.4085
42.0000 -0.3647 -0.2404 -0.1341 0.2404 0.3647 0.3000 5.3877
43.0000 -0.3673 -0.2407 -0.1343 0.2407 0.3673 0.3000 5.3708
44.0000 -0.3711 -0.2412 -0.1346 0.2412 0.3711 0.3000 5.3462
45.0000 -0.3736 -0.2413 -0.1347 0.2413 0.3736 0.3000 5.3283
46.0000 -0.3763 -0.2414 -0.1349 0.2414 0.3763 0.3000 5.3138
47.0000 -0.3795 -0.2414 -0.1351 0.2414 0.3795 0.3000 5.2963
48.0000 -0.3822 -0.2415 -0.1353 0.2415 0.3822 0.3000 5.2827
49.0000 -0.3843 -0.2418 -0.1355 0.2418 0.3843 0.3000 5.2720
50.0000 -0.3866 -0.2424 -0.1357 0.2424 0.3866 0.3000 5.2577
# OPTIMIZATION PARAMETERS 
# nelx: 40
# nely: 40
# max buckling: 0.0
# penalization: 3.0
# initial densities: 0.3
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1639, 1721, 1803], dtype=int64)}
# bc: Left Clamped
# 
