# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.7060 0.9333 1.0565 1.9224 2.6623 0.3000 36.8854
2.0000 0.7390 0.9807 1.1167 2.0332 2.7837 0.3000 38.8030
3.0000 0.7325 0.9718 1.1071 2.0165 2.7610 0.3000 38.5694
4.0000 0.7276 0.9652 1.0999 2.0039 2.7432 0.3000 38.3993
5.0000 0.7213 0.9566 1.0905 1.9871 2.7204 0.3000 38.1632
6.0000 0.7068 0.9369 1.0686 1.9479 2.6686 0.3000 37.6154
7.0000 0.6972 0.9239 1.0543 1.9221 2.6345 0.3000 37.2429
8.0000 -1.2878 -0.7093 0.6457 1.1924 1.7969 0.3000 26.6052
9.0000 1.0152 1.3483 1.6016 2.9810 4.2981 0.3000 45.7526
10.0000 0.7996 1.0701 1.2639 2.3289 3.3711 0.3000 39.0180
11.0000 -0.8001 0.8413 0.9960 1.8261 2.6438 0.3000 33.8160
12.0000 1.2983 1.7742 2.0636 3.9648 5.5768 0.3000 47.3101
13.0000 0.8900 1.1936 1.4744 2.7351 3.8761 0.3000 38.2296
14.0000 0.6948 0.9031 1.1222 2.0688 2.9570 0.3000 33.4323
# OPTIMIZATION PARAMETERS 
# nelx: 40
# nely: 40
# max buckling: 6.467
# penalization: 3.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 2000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1639, 1721, 1803], dtype=int64)}
# bc: Left Clamped
# 
