# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -4.4104 -1.0161 -0.9388 -0.8619 -0.8114 0.3000 264.9966
2.0000 -4.5745 -0.9961 -0.6340 -0.5391 -0.5103 0.3000 233.5679
3.0000 -4.5697 -0.9791 -0.6034 -0.5141 -0.4806 0.3000 221.4279
4.0000 -7.0413 -1.8932 -0.9015 -0.7443 -0.7145 0.3000 202.4781
5.0000 -7.3017 -1.7294 -0.8359 -0.5764 -0.4953 0.3000 170.9982
6.0000 -8.7334 -1.5633 -0.8136 -0.5664 -0.4788 0.3000 156.6749
7.0000 -10.3400 -1.6891 -0.8266 -0.5743 -0.4724 0.3000 149.3191
8.0000 -12.1940 -1.8434 -0.8680 -0.6001 -0.4808 0.3000 143.4092
9.0000 -13.1191 -1.9088 -0.8879 -0.6077 -0.4859 0.3000 140.5568
10.0000 -13.4557 -1.9269 -0.8972 -0.6055 -0.4881 0.3000 139.2985
11.0000 -13.6498 -1.9321 -0.8989 -0.6013 -0.4889 0.3000 138.3079
12.0000 -13.7855 -1.9167 -0.8928 -0.5968 -0.4882 0.3000 137.7850
13.0000 -13.8467 -1.9171 -0.8903 -0.5949 -0.4880 0.3000 137.5552
14.0000 -13.8492 -1.9184 -0.8903 -0.5948 -0.4882 0.3000 137.5200
15.0000 -13.8538 -1.9204 -0.8901 -0.5947 -0.4884 0.3000 137.4716
16.0000 -13.8611 -1.9212 -0.8898 -0.5941 -0.4884 0.3000 137.4566
17.0000 -13.8718 -1.9222 -0.8893 -0.5934 -0.4884 0.3000 137.4386
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.0
# penalization: 1.484
# initial densities: 0.3
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
