# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -4.9152 -1.1277 -0.9695 -0.9408 -0.9018 0.3000 274.4568
2.0000 -4.7798 -1.0164 -0.7221 -0.7156 -0.6838 0.3000 230.0835
3.0000 -4.6067 -0.9858 -0.7171 -0.7019 -0.5849 0.3000 216.5548
4.0000 -6.4065 -1.5044 -0.7645 -0.7254 -0.6490 0.3000 193.0795
5.0000 -7.1562 -1.6695 -0.7988 -0.7278 -0.6312 0.3000 171.0933
6.0000 -8.6773 -1.6893 -0.8717 -0.7372 -0.6286 0.3000 157.6047
7.0000 -10.2219 -1.7958 -0.9210 -0.7294 -0.6365 0.3000 151.4512
8.0000 -11.7737 -1.9143 -0.9581 -0.7300 -0.6540 0.3000 146.1754
9.0000 -12.7199 -1.9670 -0.9679 -0.7308 -0.6648 0.3000 143.0911
10.0000 -13.0538 -1.9799 -0.9648 -0.7315 -0.6691 0.3000 141.7818
11.0000 -13.2823 -1.9775 -0.9593 -0.7320 -0.6720 0.3000 140.8951
12.0000 -13.4048 -1.9599 -0.9507 -0.7322 -0.6716 0.3000 140.4459
13.0000 -13.4931 -1.9497 -0.9436 -0.7324 -0.6699 0.3000 140.0226
14.0000 -13.5098 -1.9502 -0.9448 -0.7326 -0.6702 0.3000 139.9323
15.0000 -13.5200 -1.9493 -0.9457 -0.7327 -0.6704 0.3000 139.8653
16.0000 -13.5283 -1.9486 -0.9458 -0.7328 -0.6703 0.3000 139.8423
17.0000 -13.5417 -1.9477 -0.9453 -0.7328 -0.6701 0.3000 139.8262
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.0
# penalization: 1.484
# initial densities: 0.3
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 2000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
