# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -59.7482 -10.0009 -4.3163 -2.8317 -2.2562 0.3000 703.8544
2.0000 -29.8685 -11.4981 -6.4292 -3.6722 -3.2805 0.3000 777.1722
3.0000 -26.4820 -8.3242 -4.7074 -3.7421 -2.9770 0.3000 779.5800
4.0000 -24.2134 -8.3740 -4.7520 -3.8886 -3.4572 0.3000 806.8485
5.0000 -20.7813 -14.6513 -9.0687 -5.7884 -5.0903 0.3000 844.3075
6.0000 -18.5335 -13.6965 -8.5614 -4.8527 -4.5703 0.3000 823.4711
7.0000 -17.3600 -14.4079 -6.6087 -5.1765 -4.9781 0.3000 786.5035
8.0000 -17.0038 -12.7847 -6.7565 -4.7036 -4.6966 0.3000 788.8191
9.0000 -16.6073 -12.7082 -6.6873 -4.6576 -4.6104 0.3000 804.8558
10.0000 -16.2021 -12.3226 -6.7773 -4.4482 -4.3845 0.3000 819.0355
11.0000 -15.3810 -12.3089 -6.7244 -4.3909 -4.3297 0.3000 827.0548
12.0000 -14.4271 -12.5572 -6.5245 -5.8643 -4.2547 0.3000 926.2403
13.0000 -14.1351 -12.9115 -6.3725 -5.5011 -4.4241 0.3000 910.9811
14.0000 -14.0755 -12.7707 -5.6417 -4.7947 -4.6733 0.3000 823.4800
15.0000 -13.9527 -12.1340 -5.9653 -4.6427 -4.6365 0.3000 812.7122
16.0000 -13.7347 -12.2451 -6.0128 -4.5520 -4.5315 0.3000 819.3007
17.0000 -13.5444 -12.2473 -5.9690 -4.5158 -4.4671 0.3000 824.2908
18.0000 -13.3960 -12.3562 -5.9319 -4.5013 -4.4265 0.3000 824.1904
19.0000 -13.1419 -12.5188 -5.9309 -4.5644 -4.4306 0.3000 821.2370
20.0000 -12.9699 -12.6246 -6.1819 -4.5994 -4.2924 0.3000 815.1180
21.0000 -12.8633 -12.6667 -6.3821 -4.6555 -4.2505 0.3000 807.2869
22.0000 -13.1230 -12.6901 -8.3542 -5.0446 -4.3922 0.3000 785.8541
23.0000 -13.1082 -12.6822 -8.2679 -5.0419 -4.4019 0.3000 777.9777
24.0000 -13.1367 -12.8039 -8.1587 -5.0365 -4.4238 0.3000 773.8839
25.0000 -13.0146 -12.7670 -7.7330 -4.9830 -4.4289 0.3000 772.5291
26.0000 -12.7190 -12.5740 -7.3451 -4.9425 -4.4429 0.3000 774.9682
27.0000 -12.7074 -12.4158 -7.9518 -5.0751 -4.3327 0.3000 771.4333
28.0000 -12.6667 -12.4864 -7.9833 -5.0772 -4.3450 0.3000 770.7105
29.0000 -12.6441 -12.5351 -8.0967 -5.0704 -4.3474 0.3000 769.2948
30.0000 -12.6713 -12.4462 -8.2850 -5.0164 -4.3628 0.3000 767.9585
31.0000 -12.5809 -12.5421 -8.4376 -5.0410 -4.3664 0.3000 767.7767
32.0000 -12.5861 -12.5518 -8.5253 -5.0667 -4.3721 0.3000 767.3794
33.0000 -12.5939 -12.5514 -8.5711 -5.1014 -4.3636 0.3000 766.8242
34.0000 -12.5976 -12.5560 -8.6654 -5.1132 -4.3583 0.3000 766.4648
35.0000 -12.5834 -12.5285 -8.7650 -5.1097 -4.3447 0.3000 766.3149
36.0000 -12.5689 -12.5011 -9.0194 -5.1484 -4.2768 0.3000 766.2770
37.0000 -12.6140 -12.5858 -8.9868 -5.1946 -4.2744 0.3000 765.2737
38.0000 -12.6494 -12.5651 -9.0475 -5.2132 -4.1963 0.3000 764.6341
39.0000 -12.5855 -12.5478 -9.0983 -5.2030 -4.1926 0.3000 764.8734
40.0000 -12.5503 -12.5254 -9.1122 -5.1980 -4.2021 0.3000 764.9429
41.0000 -12.5875 -12.4962 -9.1225 -5.2109 -4.1821 0.3000 764.3872
42.0000 -12.5192 -12.4812 -9.2380 -5.2119 -4.1247 0.3000 764.6799
43.0000 -12.5499 -12.4815 -9.2062 -5.1930 -4.1271 0.3000 764.2144
44.0000 -12.5044 -12.4714 -9.2495 -5.1850 -4.1324 0.3000 764.3181
45.0000 -12.5393 -12.5022 -9.2698 -5.1918 -4.1447 0.3000 763.9233
46.0000 -12.5563 -12.5418 -9.1901 -5.1978 -4.1538 0.3000 763.4468
47.0000 -12.5947 -12.5739 -9.0936 -5.1910 -4.1365 0.3000 762.7300
48.0000 -12.5745 -12.5613 -9.1002 -5.1825 -4.1182 0.3000 762.6859
49.0000 -12.5727 -12.5568 -9.0999 -5.1716 -4.1008 0.3000 762.3084
50.0000 -12.5773 -12.5573 -9.1116 -5.1616 -4.1139 0.3000 762.0061
51.0000 -12.5679 -12.5469 -9.1731 -5.1506 -4.1206 0.3000 761.7535
52.0000 -12.5551 -12.5524 -9.1833 -5.1490 -4.1187 0.3000 761.7100
53.0000 -12.5531 -12.5470 -9.1772 -5.1386 -4.1231 0.3000 761.5551
54.0000 -12.5574 -12.5470 -9.1747 -5.1298 -4.1194 0.3000 761.3957
55.0000 -12.5515 -12.5409 -9.1563 -5.1099 -4.1172 0.3000 761.3157
56.0000 -12.5434 -12.5408 -9.1730 -5.1062 -4.1128 0.3000 761.3323
57.0000 -12.5422 -12.5362 -9.1946 -5.0988 -4.1115 0.3000 761.2733
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.08
# penalization: 1.484
# initial densities: [0. 0. 0. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 2000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
