# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -9.5397 -2.2256 -2.1722 -1.7935 -1.7508 0.3000 1227.9783
2.0000 -13.3875 -4.4024 -2.4928 -2.0835 -2.0196 0.3000 1060.7645
3.0000 -17.0348 -4.0514 -2.5848 -2.3449 -2.1409 0.3000 979.0192
4.0000 -16.9191 -3.7927 -2.3637 -1.8893 -1.7243 0.3000 920.9340
5.0000 -16.5854 -3.7537 -2.3520 -1.7226 -1.5892 0.3000 906.4479
6.0000 -15.9291 -3.7152 -2.2971 -1.8793 -1.7036 0.3000 896.6750
7.0000 -14.0018 -4.0319 -2.1776 -1.8254 -1.7549 0.3000 880.7301
8.0000 -14.1252 -4.8612 -2.3736 -1.8577 -1.7682 0.3000 861.9364
9.0000 -13.7876 -4.5998 -2.3960 -1.8259 -1.6427 0.3000 836.7190
10.0000 -12.7885 -6.1847 -2.8352 -2.3646 -1.7875 0.3000 811.5037
11.0000 -12.9807 -9.3745 -3.7972 -3.2930 -2.5691 0.3000 796.3462
12.0000 -13.3296 -8.3876 -3.7735 -3.0763 -2.6520 0.3000 784.6246
13.0000 -12.8643 -8.5068 -3.7750 -3.2265 -2.6501 0.3000 774.1270
14.0000 -12.7302 -9.5135 -4.0814 -3.4382 -3.3889 0.3000 765.7886
15.0000 -12.7688 -8.9838 -4.1963 -3.6521 -3.2715 0.3000 760.2555
16.0000 -13.0597 -9.0469 -4.3904 -3.3938 -2.8679 0.3000 754.2178
17.0000 -13.1190 -9.0819 -4.3685 -3.5151 -2.9159 0.3000 752.5722
18.0000 -12.8084 -9.3365 -4.4118 -3.8171 -3.4540 0.3000 748.4575
19.0000 -12.7069 -10.1309 -4.6314 -4.1967 -3.9684 0.3000 747.0087
20.0000 -12.7413 -10.5422 -4.7917 -4.1665 -3.8519 0.3000 744.3254
21.0000 -12.7571 -9.9102 -4.7435 -3.9311 -3.8044 0.3000 742.8577
22.0000 -12.6856 -10.1539 -4.7948 -4.0833 -4.0129 0.3000 740.9330
23.0000 -12.5880 -10.4032 -4.8343 -4.1080 -4.0530 0.3000 739.2834
24.0000 -12.6193 -10.7938 -4.9920 -4.3641 -4.3615 0.3000 737.8370
25.0000 -12.5631 -10.8838 -5.0206 -4.3544 -4.3371 0.3000 736.8151
26.0000 -12.5394 -10.9459 -5.0365 -4.3862 -4.3626 0.3000 735.7634
27.0000 -12.5118 -10.9829 -5.0267 -4.3826 -4.3594 0.3000 735.1270
28.0000 -12.5479 -11.1366 -5.0013 -4.3726 -4.3335 0.3000 734.4421
29.0000 -12.5261 -11.3003 -4.9744 -4.3769 -4.3147 0.3000 733.9483
30.0000 -12.5271 -11.5052 -4.9681 -4.3956 -4.3113 0.3000 733.5027
31.0000 -12.6088 -11.7213 -4.9731 -4.3899 -4.2546 0.3000 732.9965
32.0000 -12.6111 -11.8173 -4.9570 -4.3726 -4.1750 0.3000 732.6513
33.0000 -12.6309 -11.8554 -4.9421 -4.3154 -4.0428 0.3000 732.1349
34.0000 -12.6491 -11.8714 -4.9415 -4.2840 -3.9673 0.3000 731.6670
35.0000 -12.7902 -12.0029 -4.9861 -4.2482 -3.8577 0.3000 731.1300
36.0000 -12.8281 -12.2241 -5.0685 -4.2322 -3.7711 0.3000 730.5218
37.0000 -12.7565 -12.2303 -5.0416 -4.2289 -3.7669 0.3000 730.1163
38.0000 -12.6010 -12.1474 -4.9708 -4.2180 -3.7664 0.3000 729.6617
39.0000 -12.5198 -12.2350 -4.9615 -4.2180 -3.7628 0.3000 729.3121
40.0000 -12.5382 -12.4050 -4.9794 -4.2073 -3.7496 0.3000 728.8419
41.0000 -12.5243 -12.4821 -4.9701 -4.1978 -3.7424 0.3000 728.4443
42.0000 -12.6198 -12.5035 -4.9485 -4.1561 -3.6674 0.3000 727.9738
43.0000 -12.6073 -12.4427 -4.9389 -4.1181 -3.5973 0.3000 727.7409
44.0000 -12.5129 -12.4605 -4.9135 -4.0411 -3.4801 0.3000 727.6510
45.0000 -12.5304 -12.5007 -4.9228 -4.0148 -3.4286 0.3000 727.5395
46.0000 -12.5366 -12.5093 -4.9303 -3.9238 -3.2593 0.3000 727.1060
