# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -5.5299 -5.2923 5.0191 5.2923 5.5299 0.4800 5012.5416
2.0000 -5.1054 -4.9382 4.7149 4.9382 5.1054 0.4620 4884.0322
3.0000 -4.7900 -4.7324 4.5463 4.7324 4.7900 0.4458 4766.6693
4.0000 -4.8302 -4.7614 4.3606 4.7614 4.8302 0.4312 4797.9547
5.0000 -5.2847 -5.1722 4.5244 5.1722 5.2847 0.4160 4854.8357
6.0000 -5.6773 -5.4753 -4.7705 5.4753 5.6773 0.4044 4927.2824
7.0000 -6.0659 -5.8059 -5.4136 5.8059 6.0659 0.3940 5013.6427
8.0000 -6.4941 -6.2351 6.1041 6.2351 6.4941 0.3846 5093.8385
9.0000 -7.5466 -7.2658 6.9352 7.2658 7.5466 0.3738 5209.0057
10.0000 -8.3237 -7.9558 7.4852 7.9558 8.3237 0.3664 5275.4529
11.0000 -27.8621 -21.6010 18.0878 21.6010 27.8621 0.3000 6923.6728
12.0000 -26.5966 -20.6690 16.3198 20.6690 26.5966 0.3000 6655.3973
13.0000 -24.8024 -18.6643 -15.7455 18.6643 24.8024 0.3000 5846.2582
14.0000 -20.3381 -16.9857 -14.2469 16.9857 20.3381 0.3000 5371.4874
15.0000 -19.3661 -16.5652 13.6126 16.5654 19.3664 0.3000 5150.7312
16.0000 -18.4842 -17.0511 -13.0949 17.0484 18.4837 0.3000 5013.3607
17.0000 -18.8670 -16.9636 13.7541 16.9736 18.8794 0.3000 4845.8108
18.0000 -19.2105 -17.4118 -13.6874 17.3222 19.2381 0.3000 4745.3033
19.0000 -19.7120 -17.0658 13.4473 17.8730 19.8985 0.3000 4615.2682
20.0000 -20.1917 -17.3038 13.0729 17.5114 19.8674 0.3000 4540.6855
21.0000 -20.4055 -17.4778 13.2917 17.8241 20.5470 0.3000 4480.1976
22.0000 -21.0727 -17.4443 15.0603 18.5751 21.4465 0.3000 4329.8830
23.0000 -23.6333 -19.6865 -14.8570 16.6350 22.0561 0.3000 4257.9026
24.0000 -22.4792 -19.0685 -13.9785 16.5169 22.2734 0.3000 4155.5518
25.0000 -21.7909 -18.6749 -13.4372 16.5948 21.9404 0.3000 4088.9820
26.0000 -21.2172 -17.9387 -13.2120 16.9717 21.5683 0.3000 4058.3254
27.0000 -21.1582 -17.5595 -12.9089 17.4740 21.4500 0.3000 4032.5926
28.0000 -21.2717 -17.7349 -12.9287 17.2366 21.1864 0.3000 4018.4162
29.0000 -21.2453 -17.4037 -12.7930 17.3839 21.2106 0.3000 4008.2561
30.0000 -21.2473 -17.4151 12.8684 17.4333 21.3520 0.3000 4001.2535
31.0000 -21.5283 -17.4675 -12.8720 17.3032 21.3717 0.3000 3995.7433
32.0000 -21.7028 -17.4632 -12.7677 17.2404 21.3477 0.3000 3990.9481
33.0000 -21.3977 -17.2765 12.8684 17.5197 21.6395 0.3000 3985.5524
34.0000 -21.3802 -17.2617 12.8306 17.4784 21.5312 0.3000 3982.9159
35.0000 -21.4562 -17.4138 12.8470 17.4484 21.4416 0.3000 3980.9941
36.0000 -21.4717 -17.3635 12.8554 17.5914 21.6062 0.3000 3978.5814
37.0000 -21.3899 -17.2423 12.9103 17.5105 21.5686 0.3000 3976.2276
38.0000 -21.5321 -17.2838 12.8117 17.2951 21.4210 0.3000 3974.1103
39.0000 -21.5239 -17.1917 12.8987 17.3828 21.4980 0.3000 3972.8741
40.0000 -21.5891 -17.2843 12.8716 17.3396 21.4913 0.3000 3971.1711
41.0000 -21.7743 -17.4397 12.9360 17.3267 21.5694 0.3000 3969.4424
42.0000 -21.6377 -17.3134 12.9747 17.4339 21.6769 0.3000 3967.7675
