# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -1.5741 -1.5080 1.4302 1.5080 1.5741 0.5000 1298.9300
2.0000 -1.4064 -1.3485 1.2799 1.3485 1.4064 0.5000 1203.2384
3.0000 -1.2822 -1.2343 1.1625 1.2343 1.2822 0.5000 1063.2489
4.0000 -1.2387 -1.1899 -1.1168 1.1899 1.2387 0.5000 1042.0361
5.0000 -1.1605 -1.1095 1.0417 1.1095 1.1605 0.5000 1012.0143
6.0000 -1.1103 -1.0610 0.9919 1.0610 1.1103 0.5000 1000.0129
7.0000 -1.0772 -1.0261 0.9637 1.0261 1.0772 0.5000 998.1295
8.0000 -1.0697 -1.0199 -0.9625 1.0199 1.0697 0.5000 988.6019
9.0000 -1.0816 -1.0340 -0.9755 1.0340 1.0816 0.5000 987.0771
10.0000 -1.0947 -1.0475 0.9859 1.0475 1.0947 0.5000 983.8498
11.0000 -1.0999 -1.0506 0.9883 1.0506 1.0999 0.5000 981.6689
12.0000 -1.1110 -1.0603 0.9949 1.0603 1.1110 0.5000 981.0293
13.0000 -1.1027 -1.0520 -0.9891 1.0520 1.1027 0.5000 980.8364
14.0000 -1.0977 -1.0477 0.9851 1.0477 1.0977 0.5000 980.3680
15.0000 -1.0933 -1.0434 0.9817 1.0434 1.0933 0.5000 980.2155
16.0000 -1.0938 -1.0437 0.9817 1.0437 1.0938 0.5000 979.8686
17.0000 -1.0903 -1.0401 0.9783 1.0401 1.0903 0.5000 979.5466
# OPTIMIZATION PARAMETERS 
# nelx: 40
# nely: 20
# max buckling: 0.0
# penalization: 1.0
# initial densities: 0.5
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([819, 901, 983], dtype=int64)}
# bc: Left Clamped
# 
